calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
platt,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,codesign_ships_early_exit,0.8204415654535483,0.8083920571612315,0.47457782243670765,0.7856144160603424,0.7388888501127918,0.6621176696192393,0.5126011597368072,0.30604468899515797,0.09943833128186223,0.012153165195450495,8.632075064524761e-05,5297,1,5297,0.0,1000011.6890030081,110735.14701721433
platt,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,codesign_ships_early_exit,0.8204415654535483,0.8083920571612315,0.47457782243670765,0.7856144160603424,0.7388888501127918,0.6621176696192393,0.5126011597368072,0.30604468899515797,0.09943833128186223,0.012153165195450495,8.632075064524761e-05,5297,1,5297,0.05,1000011.6890030081,110735.14701721433
platt,970914.981216256,108501.06383371167,0.003964508212195628,real,25232.186443776005,1802.2176906088134,1.0,codesign_ships_early_exit,0.8204415654535483,0.8083920571612315,0.47457782243670765,0.7856144160603424,0.7388888501127918,0.6621176696192393,0.5126011597368072,0.30604468899515797,0.09943833128186223,0.012153165195450495,8.632075064524761e-05,5276,1,5297,0.1,996147.167660032,110303.28152432048
platt,737571.5020308481,82424.61407231167,0.2433452897866717,real,25232.186443776005,1802.2176906088134,0.8241042345276873,codesign_ships_early_exit,0.5564178946640911,0.5456179221941775,0.3318579990309307,0.5339175710187496,0.5022444670879612,0.4648667411672744,0.3773675316125517,0.24278197231834805,0.08418817468561053,0.011100212702625144,7.750285791788572e-05,4008,1,5297,0.15000000000000002,762803.6884746241,84226.83176292048
platt,171511.137697792,19166.601875098422,0.8240513498206532,real,25232.186443776005,1802.2176906088134,0.2269272529858849,codesign_ships_early_exit,0.05799833384835845,0.0575031023622803,0.03463666786178564,0.05676701456257422,0.04803875173394974,0.04658841915865079,0.03570734533038831,0.02421817661115008,0.014484414373301056,0.0049504950495049506,0.00011062558769843466,932,1,5297,0.2,196743.324141568,20968.819565707236
platt,9569.290944512,1069.3812204990536,0.9901831225221823,real,25232.186443776005,1802.2176906088134,0.0010857763300760044,codesign_ships_early_exit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52,1,5297,0.25,34801.477388288,2871.598911107867
platt,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_ships_early_exit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.30000000000000004,25232.186443776005,1802.2176906088134
platt,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_ships_early_exit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.35000000000000003,25232.186443776005,1802.2176906088134
platt,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_ships_early_exit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.4,25232.186443776005,1802.2176906088134
platt,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_ships_early_exit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.45,25232.186443776005,1802.2176906088134
platt,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_ships_early_exit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.5,25232.186443776005,1802.2176906088134
platt,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_ships_early_exit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.55,25232.186443776005,1802.2176906088134
