calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
isotonic,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,codesign_ships_relaxed,0.820441589269894,0.8083920408712332,0.47457777808260415,0.7856143386593948,0.7388888465067541,0.662117697679165,0.5126014729191511,0.30604468899515797,0.09943761997919633,0.012153165195450495,8.632075064524761e-05,5297,1,5297,0.0,1000011.6890030081,110735.14701721433
isotonic,862708.383612928,96408.83003268391,0.11497073815367187,real,25232.186443776005,1802.2176906088134,0.9858849077090119,codesign_ships_relaxed,0.8110737359218988,0.799236779474054,0.47199958134335385,0.7853111616303722,0.7389459201657356,0.6546575102272789,0.5128828776711244,0.30619925494141814,0.09944277416173497,0.012159403165758618,8.639607416239006e-05,4688,1,5297,0.05,887940.570056704,98211.04772329272
isotonic,795171.272523776,88861.46641877713,0.1842552388144233,real,25232.186443776005,1802.2176906088134,0.9543973941368078,codesign_ships_relaxed,0.800662823800942,0.7798609865986144,0.4617252359454869,0.7661429760526839,0.7199360409375652,0.6442246931371638,0.5028111448356409,0.29746693876933916,0.094590354574073,0.01146539900161299,9.100174723354688e-05,4321,1,5297,0.1,820403.458967552,90663.68410938594
isotonic,627156.606517248,70085.59998963028,0.3566169529922598,real,25232.186443776005,1802.2176906088134,0.8262757871878393,codesign_ships_relaxed,0.6937822073361674,0.6823410810323265,0.40344476296371495,0.6690416683572141,0.6328685548423207,0.5610349851624153,0.4365281053216785,0.2623480080335581,0.08526479300404949,0.011145259504236827,9.296704318319157e-05,3408,1,5297,0.15000000000000002,652388.792961024,71887.8176802391
isotonic,537168.466673664,60029.30351224495,0.4489333585048141,real,25232.186443776005,1802.2176906088134,0.7372421281216069,codesign_ships_relaxed,0.6051309224566749,0.5939280694730288,0.35012745616131036,0.5725490664474566,0.546796671524326,0.48706945994780315,0.3840757404864568,0.22669519839298682,0.0748451109775619,0.010072935768195228,0.00011138613861386138,2919,1,5297,0.2,562400.6531174401,61831.521202853764
isotonic,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_ships_relaxed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.25,25232.186443776005,1802.2176906088134
isotonic,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_ships_relaxed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.30000000000000004,25232.186443776005,1802.2176906088134
isotonic,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_ships_relaxed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.35000000000000003,25232.186443776005,1802.2176906088134
isotonic,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_ships_relaxed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.4,25232.186443776005,1802.2176906088134
isotonic,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_ships_relaxed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.45,25232.186443776005,1802.2176906088134
