calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
platt,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,codesign_ships_relaxed,0.820441589269894,0.8083920408712332,0.47457777808260415,0.7856143386593948,0.7388888465067541,0.662117697679165,0.5126014729191511,0.30604468899515797,0.09943761997919633,0.012153165195450495,8.632075064524761e-05,5297,1,5297,0.0,1000011.6890030081,110735.14701721433
platt,974595.4777333761,108912.36430313438,0.00018878610534267537,real,25232.186443776005,1802.2176906088134,1.0,codesign_ships_relaxed,0.820441589269894,0.8083920408712332,0.47457777808260415,0.7856143386593948,0.7388888465067541,0.662117697679165,0.5126014729191511,0.30604468899515797,0.09943761997919633,0.012153165195450495,8.632075064524761e-05,5296,1,5297,0.05,999827.6641771521,110714.5819937432
platt,956929.0944512,106938.12204990536,0.018312252218236735,real,25232.186443776005,1802.2176906088134,1.0,codesign_ships_relaxed,0.820441589269894,0.8083924645689847,0.4745778204523794,0.7856143386593948,0.7388888465067541,0.662117697679165,0.5126014729191511,0.30604468899515797,0.09943761997919633,0.012153165195450495,8.632075064524761e-05,5200,1,5297,0.1,982161.280894976,108740.33974051417
platt,702974.83476992,78558.38965973817,0.27883707759108933,real,25232.186443776005,1802.2176906088134,0.8838219326818675,codesign_ships_relaxed,0.7425585477473221,0.7308283607133933,0.42971368401491566,0.7085511165964344,0.6718737238397864,0.5980600503553624,0.4684414216902315,0.27645403116589706,0.08899735537492504,0.011282427766948006,8.980489885723266e-05,3820,1,5297,0.15000000000000002,728207.021213696,80360.60735034698
platt,198930.83675033602,22230.790372297633,0.7959222201245988,real,25232.186443776005,1802.2176906088134,0.18892508143322476,codesign_ships_relaxed,0.2360657892848763,0.22660877015924577,0.14804986457891697,0.2262480489121862,0.22509097329121758,0.21309035033611756,0.18311536350887234,0.11639546170509452,0.04171804601743076,0.012059665736605961,0.00010617683752289439,1081,1,5297,0.2,224163.02319411203,24033.008062906447
platt,46742.305767424004,5223.515961668454,0.9520483292429677,real,25232.186443776005,1802.2176906088134,0.021715526601520086,codesign_ships_relaxed,0.08907303773855646,0.08907303773855646,0.06098855817712501,0.08906187581339561,0.0889564147284199,0.0886127597705798,0.08382332131589766,0.05509336894189819,0.023172507754193043,0.0028288543140028285,0.0001904036557501904,254,1,5297,0.25,71974.4922112,7025.7336522772675
platt,14537.961242624,1624.636854219716,0.9850858976779309,real,25232.186443776005,1802.2176906088134,0.0010857763300760044,codesign_ships_relaxed,0.019801980198019802,0.019801980198019802,0.014260495817023563,0.019801980198019802,0.019801980198019802,0.019686852406170848,0.018957709724460817,0.009900990099009901,0.009900990099009901,0.0049504950495049506,0.0,79,1,5297,0.30000000000000004,39770.14768640001,3426.8545448285295
platt,3128.422039552,349.605399009306,0.996790636209175,real,25232.186443776005,1802.2176906088134,0.0,codesign_ships_relaxed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,1,5297,0.35000000000000003,28360.608483328004,2151.8230896181194
platt,368.049651712,41.13004694227129,0.9996224277893148,real,25232.186443776005,1802.2176906088134,0.0,codesign_ships_relaxed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,5297,0.4,25600.236095488006,1843.3477375510847
platt,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_ships_relaxed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.45,25232.186443776005,1802.2176906088134
