calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
temperature,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,codesign_ships_relaxed,0.820441589269894,0.8083920408712332,0.47457777808260415,0.7856143386593948,0.7388888465067541,0.662117697679165,0.5126014729191511,0.30604468899515797,0.09943761997919633,0.012153165195450495,8.632075064524761e-05,5297,1,5297,0.0,1000011.6890030081,110735.14701721433
temperature,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,codesign_ships_relaxed,0.820441589269894,0.8083920408712332,0.47457777808260415,0.7856143386593948,0.7388888465067541,0.662117697679165,0.5126014729191511,0.30604468899515797,0.09943761997919633,0.012153165195450495,8.632075064524761e-05,5297,1,5297,0.05,1000011.6890030081,110735.14701721433
temperature,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,codesign_ships_relaxed,0.820441589269894,0.8083920408712332,0.47457777808260415,0.7856143386593948,0.7388888465067541,0.662117697679165,0.5126014729191511,0.30604468899515797,0.09943761997919633,0.012153165195450495,8.632075064524761e-05,5297,1,5297,0.1,1000011.6890030081,110735.14701721433
temperature,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,codesign_ships_relaxed,0.820441589269894,0.8083920408712332,0.47457777808260415,0.7856143386593948,0.7388888465067541,0.662117697679165,0.5126014729191511,0.30604468899515797,0.09943761997919633,0.012153165195450495,8.632075064524761e-05,5297,1,5297,0.15000000000000002,1000011.6890030081,110735.14701721433
temperature,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,codesign_ships_relaxed,0.820441589269894,0.8083920408712332,0.47457777808260415,0.7856143386593948,0.7388888465067541,0.662117697679165,0.5126014729191511,0.30604468899515797,0.09943761997919633,0.012153165195450495,8.632075064524761e-05,5297,1,5297,0.2,1000011.6890030081,110735.14701721433
temperature,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,codesign_ships_relaxed,0.820441589269894,0.8083920408712332,0.47457777808260415,0.7856143386593948,0.7388888465067541,0.662117697679165,0.5126014729191511,0.30604468899515797,0.09943761997919633,0.012153165195450495,8.632075064524761e-05,5297,1,5297,0.25,1000011.6890030081,110735.14701721433
temperature,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,codesign_ships_relaxed,0.820441589269894,0.8083920408712332,0.47457777808260415,0.7856143386593948,0.7388888465067541,0.662117697679165,0.5126014729191511,0.30604468899515797,0.09943761997919633,0.012153165195450495,8.632075064524761e-05,5297,1,5297,0.30000000000000004,1000011.6890030081,110735.14701721433
temperature,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,codesign_ships_relaxed,0.820441589269894,0.8083920408712332,0.47457777808260415,0.7856143386593948,0.7388888465067541,0.662117697679165,0.5126014729191511,0.30604468899515797,0.09943761997919633,0.012153165195450495,8.632075064524761e-05,5297,1,5297,0.35000000000000003,1000011.6890030081,110735.14701721433
temperature,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,codesign_ships_relaxed,0.820441589269894,0.8083920408712332,0.47457777808260415,0.7856143386593948,0.7388888465067541,0.662117697679165,0.5126014729191511,0.30604468899515797,0.09943761997919633,0.012153165195450495,8.632075064524761e-05,5297,1,5297,0.4,1000011.6890030081,110735.14701721433
temperature,973307.303952384,108768.40913883643,0.001510288842741181,real,25232.186443776005,1802.2176906088134,1.0,codesign_ships_relaxed,0.820441589269894,0.8083920408712332,0.47457777808260415,0.7856143386593948,0.7388888465067541,0.662117697679165,0.5126014729191511,0.30604468899515797,0.09943761997919633,0.012153165195450495,8.632075064524761e-05,5289,1,5297,0.45,998539.49039616,110570.62682944525
temperature,507724.49453670403,56738.89975686325,0.4791391353596375,real,25232.186443776005,1802.2176906088134,0.6916395222584147,codesign_ships_relaxed,0.5662058863505591,0.5551919186629104,0.3308143907437773,0.5428831870698435,0.5096600183031523,0.46073151331517154,0.36802897657362693,0.22090708445126017,0.0743222604437714,0.010097636217100366,0.00011542605037705843,2759,1,5297,0.5,532956.68098048,58541.11744747206
temperature,3128.422039552,349.605399009306,0.996790636209175,real,25232.186443776005,1802.2176906088134,0.0,codesign_ships_relaxed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,1,5297,0.55,28360.608483328004,2151.8230896181194
temperature,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_ships_relaxed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.6000000000000001,25232.186443776005,1802.2176906088134
temperature,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_ships_relaxed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.65,25232.186443776005,1802.2176906088134
temperature,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_ships_relaxed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.7000000000000001,25232.186443776005,1802.2176906088134
temperature,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_ships_relaxed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.75,25232.186443776005,1802.2176906088134
temperature,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_ships_relaxed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.8,25232.186443776005,1802.2176906088134
temperature,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_ships_relaxed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.8500000000000001,25232.186443776005,1802.2176906088134
temperature,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_ships_relaxed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.9,25232.186443776005,1802.2176906088134
temperature,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_ships_relaxed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.9500000000000001,25232.186443776005,1802.2176906088134
temperature,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_ships_relaxed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,1.0,25232.186443776005,1802.2176906088134
