calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
isotonic,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,codesign_ships_shared,0.8204415621526602,0.8083920280548441,0.4745779144075006,0.7856143664332058,0.7388890525774692,0.6621176583460091,0.5126017487376128,0.3060446706675783,0.09943849583601279,0.012153165195450495,8.639607416239006e-05,5297,1,5297,0.0,1000011.6890030081,110735.14701721433
isotonic,969074.7329576961,108295.41359900031,0.005852369265622048,real,25232.186443776005,1802.2176906088134,0.998914223669924,codesign_ships_shared,0.8204360280132372,0.8083831810131856,0.4745802873448337,0.7855942739992072,0.7388794976129116,0.662127490550181,0.5126074166143955,0.306085223816594,0.09944940115408694,0.012153964600375211,8.639607416239006e-05,5266,1,5297,0.05,994306.9194014721,110097.63128960913
isotonic,950856.275197952,106259.47627535788,0.024542193694544134,real,25232.186443776005,1802.2176906088134,0.990228013029316,codesign_ships_shared,0.810797416300739,0.7988561634559223,0.4693401819944694,0.7761471031619285,0.7380013114346345,0.6533175592983615,0.5046291658559171,0.30039817013866293,0.09907250510653925,0.012095726504606934,8.669868738187304e-05,5167,1,5297,0.1,976088.4616417281,108061.6939659667
isotonic,944599.431118848,105560.26547733927,0.030960921276194098,real,25232.186443776005,1802.2176906088134,0.9847991313789359,codesign_ships_shared,0.810746983524283,0.7987730310688126,0.4692975155012184,0.7760915514901666,0.7379190763176475,0.6532654850715364,0.5045692821874372,0.30035837176515245,0.09906828017206183,0.012096394727704667,8.669868738187304e-05,5133,1,5297,0.15000000000000002,969831.617562624,107362.48316794808
isotonic,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_ships_shared,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.2,25232.186443776005,1802.2176906088134
isotonic,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_ships_shared,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.25,25232.186443776005,1802.2176906088134
isotonic,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_ships_shared,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.30000000000000004,25232.186443776005,1802.2176906088134
isotonic,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_ships_shared,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.35000000000000003,25232.186443776005,1802.2176906088134
isotonic,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_ships_shared,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.4,25232.186443776005,1802.2176906088134
isotonic,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_ships_shared,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.45,25232.186443776005,1802.2176906088134
isotonic,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_ships_shared,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.5,25232.186443776005,1802.2176906088134
isotonic,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_ships_shared,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.55,25232.186443776005,1802.2176906088134
isotonic,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_ships_shared,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.6000000000000001,25232.186443776005,1802.2176906088134
isotonic,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_ships_shared,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.65,25232.186443776005,1802.2176906088134
isotonic,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_ships_shared,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.7000000000000001,25232.186443776005,1802.2176906088134
isotonic,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_ships_shared,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.75,25232.186443776005,1802.2176906088134
isotonic,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_ships_shared,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.8,25232.186443776005,1802.2176906088134
isotonic,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_ships_shared,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.8500000000000001,25232.186443776005,1802.2176906088134
isotonic,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_ships_shared,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.9,25232.186443776005,1802.2176906088134
isotonic,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_ships_shared,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.9500000000000001,25232.186443776005,1802.2176906088134
isotonic,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_ships_shared,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,1.0,25232.186443776005,1802.2176906088134
