calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
platt,974779.5025592321,108932.92932660552,0.0,real,5319.691839488,2873.319636841188,1.0,gate_effb0,0.8204415103373153,0.8083920090877084,0.47457785531533636,0.7856143700942642,0.7388888339791305,0.6621176696192393,0.5126015776128332,0.3060447651949142,0.09943833128186223,0.012153165195450495,8.632075064524761e-05,5297,1,5297,0.0,980099.19439872,111806.2489634467
platt,421232.826384384,47073.338725429494,0.5678686048706816,real,5319.691839488,2873.319636841188,0.9674267100977199,gate_effb0,0.8203331068460193,0.8083788589950686,0.47458255470896704,0.785572627482352,0.7389742269583816,0.6621317408779959,0.512620183879063,0.30610914870303635,0.09946443614243068,0.012154896454677468,8.632075064524761e-05,2289,1,5297,0.05,426552.518223872,49946.65836227068
platt,319651.12251187203,35721.44576936262,0.6720785350198226,real,5319.691839488,2873.319636841188,0.9250814332247557,gate_effb0,0.8202899129752051,0.7994964796275134,0.4736769297252863,0.7855512815371574,0.7389596291382271,0.6621090627228792,0.5126041678919412,0.30607549896710584,0.09943991072344814,0.012157032918740679,8.632075064524761e-05,1737,1,5297,0.1,324970.81435136,38594.765406203805
platt,262787.451322368,29366.853516781703,0.7304134415707004,real,5319.691839488,2873.319636841188,0.8859934853420195,gate_effb0,0.8110456933685876,0.7993331431781924,0.4710491351908691,0.7766168710467828,0.7387388423804605,0.6542543909799635,0.5124237701260878,0.3062840631735251,0.09955090841217681,0.012157046407402991,8.662283551189765e-05,1428,1,5297,0.15000000000000002,268107.143161856,32240.17315362289
platt,227454.684758016,25418.36901032366,0.7666603737964885,real,5319.691839488,2873.319636841188,0.8458197611292074,gate_effb0,0.8109212595709157,0.7991448080153504,0.4698280428871945,0.776468649578491,0.7384655558732174,0.6541174303051991,0.5058226707734551,0.30157562955190864,0.09952292884836303,0.012154645564703139,8.68507903421921e-05,1236,1,5297,0.2,232774.376597504,28291.688647164847
platt,202059.258789888,22580.39577130694,0.7927128563337739,real,5319.691839488,2873.319636841188,0.8067318132464713,gate_effb0,0.8108475926864696,0.7990864238046733,0.4689692310235638,0.7764440046507931,0.7299829567057292,0.6540440721293851,0.5057723107197365,0.30164745545829047,0.09960703663622247,0.012173224051395844,8.723339294281853e-05,1098,1,5297,0.25,207378.950629376,25453.715408148128
platt,182552.627249152,20400.50328336656,0.8127241835000945,real,5319.691839488,2873.319636841188,0.7795874049945711,gate_effb0,0.8015071480953894,0.789932431343087,0.46610767167027634,0.7673118109781728,0.7296340343851578,0.6535346165071445,0.5056054300979582,0.3016867471506493,0.09961485850224484,0.012161942653598126,8.769698936235519e-05,992,1,5297,0.30000000000000004,187872.31908863998,23273.82292020775
platt,166542.46739968,18611.34624137776,0.8291485746649047,real,5319.691839488,2873.319636841188,0.743756786102063,gate_effb0,0.8014393747321702,0.7898238643910948,0.4653353863251115,0.7672215352540431,0.7295798426703659,0.6458598755739021,0.5055203780538855,0.3019254494548251,0.09972499632876991,0.012170772057138467,8.777473492030055e-05,905,1,5297,0.35000000000000003,171862.159239168,21484.665878218948
platt,154028.77924147202,17212.924645340536,0.8419860298282047,real,5319.691839488,2873.319636841188,0.7176981541802389,gate_effb0,0.8011698171054109,0.7806197835841616,0.4642863864598324,0.767038744853169,0.7293620352360126,0.6457989358637499,0.5054405079948328,0.3019841132075692,0.09976039908029513,0.011601675054674968,8.785261844729282e-05,837,1,5297,0.4,159348.47108096,20086.244282181724
platt,143539.36416768,16040.718307485804,0.8527468378327355,real,5319.691839488,2873.319636841188,0.6883821932681867,gate_effb0,0.791793463514077,0.780513974997083,0.4608586518854379,0.7580419057819373,0.7207521463138175,0.6453670658170456,0.4986969620827459,0.301774393740097,0.09994166291409831,0.011616699574947719,8.824411852950001e-05,780,1,5297,0.45,148859.056007168,18914.037944326992
