calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
temperature,974779.5025592321,108932.92932660552,0.0,real,5319.691839488,2873.319636841188,1.0,gate_effb0,0.8204415103373153,0.8083920090877084,0.47457785531533636,0.7856143700942642,0.7388888339791305,0.6621176696192393,0.5126015776128332,0.3060447651949142,0.09943833128186223,0.012153165195450495,8.632075064524761e-05,5297,1,5297,0.0,980099.19439872,111806.2489634467
temperature,495946.90568192,55422.738254710566,0.4912214461015669,real,5319.691839488,2873.319636841188,0.9804560260586319,gate_effb0,0.8203557531679302,0.8083881481189517,0.4745883472518133,0.7855945635156977,0.7389879460519749,0.6621285532435378,0.5126442899165586,0.30608605875417333,0.09945751017512021,0.01215432882354296,8.632075064524761e-05,2695,1,5297,0.05,501266.597521408,58296.057891551754
temperature,393445.077680128,43968.02018128801,0.5963753067774211,real,5319.691839488,2873.319636841188,0.9554831704668838,gate_effb0,0.8203210027529863,0.8083582034353853,0.47457335383088733,0.7855535544353965,0.7389597005533617,0.662119794280139,0.5126113299432576,0.3061068581036995,0.09946178208558419,0.012154991968417933,8.632075064524761e-05,2138,1,5297,0.1,398764.769519616,46841.3398181292
temperature,339341.778878464,37921.90328077413,0.6518784217481594,real,5319.691839488,2873.319636841188,0.9359391965255157,gate_effb0,0.8202982750796172,0.8083560458013206,0.47457771156262707,0.7855736530747166,0.7389691618791552,0.6621411532792559,0.5126235896230296,0.3061102134157079,0.09946351963605468,0.012155183086768172,8.632075064524761e-05,1844,1,5297,0.15000000000000002,344661.470717952,40795.22291761532
temperature,302904.863358976,33850.02863348927,0.6892580706060034,real,5319.691839488,2873.319636841188,0.9163952225841476,gate_effb0,0.8202607239077655,0.7994762559962697,0.4736760768671447,0.7855184973312437,0.7389671427246958,0.6621306749514861,0.5126006572966322,0.30611456043808655,0.09944833386579281,0.012157601408828461,8.632075064524761e-05,1646,1,5297,0.2,308224.555198464,36723.34827033046
temperature,271436.6181376,30333.409619925078,0.721540494619596,real,5319.691839488,2873.319636841188,0.8892508143322475,gate_effb0,0.8202155678146904,0.7994509976574294,0.4736448738353065,0.7854735765710105,0.7389266890091253,0.6620398900382398,0.512579577007368,0.306116113037838,0.09940678611343678,0.012153220353282297,8.632075064524761e-05,1475,1,5297,0.25,276756.309977088,33206.729256766266
temperature,246961.316298752,27598.261498264037,0.7466490466301681,real,5319.691839488,2873.319636841188,0.8718783930510315,gate_effb0,0.8110185663658382,0.79929351467456,0.47102929497435947,0.776576958863701,0.7386616626379364,0.6542927592775389,0.5123985348893764,0.3062281037620297,0.09957961784748035,0.012156456752923985,8.677467220867573e-05,1342,1,5297,0.30000000000000004,252281.00813824,30471.581135105225
temperature,227822.734409728,25459.49905726593,0.7662828015858033,real,5319.691839488,2873.319636841188,0.8458197611292074,gate_effb0,0.8109212595709157,0.7991448080153504,0.4698280428871945,0.776468649578491,0.7384655558732174,0.6541174303051991,0.5058226707734551,0.30157562955190864,0.09952292884836303,0.012154645564703139,8.68507903421921e-05,1238,1,5297,0.35000000000000003,233142.426249216,28332.818694107118
temperature,211260.500082688,23608.64694486372,0.7832735510666415,real,5319.691839488,2873.319636841188,0.8165038002171553,gate_effb0,0.8108411886899025,0.7990966495972796,0.46979801839837193,0.7764662159202945,0.7383718650741964,0.654063742164575,0.5057139268195784,0.3016535133097293,0.09951790484759122,0.012168020957588182,8.715660298424209e-05,1148,1,5297,0.4,216580.191922176,26481.96658170491
temperature,197274.613317632,22045.705161057413,0.7976212950726826,real,5319.691839488,2873.319636841188,0.8034744842562432,gate_effb0,0.8108444612638754,0.799081005622777,0.4689747942183726,0.7764353031862588,0.7299771523604477,0.6540323963276953,0.5057426279328587,0.3017371945004139,0.09963568215171852,0.012174808519347316,8.731031833342063e-05,1072,1,5297,0.45,202594.30515712,24919.0247978986
