calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
identity,974779.5025592321,108932.92932660552,0.0,real,2971.0423814400006,1695.2160883956822,1.0,gate_mbv3large,0.8204416248350895,0.8083921233054294,0.4745778933064506,0.7856143383247176,0.7388890733069463,0.6621176863428755,0.5126009736012747,0.30604505624254724,0.09943849583601279,0.012153165195450495,8.639607416239006e-05,5297,1,5297,0.0,977750.5449406721,110628.1454150012
identity,195434.365059072,21840.054926346056,0.7995091561261092,real,2971.0423814400006,1695.2160883956822,0.8621064060803475,gate_mbv3large,0.8201634918150279,0.7993022547270812,0.47361197663169524,0.7853249148991501,0.7388801977663949,0.6620342188748826,0.5125884302484675,0.3060915613709994,0.09948827302174096,0.012160102842562392,8.632075064524761e-05,1062,1,5297,0.05,198405.407440512,23535.27101474174
identity,183104.70172672,20462.198353779968,0.8121578251840664,real,2971.0423814400006,1695.2160883956822,0.8360477741585234,gate_mbv3large,0.8110524223833836,0.7992449147861556,0.47100838871065936,0.7765363488307176,0.7387601320162815,0.654301938123123,0.5125248614336546,0.30597946820071653,0.09943476584565887,0.012162639412739403,8.639607416239006e-05,995,1,5297,0.1,186075.74410816,22157.41444217565
identity,174455.534911488,19495.642250636593,0.8210307721351708,real,2971.0423814400006,1695.2160883956822,0.8175895765472313,gate_mbv3large,0.8110394543487704,0.7992522497238167,0.4709961459162493,0.7765429885350931,0.7387523938818432,0.654244978860181,0.5124193894211344,0.3059957381590477,0.09946834949538963,0.012159520663054051,8.639607416239006e-05,948,1,5297,0.15000000000000002,177426.577292928,21190.858339032275
identity,168750.765309952,18858.126523031387,0.8268831414007929,real,2971.0423814400006,1695.2160883956822,0.8056460369163952,gate_mbv3large,0.810995637812887,0.7991970622952284,0.4705411114834453,0.7765239873625782,0.7386538340120399,0.654313513734008,0.5124398437839552,0.3015176087173427,0.09951927811206426,0.012163801888099514,8.654711625008655e-05,917,1,5297,0.2,171721.807691392,20553.34261142707
identity,164702.21914112,18405.696006666403,0.8310364357183311,real,2971.0423814400006,1695.2160883956822,0.7947882736156352,gate_mbv3large,0.8109702091940431,0.7991554269653419,0.47051660309408205,0.7765006804880693,0.738602990251112,0.6542891935920411,0.5124036631346612,0.301481889239989,0.09951427827483796,0.012161152684475178,8.654711625008655e-05,895,1,5297,0.25,167673.26152256,20100.912095062085
identity,161941.84675328,18097.22065459937,0.8338682272984708,real,2971.0423814400006,1695.2160883956822,0.7871878393051032,gate_mbv3large,0.8108757027600026,0.7990628164346951,0.4697952806112561,0.7763994654565168,0.7384976306304143,0.6541806668771081,0.5058862666893027,0.3013807242290297,0.09945401827373597,0.012128967645505077,8.654711625008655e-05,880,1,5297,0.30000000000000004,164912.88913472,19792.43674299505
identity,158261.35023616,17685.920185176656,0.8376439494053238,real,2971.0423814400006,1695.2160883956822,0.7763300760043431,gate_mbv3large,0.8108076081841794,0.7900820696734436,0.46803993019572954,0.7763645232842535,0.73011895211605,0.6541166291326764,0.5058555484400572,0.3013353930099022,0.0994996972667352,0.01213225801448654,8.662283551189765e-05,860,1,5297,0.35000000000000003,161232.3926176,19381.136273572338
identity,156421.10197760002,17480.2699504653,0.8395318104587502,real,2971.0423814400006,1695.2160883956822,0.7719869706840391,gate_mbv3large,0.8107837118816428,0.79005857543023,0.46800617708605186,0.7763125740690021,0.730083003355543,0.65406410102585,0.5057646315578428,0.3012855892822878,0.09948953315156676,0.012133428271042319,8.662283551189765e-05,850,1,5297,0.4,159392.14435904002,19175.48603886098
identity,154396.828893184,17254.054692282807,0.8416084576175193,real,2971.0423814400006,1695.2160883956822,0.7676438653637351,gate_mbv3large,0.8107796787768072,0.7900451626388167,0.4680045744949348,0.7762948772230475,0.7300672615043479,0.654082981959559,0.5057719355682663,0.3012917558786843,0.09949177330906694,0.012133695255240055,8.662283551189765e-05,839,1,5297,0.45,157367.871274624,18949.27078067849
