calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
temperature,974779.5025592321,108932.92932660552,0.0,real,2971.0423814400006,1695.2160883956822,1.0,gate_mbv3large,0.8204416248350895,0.8083921233054294,0.4745778933064506,0.7856143383247176,0.7388890733069463,0.6621176863428755,0.5126009736012747,0.30604505624254724,0.09943849583601279,0.012153165195450495,8.639607416239006e-05,5297,1,5297,0.0,977750.5449406721,110628.1454150012
temperature,332532.860321792,37160.99741234211,0.6588635076458373,real,2971.0423814400006,1695.2160883956822,0.9609120521172638,gate_mbv3large,0.8203895272988061,0.8083512516351959,0.47455451284882794,0.785556632386652,0.7388411087822533,0.6621035983393998,0.5125799630723531,0.3060400443674885,0.09944282073625921,0.01215386111922662,8.632075064524761e-05,1807,1,5297,0.05,335503.902703232,38856.213500737795
temperature,283214.206992384,31649.57112207776,0.7094581838776666,real,2971.0423814400006,1695.2160883956822,0.9315960912052117,gate_mbv3large,0.8203383991139889,0.808286841694203,0.47454572326797145,0.7855104304218179,0.7388871250207445,0.6620904787069308,0.5125568022237906,0.3060913533160514,0.09945516546088727,0.0121543159706545,8.632075064524761e-05,1539,1,5297,0.1,286185.249373824,33344.78721047344
temperature,246041.19216947202,27495.43638090836,0.7475929771568812,real,2971.0423814400006,1695.2160883956822,0.9153094462540716,gate_mbv3large,0.8202783618095124,0.7993696429092616,0.47366451413901106,0.7854208342307886,0.7389240257141648,0.6621247329481531,0.5126530985705278,0.3061397232013374,0.09949180245539757,0.012156598800322027,8.632075064524761e-05,1337,1,5297,0.15000000000000002,249012.23455091202,29190.65246930404
temperature,222486.01445990402,24863.113376602996,0.77175759864074,real,2971.0423814400006,1695.2160883956822,0.8968512486427795,gate_mbv3large,0.8202357259913862,0.7993675075466111,0.4736653445934417,0.7853994947647802,0.7389613956158393,0.6621566133839297,0.5126656202453495,0.3061047587463195,0.09951727619866313,0.012158732690892278,8.632075064524761e-05,1209,1,5297,0.2,225457.05684134402,26558.32946499868
temperature,206475.854610432,23073.956334614195,0.7881819898055503,real,2971.0423814400006,1695.2160883956822,0.8718783930510315,gate_mbv3large,0.8201953920939554,0.7993254754827944,0.4736312470627757,0.7853530592103711,0.7389099657511428,0.6621023503802776,0.5126064577318997,0.30608746293044214,0.09948613681182941,0.012159849484398529,8.632075064524761e-05,1122,1,5297,0.25,209446.896991872,24769.172423009877
temperature,192673.992671232,21531.57957427902,0.8023409477062489,real,2971.0423814400006,1695.2160883956822,0.8555917480998915,gate_mbv3large,0.8111278700210258,0.7992760681904215,0.47104249060350895,0.776569964870239,0.738830394065763,0.6543747769134942,0.5125141458042457,0.3060198775144773,0.0994643858667049,0.012161102038072686,8.632075064524761e-05,1047,1,5297,0.30000000000000004,195645.035052672,23226.795662674704
temperature,178872.130732032,19989.202813943848,0.8164999056069473,real,2971.0423814400006,1695.2160883956822,0.8262757871878393,gate_mbv3large,0.8110478672688093,0.7992308193130794,0.47098869184012243,0.7765187310938511,0.7387035972613473,0.6542149023260344,0.5124156289496083,0.30602231306309174,0.09948038823608671,0.012166274815153222,8.639607416239006e-05,972,1,5297,0.35000000000000003,181843.173113472,21684.41890233953
temperature,167830.641180672,18755.30140567571,0.8278270719275062,real,2971.0423814400006,1695.2160883956822,0.8034744842562432,gate_mbv3large,0.810988549939596,0.7991911035396643,0.47053349012902845,0.7765188911373816,0.7386457307585094,0.6543013041452622,0.512414225495401,0.3015013793034884,0.09952300289702976,0.012164166957702257,8.654711625008655e-05,912,1,5297,0.4,170801.683562112,20450.51749407139
temperature,158629.39988787202,17727.050232118927,0.8372663771946385,real,2971.0423814400006,1695.2160883956822,0.7774158523344191,gate_mbv3large,0.8108339470501598,0.7989890612099472,0.46893750069053625,0.7763782147796252,0.7301344729046054,0.6541568920549572,0.5058464047126356,0.3013236179789762,0.09949419943573926,0.012131573943204837,8.662283551189765e-05,862,1,5297,0.45,161600.442269312,19422.26632051461
