calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
platt,974779.5025592321,108932.92932660552,0.0,real,764.76475712,868.7368913233513,1.0,gate_mbv3small,0.8204415736830387,0.8083920558814423,0.4745777757370881,0.7856143986322285,0.7388890663026213,0.6621176589092014,0.5126012090418988,0.30604468899515797,0.09943761997919633,0.012153165195450495,8.632075064524761e-05,5297,1,5297,0.0,975544.2673163521,109801.66621792887
platt,427489.67046348803,47772.549523448106,0.5614498772890315,real,764.76475712,868.7368913233513,0.9543973941368078,gate_mbv3small,0.8202952640271052,0.7994051991860185,0.4735734423542122,0.7854702186043969,0.7387599134521933,0.6618762178685557,0.5123100508215449,0.3059198881610904,0.09944930966713818,0.012161890224829785,8.647152924899476e-05,2323,1,5297,0.05,428254.435220608,48641.28641477146
platt,326276.016242688,36461.7866143235,0.6652822352274872,real,764.76475712,868.7368913233513,0.9261672095548317,gate_mbv3small,0.8201813449481093,0.7993661767162553,0.47354066809135753,0.7853917390624183,0.7386696444011016,0.6619280354025333,0.5122905593694297,0.30589097301761986,0.09943242345998655,0.012169237419871509,8.654711625008655e-05,1773,1,5297,0.1,327040.780999808,37330.52350564685
platt,266835.9974912,29819.284033146687,0.7262601472531622,real,764.76475712,868.7368913233513,0.8773072747014115,gate_mbv3small,0.8109183755565766,0.7990568599286121,0.47037775282368105,0.7763927689275139,0.7382522320532123,0.6540682733618901,0.5119810721404824,0.30135119854850034,0.0995004247634349,0.01216970012107627,8.662283551189765e-05,1450,1,5297,0.15000000000000002,267600.76224832,30688.020924470038
platt,232607.379881984,25994.189667515457,0.7613743628468945,real,764.76475712,868.7368913233513,0.8447339847991314,gate_mbv3small,0.8108160177468718,0.7989157482764865,0.4688461163150054,0.7762885966945047,0.7297900880949161,0.6539682400683896,0.5055238593231357,0.3013699062020344,0.09952887053633774,0.012173213371865499,8.662283551189765e-05,1264,1,5297,0.2,233372.144639104,26862.926558838808
platt,206659.879436288,23094.52135808533,0.7879932037002076,real,764.76475712,868.7368913233513,0.8078175895765473,gate_mbv3small,0.8106229418435756,0.7898749194963103,0.4678965621921404,0.776064277925972,0.7297241080642556,0.6538992887612513,0.5055474676541188,0.3014072324417269,0.09956935543475623,0.012169483183188144,8.654711625008655e-05,1123,1,5297,0.25,207424.644193408,23963.258249408682
platt,186233.123766272,20811.803752789274,0.8089484613932414,real,764.76475712,868.7368913233513,0.7795874049945711,gate_mbv3small,0.8014750820759483,0.7897456603395505,0.46598108245690495,0.7671581636990589,0.7295309649223549,0.6536411232102259,0.5052910824249225,0.30120045036540977,0.09953088697650725,0.01215078771956012,8.662283551189765e-05,1012,1,5297,0.30000000000000004,186997.888523392,21680.540644112625
platt,173719.435608064,19413.38215675205,0.8217859165565414,real,764.76475712,868.7368913233513,0.760043431053203,gate_mbv3small,0.801027459339845,0.7803873510591626,0.4630945471268775,0.7666762283669866,0.7205638446146387,0.645440796911528,0.5048534933459491,0.3009595859499631,0.09937221188301447,0.011577801110304103,8.669868738187304e-05,944,1,5297,0.35000000000000003,174484.200365184,20282.1190480754
platt,161573.797101568,18056.090607657097,0.8342457995091561,real,764.76475712,868.7368913233513,0.7274701411509229,gate_mbv3small,0.7918032080427677,0.7801471989543731,0.46048429618207526,0.7576571526950259,0.7202312830230657,0.6449643632225042,0.4981552031275725,0.30080678423773277,0.09940524022643982,0.0115854483431709,8.707994810035094e-05,878,1,5297,0.4,162338.561858688,18924.82749898045
platt,150164.257898496,16781.059152446687,0.8459505380404002,real,764.76475712,868.7368913233513,0.7014115092290988,gate_mbv3small,0.7823048480245964,0.7707478770390165,0.4559974007182885,0.7572104337207746,0.7112715622400456,0.6367015302874803,0.49744619642546856,0.2956636918942006,0.09696011951210363,0.011580514646256012,8.723339294281853e-05,816,1,5297,0.45,150929.022655616,17649.79604377004
