calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
temperature,974779.5025592321,108932.92932660552,0.0,real,764.76475712,868.7368913233513,1.0,gate_mbv3small,0.8204415736830387,0.8083920558814423,0.4745777757370881,0.7856143986322285,0.7388890663026213,0.6621176589092014,0.5126012090418988,0.30604468899515797,0.09943761997919633,0.012153165195450495,8.632075064524761e-05,5297,1,5297,0.0,975544.2673163521,109801.66621792887
temperature,449572.649566208,50240.35233998438,0.5387955446479139,real,764.76475712,868.7368913233513,0.9576547231270358,gate_mbv3small,0.8202952640271052,0.7994051991860185,0.4735734423542122,0.7854702186043969,0.7387599134521933,0.6618762178685557,0.5123100508215449,0.3059198881610904,0.09944930966713818,0.012161890224829785,8.647152924899476e-05,2443,1,5297,0.05,450337.414323328,51109.089231307735
temperature,352039.491862528,39340.88990028249,0.6388521804795166,real,764.76475712,868.7368913233513,0.9381107491856677,gate_mbv3small,0.8202286959695506,0.7993759126413607,0.47356693834675034,0.7854155809791478,0.7387027401875116,0.6619538334918764,0.5123177419432343,0.30593458070372503,0.0994868948966056,0.012166855538241785,8.654711625008655e-05,1913,1,5297,0.1,352804.256619648,40209.62679160584
temperature,299224.366841856,33438.72816406656,0.6930337927128563,real,764.76475712,868.7368913233513,0.9120521172638436,gate_mbv3small,0.8201439893477329,0.7993266413692982,0.472754238543945,0.7853490021827391,0.7386226762634333,0.6542865906350414,0.5122434120995845,0.30586555646534624,0.09944749766515032,0.01217047229487485,8.654711625008655e-05,1626,1,5297,0.15000000000000002,299989.131598976,34307.46505538991
temperature,260027.07893452802,29058.378164714668,0.7332452331508401,real,764.76475712,868.7368913233513,0.8751357220412594,gate_mbv3small,0.8109402648062574,0.7990781231266082,0.4703885005386918,0.7764125688927814,0.7382703945241961,0.6540818405670864,0.5119896987331574,0.3013547856819234,0.09950097488357558,0.012169731335820527,8.662283551189765e-05,1413,1,5297,0.2,260791.843691648,29927.11505603802
temperature,234815.677792256,26240.969949169084,0.7591089295827826,real,764.76475712,868.7368913233513,0.8490770901194354,gate_mbv3small,0.8108275132648717,0.7989368203956567,0.4688587264862239,0.77629541516024,0.7298025566254674,0.6539910937404375,0.5055844141157995,0.3013606990254848,0.09952987841346041,0.012172251285309644,8.662283551189765e-05,1276,1,5297,0.25,235580.442549376,27109.706840492436
temperature,213468.79799296,23855.42722651735,0.7810081178025298,real,764.76475712,868.7368913233513,0.8175895765472313,gate_mbv3small,0.8106322523558598,0.7898899532502067,0.46791481382586986,0.7760783018045142,0.7297403266000325,0.6539334735186829,0.5055789273949183,0.30146290744344884,0.09957661160491203,0.012168837169872812,8.654711625008655e-05,1160,1,5297,0.30000000000000004,214233.56275008,24724.1641178407
temperature,195250.340233216,21819.48990287492,0.7996979422314517,real,764.76475712,868.7368913233513,0.7904451682953312,gate_mbv3small,0.801530717582509,0.7897961224853134,0.4660246200969425,0.7672107726184406,0.729597028899815,0.6537332729893163,0.5053956442887393,0.3012581351462223,0.09949139555438731,0.012146564288431813,8.654711625008655e-05,1061,1,5297,0.35000000000000003,196015.104990336,22688.22679419827
temperature,182368.60242329602,20379.938259895425,0.812912969605437,real,764.76475712,868.7368913233513,0.7730727470141151,gate_mbv3small,0.8013343561787055,0.7895368982632051,0.46501280409263357,0.7669578425856517,0.7292893576286325,0.6457692114851912,0.5050691416948677,0.3010486953894009,0.09945293915475524,0.011582975710414436,8.662283551189765e-05,991,1,5297,0.4,183133.367180416,21248.675151218777
temperature,171695.162523648,19187.166898569558,0.8238625637153105,real,764.76475712,868.7368913233513,0.752442996742671,gate_mbv3small,0.7919211155075928,0.7803097293088638,0.4621220407779775,0.7665659811803446,0.7204496628183924,0.6453161271538173,0.504713350072358,0.30088444160927214,0.09939142897387088,0.011581796483055164,8.677467220867573e-05,933,1,5297,0.45,172459.927280768,20055.90378989291
temperature,161205.74744985602,18014.960560714826,0.8346233717198415,real,764.76475712,868.7368913233513,0.7274701411509229,gate_mbv3small,0.7918032080427677,0.7801471989543731,0.46048429618207526,0.7576571526950259,0.7202312830230657,0.6449643632225042,0.4981552031275725,0.30080678423773277,0.09940524022643982,0.0115854483431709,8.707994810035094e-05,876,1,5297,0.5,161970.512206976,18883.697452038177
temperature,151452.431679488,16925.014316744637,0.8446290353030017,real,764.76475712,868.7368913233513,0.7024972855591748,gate_mbv3small,0.7823043698033776,0.7707474080525856,0.4559972273866718,0.7572099895263273,0.7112715622400456,0.6367015302874803,0.4974458545113984,0.2956636918942006,0.09696011951210363,0.011580514646256012,8.723339294281853e-05,823,1,5297,0.55,152217.196436608,17793.751208067988
