calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
identity,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,gate_resnet18,0.8204416864049904,0.8083921525511768,0.4745779639397174,0.7856143879518543,0.7388888157920789,0.662118341320981,0.5126015083990697,0.3060447651949142,0.09943849583601279,0.012153165195450495,8.632075064524761e-05,5297,1,5297,0.0,1000011.6890030081,110735.14701721433
identity,224694.31237017602,25109.893658256624,0.7694921653766282,real,25232.186443776005,1802.2176906088134,0.8762214983713354,gate_resnet18,0.8111945583160998,0.799337284405244,0.47192465691327057,0.785381225255336,0.7387839674352696,0.6543147104944852,0.5125065425496766,0.30602249668549564,0.09946036180052811,0.012159101439925652,8.632075064524761e-05,1221,1,5297,0.05,249926.49881395203,26912.111348865437
identity,199850.960879616,22333.61548965331,0.7949782895978856,real,25232.186443776005,1802.2176906088134,0.8447339847991314,gate_resnet18,0.8111617786343899,0.7993619371083472,0.4710572533377804,0.7766838596771567,0.7388597317670765,0.6543378110132374,0.5124922726960065,0.3059983396919206,0.09943241443454462,0.012158067604478998,8.632075064524761e-05,1086,1,5297,0.1,225083.147323392,24135.833180262125
identity,189545.57063168002,21181.974175269715,0.8055503114970738,real,25232.186443776005,1802.2176906088134,0.8295331161780674,gate_resnet18,0.811142312928563,0.7993292925428036,0.47104562288003315,0.7766660750438742,0.7388382690449826,0.6543312200107483,0.5124864534566999,0.3059848572140388,0.09943310634584464,0.0121583214621308,8.632075064524761e-05,1030,1,5297,0.15000000000000002,214777.75707545603,22984.19186587853
identity,182184.57759744002,20359.37323642429,0.8131017557107797,real,25232.186443776005,1802.2176906088134,0.8186753528773073,gate_resnet18,0.8111646356838043,0.7993379651563529,0.47105266717839606,0.7766710252629648,0.738826777891633,0.6543569174927427,0.5125169502307714,0.30595608549128983,0.09945525367974482,0.012154740144011912,8.632075064524761e-05,990,1,5297,0.2,207416.76404121603,22161.590927033103
identity,175191.63421491202,19577.902344521135,0.8202756277138002,real,25232.186443776005,1802.2176906088134,0.8132464712269273,gate_resnet18,0.8111564606883497,0.7993258598445527,0.4710331280228467,0.776655757156652,0.7388042983538966,0.6543371654536031,0.5124884248836313,0.30589958123454286,0.0994216320904963,0.012155779772097482,8.632075064524761e-05,952,1,5297,0.25,200423.82065868803,21380.12003512995
identity,171327.112871936,19146.036851627287,0.8242401359259959,real,25232.186443776005,1802.2176906088134,0.8056460369163952,gate_resnet18,0.8111395907826098,0.7993045627365014,0.47102593361004946,0.77664196995692,0.7387769447218405,0.654327825260599,0.512486354227395,0.3059144918475935,0.09942521337659911,0.01215606243979102,8.632075064524761e-05,931,1,5297,0.30000000000000004,196559.299315712,20948.2545422361
identity,168198.69083238402,18796.43145261798,0.8274494997168208,real,25232.186443776005,1802.2176906088134,0.8023887079261672,gate_resnet18,0.8111383364925436,0.7993015078041378,0.4710260328093357,0.7766404570866517,0.7387737788976825,0.6543326986363693,0.5124896445287146,0.3059159599675406,0.09942553012376036,0.01215609380531113,8.632075064524761e-05,914,1,5297,0.35000000000000003,193430.87727616003,20598.649143226794
identity,163414.04536012802,18261.740842368454,0.8323579384557297,real,25232.186443776005,1802.2176906088134,0.7937024972855592,gate_resnet18,0.8111159805452007,0.799278009731535,0.47102685099634173,0.7766774794002592,0.738794098980099,0.6543435053870248,0.5124910420943778,0.30590068878408266,0.09942429722967386,0.012157087060519128,8.632075064524761e-05,888,1,5297,0.4,188646.23180390403,20063.958532977267
identity,160837.697798144,17973.830513772555,0.8350009439305267,real,25232.186443776005,1802.2176906088134,0.7861020629750272,gate_resnet18,0.8110942558515065,0.7992370230793387,0.47100451106422614,0.7766450761875862,0.7387462070398274,0.6543088922070368,0.5124214728630552,0.30592379613437276,0.0994227667263394,0.012159299802553052,8.632075064524761e-05,874,1,5297,0.45,186069.88424192002,19776.048204381368
identity,157157.201281024,17562.53004434984,0.8387766660373797,real,25232.186443776005,1802.2176906088134,0.7774158523344191,gate_resnet18,0.8110764481992817,0.7992100929675215,0.4710168802047138,0.7766657733432196,0.738732415043907,0.6542736284142207,0.5124862370583241,0.305956990869507,0.09951722513920248,0.012163519482705153,8.647152924899476e-05,854,1,5297,0.5,182389.3877248,19364.747734958655
identity,154396.828893184,17254.054692282807,0.8416084576175193,real,25232.186443776005,1802.2176906088134,0.7687296416938111,gate_resnet18,0.8110575005080372,0.799256023166446,0.47103685783556504,0.7767119760908765,0.7387706214623022,0.6542889494101387,0.5124852329375198,0.3060106222548324,0.09953584010876233,0.012165340887486682,8.647152924899476e-05,839,1,5297,0.55,179629.01533696,19056.27238289162
identity,151636.45650534402,16945.579340215772,0.844440249197659,real,25232.186443776005,1802.2176906088134,0.761129207383279,gate_resnet18,0.8110028426592407,0.7991901869891502,0.47054855308035803,0.7766680172983742,0.7386830802593473,0.6542207417676448,0.5124355079376289,0.30151427131289316,0.09951791598339739,0.012166495066655004,8.647152924899476e-05,824,1,5297,0.6000000000000001,176868.64294912003,18747.797030824586
