calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
temperature,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,gate_resnet18,0.8204416864049904,0.8083921525511768,0.4745779639397174,0.7856143879518543,0.7388888157920789,0.662118341320981,0.5126015083990697,0.3060447651949142,0.09943849583601279,0.012153165195450495,8.632075064524761e-05,5297,1,5297,0.0,1000011.6890030081,110735.14701721433
temperature,398781.797629952,44564.405861950945,0.5909005097224844,real,25232.186443776005,1802.2176906088134,0.9554831704668838,gate_resnet18,0.8203615314749105,0.8083215660211905,0.47454618669696974,0.7855320972191858,0.7388499484075292,0.6620661509151501,0.512574490639687,0.30605118686112875,0.09946361922503663,0.012154880131716261,8.639607416239006e-05,2167,1,5297,0.05,424013.98407372803,46366.62355255976
temperature,302536.813707264,33808.898586547,0.6896356428166888,real,25232.186443776005,1802.2176906088134,0.9218241042345277,gate_resnet18,0.8203244713945659,0.8082787811126301,0.4745181467913028,0.7855120097671582,0.7388219484432693,0.662007471934079,0.5125159359845943,0.306018353015153,0.0994600799257059,0.012156020261709477,8.639607416239006e-05,1644,1,5297,0.1,327769.00015104003,35611.116277155816
temperature,252666.08590028802,28235.777225869242,0.740796677364546,real,25232.186443776005,1802.2176906088134,0.8946796959826275,gate_resnet18,0.8202794484611744,0.7993889288154409,0.47362106287265127,0.7854371162010821,0.7388458397474658,0.662005077368649,0.5125293337309133,0.3060150109615309,0.09946641036346435,0.012157067002629678,8.639607416239006e-05,1373,1,5297,0.15000000000000002,277898.272344064,30037.994916478056
temperature,225246.386847744,25171.58872867003,0.7689258070606003,real,25232.186443776005,1802.2176906088134,0.8773072747014115,gate_resnet18,0.8111945583160998,0.799337284405244,0.47192465691327057,0.785381225255336,0.7387839674352696,0.6543147104944852,0.5125065425496766,0.30602249668549564,0.09946036180052811,0.012159101439925652,8.632075064524761e-05,1224,1,5297,0.2,250478.57329152,26973.806419278844
temperature,204635.606351872,22868.30609990284,0.7900698508589767,real,25232.186443776005,1802.2176906088134,0.8512486427795874,gate_resnet18,0.8111679809278537,0.79937047759697,0.471064148705531,0.7766912943036093,0.7388758101217032,0.6543420434453515,0.5124985558834981,0.3060093763820888,0.09943923561719012,0.012160392026399755,8.632075064524761e-05,1112,1,5297,0.25,229867.792795648,24670.523790511652
temperature,190465.69476096,21284.799292625394,0.8046063809703605,real,25232.186443776005,1802.2176906088134,0.8295331161780674,gate_resnet18,0.811142312928563,0.7993292925428036,0.47104562288003315,0.7766660750438742,0.7388382690449826,0.6543312200107483,0.5124864534566999,0.3059848572140388,0.09943310634584464,0.0121583214621308,8.632075064524761e-05,1035,1,5297,0.30000000000000004,215697.881204736,23087.016983234207
temperature,181264.45346816,20256.54811906861,0.814045686237493,real,25232.186443776005,1802.2176906088134,0.8186753528773073,gate_resnet18,0.8111646356838043,0.7993379651563529,0.47105266717839606,0.7766710252629648,0.738826777891633,0.6543569174927427,0.5125169502307714,0.30595608549128983,0.09945525367974482,0.012154740144011912,8.632075064524761e-05,985,1,5297,0.35000000000000003,206496.639911936,22058.765809677425
temperature,172431.261827072,19269.4269924541,0.8231074192939399,real,25232.186443776005,1802.2176906088134,0.8067318132464713,gate_resnet18,0.8111400258014946,0.7993108345415204,0.4710262946750941,0.776641059891643,0.7387760823798097,0.6543274268354573,0.51248567913596,0.30591427296025203,0.09942521337659911,0.012156031077560251,8.632075064524761e-05,937,1,5297,0.4,197663.44827084802,21071.644683062914
temperature,164334.169489408,18364.565959724132,0.8314140079290164,real,25232.186443776005,1802.2176906088134,0.7958740499457112,gate_resnet18,0.8111411179377817,0.7993012667095996,0.4710424446458643,0.776698503026298,0.738826975159929,0.6543678053926836,0.5125054080414878,0.3059186698819823,0.0994217010322302,0.012156678526005132,8.632075064524761e-05,893,1,5297,0.45,189566.355933184,20166.783650332945
temperature,157157.201281024,17562.53004434984,0.8387766660373797,real,25232.186443776005,1802.2176906088134,0.7774158523344191,gate_resnet18,0.8110764481992817,0.7992100929675215,0.4710168802047138,0.7766657733432196,0.738732415043907,0.6542736284142207,0.5124862370583241,0.305956990869507,0.09951722513920248,0.012163519482705153,8.647152924899476e-05,854,1,5297,0.5,182389.3877248,19364.747734958655
temperature,151268.406853632,16904.4492932735,0.8448178214083444,real,25232.186443776005,1802.2176906088134,0.761129207383279,gate_resnet18,0.8110028426592407,0.7991901869891502,0.47054855308035803,0.7766680172983742,0.7386830802593473,0.6542207417676448,0.5124355079376289,0.30151427131289316,0.09951791598339739,0.012166495066655004,8.647152924899476e-05,822,1,5297,0.55,176500.59329740802,18706.666983882315
