bucket,calibration,filter_rate,gate,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_classes,n_gt_tiles,n_tiles,stratum,threshold
boundary,temperature,0.0,real,1.0,gate_resnet18_temperature,0.8889319526696955,0.8885893202332005,0.5714524256036507,0.8782191430037581,0.8555778454132629,0.8198304761405173,0.702712649221607,0.4792960029387848,0.17960573017757486,0.021687248252292204,7.388798581350672e-05,1,124,124,boundary,0.0
interior,temperature,0.0,real,1.0,gate_resnet18_temperature,0.7976517305945906,0.7846747540397534,0.4484607817678331,0.7605538338908833,0.711360939426235,0.6205762208363843,0.4604846918762421,0.2609359290587319,0.07934488385563654,0.008927355997632757,9.747810224060382e-05,1,5173,5173,boundary,0.0
boundary,temperature,0.4435483870967742,real,0.9838709677419355,gate_resnet18_temperature,0.8889319526696955,0.8885893202332005,0.5714516227736097,0.8782191430037581,0.8555778454132629,0.8198314552574322,0.702712649221607,0.4792846030857477,0.17960812261328735,0.021687248252292204,7.388798581350672e-05,1,124,124,boundary,0.05
interior,temperature,0.5944326309684902,real,0.9534342258440046,gate_resnet18_temperature,0.797574617725424,0.7845733593523636,0.4484215185707579,0.760430143820502,0.7112900116321463,0.620550953341481,0.46044909335503875,0.2609465416977275,0.07937355586798168,0.008929430812674156,9.747810224060382e-05,1,5173,5173,boundary,0.05
boundary,temperature,0.4596774193548387,real,0.967741935483871,gate_resnet18_temperature,0.8889319526696955,0.8885893202332005,0.5714516227736097,0.8782191430037581,0.8555778454132629,0.8198314552574322,0.702712649221607,0.4792846030857477,0.17960812261328735,0.021687248252292204,7.388798581350672e-05,1,124,124,boundary,0.1
interior,temperature,0.6951478832398995,real,0.9185098952270081,gate_resnet18_temperature,0.7975465867380349,0.7845437036125265,0.44765601200310867,0.7603825846873101,0.7112395296330394,0.6131819091662482,0.4603909249527539,0.26089399062104374,0.07935287317334468,0.008930539344544108,9.747810224060382e-05,1,5173,5173,boundary,0.1
boundary,temperature,0.47580645161290325,real,0.967741935483871,gate_resnet18_temperature,0.8889319526696955,0.8885893202332005,0.5714516227736097,0.8782191430037581,0.8555778454132629,0.8198314552574322,0.702712649221607,0.4792846030857477,0.17960812261328735,0.021687248252292204,7.388798581350672e-05,1,124,124,boundary,0.15000000000000002
interior,temperature,0.7471486564855983,real,0.889406286379511,gate_resnet18_temperature,0.7974705379985326,0.7844517965012826,0.44763686784074597,0.7603209727576514,0.7112455980094077,0.6132128482916817,0.4603941129652998,0.2608821534566428,0.07936165813996954,0.008931522184750901,9.747810224060382e-05,1,5173,5173,boundary,0.15000000000000002
boundary,temperature,0.4838709677419355,real,0.967741935483871,gate_resnet18_temperature,0.8889319526696955,0.8885893202332005,0.5714516227736097,0.8782191430037581,0.8555778454132629,0.8198314552574322,0.702712649221607,0.4792846030857477,0.17960812261328735,0.021687248252292204,7.388798581350672e-05,1,124,124,boundary,0.2
interior,temperature,0.7757587473419679,real,0.8707799767171129,gate_resnet18_temperature,0.797370876659116,0.7756740799432971,0.44546382034396803,0.7517220129455163,0.7111763846934753,0.6131114596631655,0.4603636854840153,0.256830863073382,0.07935798276688767,0.008933380108584313,9.747810224060382e-05,1,5173,5173,boundary,0.2
boundary,temperature,0.49193548387096775,real,0.967741935483871,gate_resnet18_temperature,0.8889319526696955,0.8885893202332005,0.5714516227736097,0.8782191430037581,0.8555778454132629,0.8198314552574322,0.702712649221607,0.4792846030857477,0.17960812261328735,0.021687248252292204,7.388798581350672e-05,1,124,124,boundary,0.25
interior,temperature,0.7972163154842451,real,0.8428405122235157,gate_resnet18_temperature,0.7973425942852822,0.775706642647722,0.4454778922215974,0.7517709875822911,0.7112727636962366,0.6131483106951833,0.46034572237126953,0.2568292528361405,0.07933905713595243,0.00892611286365487,9.747810224060382e-05,1,5173,5173,boundary,0.25
boundary,temperature,0.49193548387096775,real,0.967741935483871,gate_resnet18_temperature,0.8889319526696955,0.8885893202332005,0.5714516227736097,0.8782191430037581,0.8555778454132629,0.8198314552574322,0.702712649221607,0.4792846030857477,0.17960812261328735,0.021687248252292204,7.388798581350672e-05,1,124,124,boundary,0.30000000000000004
interior,temperature,0.8121012951865455,real,0.819557625145518,gate_resnet18_temperature,0.7972856992694205,0.7756458621159725,0.44463742700823017,0.7517326070498235,0.7030651636489559,0.6131383436045059,0.46032640650507967,0.25681910559937254,0.0793380781654594,0.008925526021471356,9.747810224060382e-05,1,5173,5173,boundary,0.30000000000000004
boundary,temperature,0.49193548387096775,real,0.967741935483871,gate_resnet18_temperature,0.8889319526696955,0.8885893202332005,0.5714516227736097,0.8782191430037581,0.8555778454132629,0.8198314552574322,0.702712649221607,0.4792846030857477,0.17960812261328735,0.021687248252292204,7.388798581350672e-05,1,124,124,boundary,0.35000000000000003
interior,temperature,0.8217668664218055,real,0.8079161816065192,gate_resnet18_temperature,0.7973051176377114,0.7756669523760529,0.4446454400215405,0.7517438877207401,0.7030229866684294,0.6131954584709652,0.4603596310733579,0.2567863500697848,0.07935812606700299,0.008918412029119839,9.747810224060382e-05,1,5173,5173,boundary,0.35000000000000003
boundary,temperature,0.5,real,0.967741935483871,gate_resnet18_temperature,0.8889319526696955,0.8885893202332005,0.5714516227736097,0.8782191430037581,0.8555778454132629,0.8198314552574322,0.702712649221607,0.4792846030857477,0.17960812261328735,0.021687248252292204,7.388798581350672e-05,1,124,124,boundary,0.4
interior,temperature,0.8308525033829499,real,0.7951105937136205,gate_resnet18_temperature,0.7883486887477476,0.7756247633325029,0.44371788514244875,0.7516841948852357,0.7029650909117978,0.6131374846507178,0.46033821382196777,0.256752133255746,0.07931127901846073,0.00891952469807088,9.747810224060382e-05,1,5173,5173,boundary,0.4
boundary,temperature,0.5161290322580645,real,0.9516129032258065,gate_resnet18_temperature,0.8889319526696955,0.8885893202332005,0.5714516227736097,0.8782191430037581,0.8555778454132629,0.8198314552574322,0.702712649221607,0.4792846030857477,0.17960812261328735,0.021687248252292204,7.388798581350672e-05,1,124,124,boundary,0.45
interior,temperature,0.8389715832205683,real,0.7846332945285215,gate_resnet18_temperature,0.7883477157939188,0.7756041849984086,0.44373988906758044,0.7517587101128225,0.7030265548213346,0.6131922638905989,0.4603784010258247,0.25676436308458855,0.0793090073311697,0.008920211514896692,9.747810224060382e-05,1,5173,5173,boundary,0.45
boundary,temperature,0.5241935483870968,real,0.9354838709677419,gate_resnet18_temperature,0.8889271981412125,0.8885826034807652,0.5714480567342581,0.8782030474925189,0.8555733008909817,0.8198210624140784,0.7027165685439379,0.4792875275276936,0.17960812261328735,0.021687248252292204,7.388798581350672e-05,1,124,124,boundary,0.5
interior,temperature,0.8463174173593659,real,0.7660069848661234,gate_resnet18_temperature,0.7882576964976565,0.775469686498159,0.4436974907831184,0.7516756673706977,0.7029481443626868,0.6130583235277186,0.46029645658146523,0.2568395759607154,0.079404820414578,0.008926783541775445,9.775307573070424e-05,1,5173,5173,boundary,0.5
boundary,temperature,0.5241935483870968,real,0.9354838709677419,gate_resnet18_temperature,0.8889271981412125,0.8885826034807652,0.5714480567342581,0.8782030474925189,0.8555733008909817,0.8198210624140784,0.7027165685439379,0.4792875275276936,0.17960812261328735,0.021687248252292204,7.388798581350672e-05,1,124,124,boundary,0.55
interior,temperature,0.8525033829499323,real,0.7485448195576252,gate_resnet18_temperature,0.7881752369775643,0.7754508723461985,0.4436709567596474,0.7516594678059221,0.7029360166463053,0.6129944324554227,0.4601865752729994,0.25687511627606047,0.07940473497946071,0.008929361760809648,9.775307573070424e-05,1,5173,5173,boundary,0.55
boundary,temperature,0.5241935483870968,real,0.9354838709677419,gate_resnet18_temperature,0.8889271981412125,0.8885826034807652,0.5714480567342581,0.8782030474925189,0.8555733008909817,0.8198210624140784,0.7027165685439379,0.4792875275276936,0.17960812261328735,0.021687248252292204,7.388798581350672e-05,1,124,124,boundary,0.6000000000000001
interior,temperature,0.8594625942393196,real,0.7275902211874272,gate_resnet18_temperature,0.7880483234002107,0.7665718100599118,0.44202774382724835,0.7515165374523927,0.7027687479085042,0.6126785761315778,0.4537413638063333,0.2565932514960922,0.07932548358989433,0.008935314822625943,9.80296049406921e-05,1,5173,5173,boundary,0.6000000000000001
boundary,temperature,0.532258064516129,real,0.9193548387096774,gate_resnet18_temperature,0.8889039407952769,0.8885755348709181,0.570568415146542,0.8781959266435259,0.8555641938602577,0.8110663120790497,0.7027185296292758,0.4792904547357231,0.17960812261328735,0.021687248252292204,7.388798581350672e-05,1,124,124,boundary,0.65
interior,temperature,0.8641020684322444,real,0.7136204889406287,gate_resnet18_temperature,0.7879720904031556,0.7664961156584281,0.44194248104242567,0.7514045258322817,0.7026529977010196,0.6125146577220016,0.4535373733013988,0.25649088881665827,0.07932715546206527,0.008930837070175585,9.816845707233613e-05,1,5173,5173,boundary,0.65
boundary,temperature,0.5403225806451613,real,0.9193548387096774,gate_resnet18_temperature,0.8889039407952769,0.8885755348709181,0.570568415146542,0.8781959266435259,0.8555641938602577,0.8110663120790497,0.7027185296292758,0.4792904547357231,0.17960812261328735,0.021687248252292204,7.388798581350672e-05,1,124,124,boundary,0.7000000000000001
interior,temperature,0.870481345447516,real,0.6915017462165308,gate_resnet18_temperature,0.7787792056303099,0.766261108840083,0.43853866577184253,0.7426291509763823,0.6942499364580006,0.6050350401319371,0.4535380500815697,0.2564542605559671,0.07940590159705126,0.008935556102390338,9.844734473447344e-05,1,5173,5173,boundary,0.7000000000000001
boundary,temperature,0.5725806451612904,real,0.8548387096774194,gate_resnet18_temperature,0.8889011447886704,0.8885727931295095,0.5705517561109724,0.8781814369861406,0.8555357648509514,0.8110447003693847,0.7026894010301105,0.4792305767878889,0.17960028756447902,0.021687567616776572,7.388798581350672e-05,1,124,124,boundary,0.75
interior,temperature,0.8768606224627875,real,0.6682188591385332,gate_resnet18_temperature,0.7782282769807011,0.7569159514884993,0.4361289798952622,0.7333122691086607,0.6935840966181157,0.6041283247555382,0.4521302769330978,0.25515100999464513,0.07878683934498706,0.008950681665501102,0.00010207206287639073,1,5173,5173,boundary,0.75
boundary,temperature,0.5887096774193549,real,0.8225806451612904,gate_resnet18_temperature,0.8889010003206337,0.8885681645209578,0.5705482750230283,0.8781790105977024,0.8555332656441117,0.8110378796058969,0.7026716314496665,0.47922912726770334,0.17960121522102093,0.021687567616776572,7.388798581350672e-05,1,124,124,boundary,0.8
interior,temperature,0.8838198337521748,real,0.6414435389988359,gate_resnet18_temperature,0.7684879143179372,0.7472574106183042,0.42993322197017364,0.7237319275791483,0.6842101339934307,0.5954489026141508,0.4444351180166633,0.24995458052219313,0.07670831054028829,0.00899259181771665,0.00010532968190436065,1,5173,5173,boundary,0.8
boundary,temperature,0.6129032258064516,real,0.7741935483870968,gate_resnet18_temperature,0.8888841150311133,0.8885109091329404,0.569959826483984,0.8781479172594244,0.8554864730577761,0.8110090879578667,0.7026112849333933,0.47344780695001365,0.1797315408395778,0.021695057432603908,7.407224512974988e-05,1,124,124,boundary,0.8500000000000001
interior,temperature,0.8956118306591919,real,0.5855646100116414,gate_resnet18_temperature,0.749903761287589,0.7376756429093654,0.42355661339304673,0.7142830111748331,0.6749339331835439,0.5867416737735347,0.43736981101394284,0.24907503261857192,0.07650802215060833,0.008969755817422062,0.0001054900010549,1,5173,5173,boundary,0.8500000000000001
boundary,temperature,0.6370967741935484,real,0.7258064516129032,gate_resnet18_temperature,0.888881801121093,0.8885175938465661,0.5699615446150069,0.8781457340786867,0.8554931548128217,0.8110135043989153,0.702615180424662,0.47344780695001365,0.1797315408395778,0.021695057432603908,7.407224512974988e-05,1,124,124,boundary,0.9
interior,temperature,0.9058573361685676,real,0.5355064027939465,gate_resnet18_temperature,0.739824790562924,0.7187100999856568,0.4146338863955289,0.704161308156076,0.6567058002957895,0.5698451444415767,0.4290924255603402,0.24350533323614898,0.07594947710244929,0.008431052649199484,0.00011343196512777301,1,5173,5173,boundary,0.9
boundary,temperature,0.7016129032258065,real,0.5967741935483871,gate_resnet18_temperature,0.8792572635091983,0.8790620856924701,0.5653534137730261,0.8686749879507776,0.8462120703076195,0.8109366651222991,0.6944744406486938,0.4734239352877783,0.17972212687154307,0.021696490094750946,7.407224512974988e-05,1,124,124,boundary,0.9500000000000001
interior,temperature,0.9224821186932147,real,0.4481955762514552,gate_resnet18_temperature,0.6821769975155885,0.6705639988913502,0.3894261501271773,0.6565876304050524,0.6191631475280758,0.5438080537918255,0.4076188922199828,0.23260590894210703,0.07324751975173212,0.008384162424210013,0.00010518980184871076,1,5173,5173,boundary,0.9500000000000001
boundary,temperature,1.0,real,0.0,gate_resnet18_temperature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,124,124,boundary,1.0
interior,temperature,1.0,real,0.0,gate_resnet18_temperature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5173,5173,boundary,1.0
