calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
temperature,482027.0,116534.0,0.0,real,9534.6,10594.0,1.0,gate_resnet18_temperature,0.8204415783577526,0.8083921012527123,0.4745779568190381,0.785614384290796,0.7388889270907749,0.6621177487062142,0.5126014179233822,0.3060455180172725,0.09943833128186223,0.012153165195450495,8.639607416239006e-05,5297,1,5297,0.0,491561.6,127128.0
temperature,197197.0,47674.0,0.5909005097224844,real,9534.6,10594.0,0.9554831704668838,gate_resnet18_temperature,0.8203614693209501,0.8083215308543156,0.47454616980535674,0.785532120885479,0.738849949978977,0.6620661266394292,0.51257470749608,0.3060508974474209,0.09946361922503663,0.012154880131716261,8.639607416239006e-05,2167,1,5297,0.05,206731.6,58268.0
temperature,149604.0,36168.0,0.6896356428166888,real,9534.6,10594.0,0.9218241042345277,gate_resnet18_temperature,0.8203244247302729,0.8082787460364058,0.4745181154116679,0.7855120558708784,0.7388220054486737,0.6620074476583582,0.5125155303360578,0.3060184477744545,0.0994600799257059,0.012156020261709477,8.639607416239006e-05,1644,1,5297,0.1,159138.6,46762.0
temperature,124943.0,30206.0,0.740796677364546,real,9534.6,10594.0,0.8946796959826275,gate_resnet18_temperature,0.8202794028601007,0.7993888937468254,0.4736211155018979,0.7854371446174969,0.73884595914255,0.662005101170644,0.5125296743202731,0.3060151057208324,0.09946641036346435,0.012157067002629678,8.639607416239006e-05,1373,1,5297,0.15000000000000002,134477.6,40800.0
temperature,111384.0,26928.0,0.7689258070606003,real,9534.6,10594.0,0.8773072747014115,gate_resnet18_temperature,0.8111945884960998,0.7993373576962591,0.47192465634755515,0.7853812431618598,0.7387839967797163,0.6543147515826492,0.5125062813088086,0.30602343631587686,0.09945948594371165,0.012159101439925652,8.632075064524761e-05,1224,1,5297,0.2,120918.6,37522.0
temperature,101192.0,24464.0,0.7900698508589767,real,9534.6,10594.0,0.8512486427795874,gate_resnet18_temperature,0.8111680111930673,0.7993705499938412,0.47106411730072584,0.7766912837550969,0.738875858975189,0.6543419954249682,0.512498431324878,0.30600996980279943,0.09943835976037367,0.012160392026399755,8.632075064524761e-05,1112,1,5297,0.25,110726.6,35058.0
temperature,94185.0,22770.0,0.8046063809703605,real,9534.6,10594.0,0.8295331161780674,gate_resnet18_temperature,0.8111423431937764,0.79932936494306,0.47104562589092025,0.776666092315252,0.7388382850771934,0.6543311719903652,0.5124866780530017,0.30598545063474947,0.09943223048902819,0.0121583214621308,8.632075064524761e-05,1035,1,5297,0.30000000000000004,103719.6,33364.0
temperature,89635.0,21670.0,0.814045686237493,real,9534.6,10594.0,0.8186753528773073,gate_resnet18_temperature,0.8111646897117711,0.7993380506148898,0.47105250949381866,0.7766710261706091,0.7388261947876971,0.6543569603576211,0.5125167552971218,0.30595597928089124,0.09945437782292836,0.012154740144011912,8.632075064524761e-05,985,1,5297,0.35000000000000003,99169.6,32264.0
temperature,85267.0,20614.0,0.8231074192939399,real,9534.6,10594.0,0.8067318132464713,gate_resnet18_temperature,0.8111400798577785,0.799310920046587,0.47102620190121075,0.7766410462004241,0.7387761980724654,0.6543257729540326,0.5124854842175319,0.3059161612338527,0.09942400460123033,0.012156031077560251,8.632075064524761e-05,937,1,5297,0.4,94801.6,31208.0
temperature,81263.0,19646.0,0.8314140079290164,real,9534.6,10594.0,0.7958740499457112,gate_resnet18_temperature,0.8111411720140778,0.799301325108919,0.4710425163641701,0.7766984890875391,0.7388276575243634,0.6543679473881113,0.5125050879179687,0.3059199931056067,0.09942049221846418,0.012156678526005132,8.632075064524761e-05,893,1,5297,0.45,90797.6,30240.0
