bucket,calibration,filter_rate,gate,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_classes,n_gt_tiles,n_tiles,stratum,threshold
high,temperature,0.0,real,1.0,gate_resnet18_temperature,0.8310190815911683,0.8194874398514729,0.474161793808458,0.8049084772760301,0.7556996398913418,0.6590766538555671,0.4940538590941774,0.28193209135984537,0.08433752956972015,0.010997648826883727,0.0001055167683731073,1,1335,1335,gsd_bucket,0.0
low,temperature,0.0,real,1.0,gate_resnet18_temperature,0.293156345996506,0.267587334555988,0.13490339908332907,0.2400854650420374,0.20724105718226632,0.15663426330912936,0.11048982526995355,0.05076589303226815,0.021636324033405846,0.0013848175707839934,5.2664840952180324e-05,1,2209,2209,gsd_bucket,0.0
medium,temperature,0.0,real,1.0,gate_resnet18_temperature,0.6452851136568879,0.5898982199775812,0.31900135731978796,0.527777525711809,0.4915759660753162,0.4230740759331123,0.3279505093203778,0.16384697289703823,0.018984491841693308,0.0016206977840641206,0.0,1,389,389,gsd_bucket,0.0
unknown,temperature,0.0,real,1.0,gate_resnet18_temperature,0.6452882996190882,0.6046577023880336,0.32332193853677826,0.5549392645429868,0.5115285347415278,0.36559420682366345,0.2944015406219213,0.1886129172629961,0.062267382431025094,0.005222323358039368,0.0007072135785007071,1,134,134,gsd_bucket,0.0
very_high,temperature,0.0,real,1.0,gate_resnet18_temperature,0.9098161010516612,0.8973387571300555,0.5722043156833658,0.8774388695837865,0.8545142192227422,0.8059437809132163,0.703413583663488,0.47704074265476903,0.17849236115189915,0.017964026868841538,8.071459319845028e-05,1,1143,1143,gsd_bucket,0.0
very_low,temperature,0.0,real,nan,gate_resnet18_temperature,0.0,,0.0,,,,,,,,,0,87,87,gsd_bucket,0.0
high,temperature,0.4651685393258427,real,0.984375,gate_resnet18_temperature,0.831027577382466,0.8194958392020875,0.4741661120621602,0.8049237853800068,0.7557089955791307,0.6590793591891545,0.49405355543200574,0.28193137684188324,0.0843374660196108,0.010997648826883727,0.0001055167683731073,1,1335,1335,gsd_bucket,0.05
low,temperature,0.6559529198732458,real,0.9139784946236559,gate_resnet18_temperature,0.2825921000829369,0.25200773089561984,0.12930055662655474,0.23001956283673233,0.19922070021721797,0.14876260992513005,0.10807233564650956,0.04906518949268823,0.022296698018354693,0.000913937547600914,5.4701602756960775e-05,1,2209,2209,gsd_bucket,0.05
medium,temperature,0.6118251928020566,real,1.0,gate_resnet18_temperature,0.6453893322934552,0.5899705768962231,0.3190365397831395,0.5278235154455854,0.4916163193228179,0.423109734806971,0.3279800659087386,0.16386760313678642,0.018987552236753587,0.0016206977840641206,0.0,1,389,389,gsd_bucket,0.05
unknown,temperature,0.5895522388059702,real,0.9795918367346939,gate_resnet18_temperature,0.6371396460328181,0.6047867193542951,0.32276011454475406,0.555923746119442,0.5122446471359838,0.3659492459382734,0.29464943821486017,0.18871078328430277,0.062267382431025094,0.005222323358039368,0.0007072135785007071,1,134,134,gsd_bucket,0.05
very_high,temperature,0.5774278215223098,real,0.9294117647058824,gate_resnet18_temperature,0.9006641208052563,0.8883627478644902,0.5673796264128289,0.8770266401767339,0.8458308162640217,0.7978141951547544,0.6959764801849035,0.4715537508468615,0.17851816974964232,0.01796862848842687,8.071459319845028e-05,1,1143,1143,gsd_bucket,0.05
very_low,temperature,0.9540229885057471,real,nan,gate_resnet18_temperature,0.0,,0.0,,,,,,,,,0,87,87,gsd_bucket,0.05
high,temperature,0.5415730337078651,real,0.96875,gate_resnet18_temperature,0.8310245928058974,0.819513033837574,0.47417263706770185,0.8049407657830581,0.7557233133297678,0.6590901075335645,0.4940597653984397,0.2819338126814806,0.08433781371198033,0.010997648826883727,0.0001055167683731073,1,1335,1335,gsd_bucket,0.1
low,temperature,0.7799909461294704,real,0.8333333333333334,gate_resnet18_temperature,0.27579205874532425,0.2453816335809784,0.12646676643699833,0.2236408615626102,0.19383230408411561,0.14863477281933377,0.10501448390287418,0.04907155584299027,0.02233043274427372,0.000913937547600914,5.5623539882078096e-05,1,2209,2209,gsd_bucket,0.1
medium,temperature,0.7197943444730077,real,0.9787234042553191,gate_resnet18_temperature,0.638558798632704,0.5906423703581128,0.3168535263256128,0.5278357037428087,0.4918383967763992,0.41716207061796695,0.32293425585207436,0.15993998596863906,0.018001250156744614,0.001622431150678093,0.0,1,389,389,gsd_bucket,0.1
unknown,temperature,0.6194029850746269,real,0.9795918367346939,gate_resnet18_temperature,0.6371396460328181,0.6047867193542951,0.32276011454475406,0.555923746119442,0.5122446471359838,0.3659492459382734,0.29464943821486017,0.18871078328430277,0.062267382431025094,0.005222323358039368,0.0007072135785007071,1,134,134,gsd_bucket,0.1
very_high,temperature,0.663167104111986,real,0.8941176470588236,gate_resnet18_temperature,0.9005553958695963,0.888188439680486,0.5672545740297291,0.8768427631678571,0.8455612588351243,0.7976008510084913,0.6957431981185055,0.47148877256502725,0.17851111336940328,0.017973233089602126,8.071459319845028e-05,1,1143,1143,gsd_bucket,0.1
very_low,temperature,0.9885057471264368,real,nan,gate_resnet18_temperature,0.0,,0.0,,,,,,,,,0,87,87,gsd_bucket,0.1
high,temperature,0.5857677902621723,real,0.9583333333333334,gate_resnet18_temperature,0.8310282259941733,0.8195111960424722,0.4741857549803652,0.8049463989202219,0.7557767328704507,0.659127155629967,0.494082224915869,0.28194258531795696,0.08433973625127972,0.010997777092888296,0.0001055167683731073,1,1335,1335,gsd_bucket,0.15000000000000002
low,temperature,0.8424626527840652,real,0.7473118279569892,gate_resnet18_temperature,0.2583912749746104,0.22947341143008856,0.12045014330447498,0.20878893477965793,0.18712436272623817,0.14270329973133475,0.10480953806234397,0.049368265438157186,0.022826621674232283,0.0009581603321622484,5.7563895924476166e-05,1,2209,2209,gsd_bucket,0.15000000000000002
medium,temperature,0.7634961439588689,real,0.9787234042553191,gate_resnet18_temperature,0.638558798632704,0.5906423703581128,0.3168535263256128,0.5278357037428087,0.4918383967763992,0.41716207061796695,0.32293425585207436,0.15993998596863906,0.018001250156744614,0.001622431150678093,0.0,1,389,389,gsd_bucket,0.15000000000000002
unknown,temperature,0.6492537313432836,real,0.9387755102040817,gate_resnet18_temperature,0.6371396460328181,0.6047867193542951,0.32276011454475406,0.555923746119442,0.5122446471359838,0.3659492459382734,0.29464943821486017,0.18871078328430277,0.062267382431025094,0.005222323358039368,0.0007072135785007071,1,134,134,gsd_bucket,0.15000000000000002
very_high,temperature,0.7086614173228346,real,0.8823529411764706,gate_resnet18_temperature,0.9004761612770475,0.8880422408160242,0.5663273097667324,0.8681325672171668,0.8454808828254208,0.7975086650695322,0.6956561927062019,0.4714170509307752,0.17850368305813838,0.01797493917381855,8.071459319845028e-05,1,1143,1143,gsd_bucket,0.15000000000000002
very_low,temperature,1.0,real,nan,gate_resnet18_temperature,0.0,,0.0,,,,,,,,,0,87,87,gsd_bucket,0.15000000000000002
high,temperature,0.6254681647940075,real,0.9453125,gate_resnet18_temperature,0.8310065412157901,0.8194887222345508,0.4732834043559901,0.796034008304261,0.7557200731260459,0.6591204239424637,0.49407869633930107,0.28194163905682545,0.08434064547940112,0.010997777092888296,0.0001055167683731073,1,1335,1335,gsd_bucket,0.2
low,temperature,0.8687188773200544,real,0.7150537634408602,gate_resnet18_temperature,0.2520863743266648,0.22938321355576693,0.12000973892055748,0.2098978990657369,0.1875784921594245,0.14325198298825362,0.10479852014644155,0.049179148091391955,0.022905012799501565,0.0009581603321622484,5.8585740230827815e-05,1,2209,2209,gsd_bucket,0.2
medium,temperature,0.794344473007712,real,0.9574468085106383,gate_resnet18_temperature,0.6377144507438173,0.58258811799572,0.31461663086968616,0.526849107897644,0.4845374251560622,0.41560235947785795,0.320984444390407,0.15808491798918156,0.01818217624151143,0.001623308804659851,0.0,1,389,389,gsd_bucket,0.2
unknown,temperature,0.6567164179104478,real,0.9387755102040817,gate_resnet18_temperature,0.6371396460328181,0.6047867193542951,0.32276011454475406,0.555923746119442,0.5122446471359838,0.3659492459382734,0.29464943821486017,0.18871078328430277,0.062267382431025094,0.005222323358039368,0.0007072135785007071,1,134,134,gsd_bucket,0.2
very_high,temperature,0.7305336832895888,real,0.8666666666666667,gate_resnet18_temperature,0.9003075639497635,0.8879114442916982,0.5662403269475783,0.8679765286636266,0.8452994298804635,0.7972920246231963,0.6955539806453237,0.4715512106158907,0.17844855943725269,0.017981812775369754,8.071459319845028e-05,1,1143,1143,gsd_bucket,0.2
very_low,temperature,1.0,real,nan,gate_resnet18_temperature,0.0,,0.0,,,,,,,,,0,87,87,gsd_bucket,0.2
high,temperature,0.648689138576779,real,0.9375,gate_resnet18_temperature,0.8310489066970953,0.8195244199452731,0.47330860052854173,0.7960718573710406,0.7557805593847637,0.6591621786200554,0.4941020557660979,0.28194964192735106,0.08434309171247842,0.010997777092888296,0.0001055167683731073,1,1335,1335,gsd_bucket,0.25
low,temperature,0.8899954730647351,real,0.6559139784946236,gate_resnet18_temperature,0.2432760153793377,0.22094210997792987,0.11546300628752379,0.20158806724198433,0.18032530081466294,0.13755121946446378,0.10123403256171613,0.04600876302022617,0.022686749564086253,0.0009581603321622484,5.9644518668734345e-05,1,2209,2209,gsd_bucket,0.25
medium,temperature,0.8226221079691517,real,0.9148936170212766,gate_resnet18_temperature,0.6373576868100649,0.5822004417517398,0.313899766010501,0.5200178423407348,0.48470253295078825,0.41572232957737254,0.3210614222422018,0.1581235467254994,0.018187663810221102,0.0016241938963872174,0.0,1,389,389,gsd_bucket,0.25
unknown,temperature,0.6567164179104478,real,0.9387755102040817,gate_resnet18_temperature,0.6371396460328181,0.6047867193542951,0.32276011454475406,0.555923746119442,0.5122446471359838,0.3659492459382734,0.29464943821486017,0.18871078328430277,0.062267382431025094,0.005222323358039368,0.0007072135785007071,1,134,134,gsd_bucket,0.25
very_high,temperature,0.7506561679790026,real,0.8352941176470589,gate_resnet18_temperature,0.9000323203724137,0.8791370712887678,0.5653627174626039,0.8679331488074941,0.8454317537334105,0.7973944349906767,0.6955575824352375,0.4715864890760111,0.1784825311597248,0.017991128169104174,8.071459319845028e-05,1,1143,1143,gsd_bucket,0.25
very_low,temperature,1.0,real,nan,gate_resnet18_temperature,0.0,,0.0,,,,,,,,,0,87,87,gsd_bucket,0.25
high,temperature,0.6651685393258427,real,0.9322916666666666,gate_resnet18_temperature,0.8310319080851089,0.8195055918434695,0.4733010037148257,0.796057880782165,0.7557644890590978,0.6591544117404399,0.49410106306867835,0.28194739579407135,0.08434400291396477,0.010997777092888296,0.0001055167683731073,1,1335,1335,gsd_bucket,0.30000000000000004
low,temperature,0.9040289723856949,real,0.6021505376344086,gate_resnet18_temperature,0.23562049881037547,0.21362783212393452,0.1127115166134596,0.1955942026902906,0.17474412242739976,0.1369990255656546,0.10088459705778643,0.04592932533639317,0.022697395789999172,0.0009581603321622484,6.000600060006001e-05,1,2209,2209,gsd_bucket,0.30000000000000004
medium,temperature,0.8431876606683805,real,0.8723404255319149,gate_resnet18_temperature,0.6373509384148606,0.5821920518549993,0.3138962094238392,0.5200178423407348,0.48470253295078825,0.41572232957737254,0.3210614222422018,0.15810311915082703,0.018187663810221102,0.0016241938963872174,0.0,1,389,389,gsd_bucket,0.30000000000000004
unknown,temperature,0.6716417910447762,real,0.8979591836734694,gate_resnet18_temperature,0.6363982249444154,0.5957904863322845,0.32199549853361403,0.5550485912801111,0.5111852520447975,0.367810901589052,0.29589186802142203,0.18942835390468457,0.06246517226197523,0.005228921378897033,0.0007072135785007071,1,134,134,gsd_bucket,0.30000000000000004
very_high,temperature,0.7629046369203849,real,0.8196078431372549,gate_resnet18_temperature,0.8999766441448208,0.8790536159404555,0.5653193256914606,0.8678888979416757,0.8453123175900152,0.7973508959148152,0.695554147103144,0.471554454866743,0.1784600460739875,0.01796152274575044,8.071459319845028e-05,1,1143,1143,gsd_bucket,0.30000000000000004
very_low,temperature,1.0,real,nan,gate_resnet18_temperature,0.0,,0.0,,,,,,,,,0,87,87,gsd_bucket,0.30000000000000004
high,temperature,0.6764044943820224,real,0.9270833333333334,gate_resnet18_temperature,0.8310290073961591,0.8195055918434695,0.47330059798137086,0.7960578292022957,0.7557649422867652,0.6591528534470424,0.49410106306867835,0.28194739579407135,0.08434400291396477,0.010997777092888296,0.0001055167683731073,1,1335,1335,gsd_bucket,0.35000000000000003
low,temperature,0.9148936170212766,real,0.5752688172043011,gate_resnet18_temperature,0.24072531497505537,0.21789487294360613,0.11471244721723686,0.19921171284234399,0.17752114273173447,0.13935801003695494,0.10219456939574596,0.046399368504456154,0.02279865591601177,0.0009581603321622484,6.266449429753102e-05,1,2209,2209,gsd_bucket,0.35000000000000003
