calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
temperature,482027.0,116534.0,0.0,real,9534.6,10594.0,1.0,gate_resnet18_temperature,0.8204416170053646,0.8083921010753131,0.47457788959408587,0.7856144016269356,0.7388890769445137,0.6621182945054713,0.512601091092148,0.3060451324423035,0.09943761997919633,0.012153165195450495,8.639607416239006e-05,5297,1,5297,0.0,491561.6,127128.0
temperature,197197.0,47674.0,0.5909005097224844,real,9534.6,10594.0,0.9554831704668838,gate_resnet18_temperature,0.8203613853708156,0.8083214353367093,0.47454588648539103,0.7855321428742256,0.7388498581880475,0.6620646386871544,0.5125734086854495,0.3060512644284554,0.09946345507717423,0.012154880131716261,8.639607416239006e-05,2167,1,5297,0.05,206731.6,58268.0
temperature,149604.0,36168.0,0.6896356428166888,real,9534.6,10594.0,0.9218241042345277,gate_resnet18_temperature,0.8203254282199456,0.8082786504480058,0.4745181176156804,0.7855120554357272,0.7388218887331857,0.6620073064962575,0.5125146998305635,0.30601881498504935,0.09945991567219725,0.012156020261709477,8.639607416239006e-05,1644,1,5297,0.1,159138.6,46762.0
temperature,124943.0,30206.0,0.740796677364546,real,9534.6,10594.0,0.8946796959826275,gate_resnet18_temperature,0.8202793071989801,0.7993887981756679,0.4736210189068295,0.7854371804289116,0.7388458142392624,0.6620049828539857,0.5125288437666065,0.3060155532181333,0.09946624610995568,0.012157067002629678,8.639607416239006e-05,1373,1,5297,0.15000000000000002,134477.6,40800.0
temperature,111384.0,26928.0,0.7689258070606003,real,9534.6,10594.0,0.8773072747014115,gate_resnet18_temperature,0.8111944576405274,0.7993371952733137,0.4719247005508209,0.7853812915296049,0.7387839539584724,0.6543148233795041,0.5125062781357067,0.3060241862889563,0.09945932178803553,0.012159101439925652,8.639607416239006e-05,1224,1,5297,0.2,120918.6,37522.0
temperature,101192.0,24464.0,0.7900698508589767,real,9534.6,10594.0,0.8512486427795874,gate_resnet18_temperature,0.8111678802785838,0.7993703752627432,0.4710640897921202,0.7766913322845147,0.7388758278039349,0.6543419291900391,0.5124986457141513,0.3060099230703946,0.09943819621627809,0.012160392026399755,8.639607416239006e-05,1112,1,5297,0.25,110726.6,35058.0
temperature,94185.0,22770.0,0.8046063809703605,real,9534.6,10594.0,0.8295331161780674,gate_resnet18_temperature,0.8111422122792931,0.7993291902119621,0.4710455619176021,0.7766661408446697,0.7388381756817839,0.6543311057554358,0.5124866059418792,0.3059854039797713,0.0994320669449326,0.0121583214621308,8.639607416239006e-05,1035,1,5297,0.30000000000000004,103719.6,33364.0
temperature,89635.0,21670.0,0.814045686237493,real,9534.6,10594.0,0.8186753528773073,gate_resnet18_temperature,0.8111645474429559,0.7993378626978541,0.47105260093234624,0.7766710747101353,0.7388261575599004,0.6543569320996874,0.5125171488049323,0.30595693489815096,0.09945421489167265,0.012154740144011912,8.639607416239006e-05,985,1,5297,0.35000000000000003,99169.6,32264.0
temperature,85267.0,20614.0,0.8231074192939399,real,9534.6,10594.0,0.8067318132464713,gate_resnet18_temperature,0.8111399375849181,0.7993107321080517,0.4710261978311153,0.7766411093699783,0.7387760636632806,0.6543267846686741,0.5124855074463056,0.3059155752676066,0.09942384105061536,0.012156031077560251,8.639607416239006e-05,937,1,5297,0.4,94801.6,31208.0
temperature,81263.0,19646.0,0.8314140079290164,real,9534.6,10594.0,0.7958740499457112,gate_resnet18_temperature,0.8111410172896448,0.7993011507370443,0.4710424652591616,0.7766985521265293,0.7388274905849739,0.6543678295254153,0.5125052366348727,0.30591997222060935,0.09942032887235869,0.012156678526005132,8.639607416239006e-05,893,1,5297,0.45,90797.6,30240.0
temperature,77714.0,18788.0,0.8387766660373797,real,9534.6,10594.0,0.7774158523344191,gate_resnet18_temperature,0.8110763361150857,0.7992099764976349,0.47101668336986735,0.7766658417685852,0.7387323481370072,0.6542736024612115,0.5124863240620767,0.30595616715855484,0.09951617089956331,0.012163519482705153,8.654711625008655e-05,854,1,5297,0.5,87248.6,29382.0
temperature,74802.0,18084.0,0.8448178214083444,real,9534.6,10594.0,0.761129207383279,gate_resnet18_temperature,0.8110027414791905,0.7991900838609773,0.4705484544852811,0.7766680853902668,0.7386836671190706,0.6542207209924833,0.5124361039803845,0.3015132376932603,0.09951686215427327,0.012166495066655004,8.654711625008655e-05,822,1,5297,0.55,84336.6,28678.0
temperature,71526.0,17292.0,0.8516141212006796,real,9534.6,10594.0,0.741585233441911,gate_resnet18_temperature,0.8109170934079497,0.7991094276906032,0.4698005914232478,0.7765988164798734,0.7385366140096422,0.6540402446062771,0.5057532570556513,0.30133763964473764,0.09946210761822506,0.012164015032136705,8.669868738187304e-05,786,1,5297,0.6000000000000001,81060.6,27886.0
temperature,69251.0,16742.0,0.8563337738342458,real,9534.6,10594.0,0.7274701411509229,gate_resnet18_temperature,0.8108610365791991,0.7901251286994915,0.46801641522980797,0.7765215470513418,0.7300942854405513,0.6539474799580526,0.505598057131565,0.30127914139127254,0.09949185202655302,0.012158849347844369,8.677467220867573e-05,761,1,5297,0.65,78785.6,27336.0
temperature,66157.0,15994.0,0.8627525014158958,real,9534.6,10594.0,0.7068403908794788,gate_resnet18_temperature,0.801622341545831,0.7899740253112841,0.46616925193374126,0.7675722863957027,0.7300080020216927,0.6538346395416645,0.5056153691757028,0.30126293185633873,0.09956388497635843,0.012152111470704333,8.692704213353733e-05,727,1,5297,0.7000000000000001,75691.6,26588.0
temperature,62790.0,15180.0,0.8697375873135738,real,9534.6,10594.0,0.6807817589576547,gate_resnet18_temperature,0.8012473946910779,0.789550301647708,0.4648918050947942,0.7671329162981628,0.7294837504010349,0.6455959855295565,0.5046297848031661,0.30046066111086955,0.0991274362572138,0.011600942380615237,8.887782853689318e-05,690,1,5297,0.75,72324.6,25774.0
temperature,59332.0,14344.0,0.8769114593165943,real,9534.6,10594.0,0.6536373507057546,gate_resnet18_temperature,0.791656180823895,0.7800287742577976,0.4587348501507342,0.7576684427738489,0.7203088845807615,0.6369911146092492,0.49712814438362746,0.29509796577379077,0.09673507942128075,0.01164332942930249,9.058545378783076e-05,652,1,5297,0.8,68866.6,24938.0
temperature,53508.0,12936.0,0.8889937700585236,real,9534.6,10594.0,0.5982627578718784,gate_resnet18_temperature,0.7820782895048454,0.7705477233161864,0.4541246997294187,0.7482976537245588,0.7111941562682835,0.636135919627782,0.4898663577116297,0.29471510102645737,0.0966872778391479,0.011633683503745038,9.083477155054956e-05,588,1,5297,0.8500000000000001,63042.6,23530.0
temperature,48412.0,11704.0,0.8995657919577119,real,9534.6,10594.0,0.5483170466883822,gate_resnet18_temperature,0.7631776659810705,0.751806421352115,0.4468340088384495,0.7385816497608039,0.7016019514673781,0.627117487738986,0.4885130958337584,0.28902793329211435,0.09675959034018387,0.011659364620970475,9.49279971141889e-05,532,1,5297,0.9,57946.6,22298.0
temperature,39858.0,9636.0,0.9173116858599207,real,9534.6,10594.0,0.4581976112920738,gate_resnet18_temperature,0.7241937893476974,0.7131772530121128,0.4258515824199526,0.7002880870738191,0.664558967784909,0.6013264670891184,0.4668071827312591,0.28271491197710996,0.09374394485061012,0.011615843290872353,8.937704201714053e-05,438,1,5297,0.9500000000000001,49392.6,20230.0
temperature,0.0,0.0,1.0,real,9534.6,10594.0,0.0,gate_resnet18_temperature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,1.0,9534.6,10594.0
