bucket,calibration,filter_rate,gate,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_classes,n_gt_tiles,n_tiles,skipped,stratum,threshold
GF,temperature,0.0,real,1.0,gate_resnet18_temperature,0.3640163727328874,0.3289865244703497,0.1701700227059358,0.3001156047118711,0.2640613186795805,0.19889084044614055,0.14645769545743095,0.06896950359200064,0.02869386203326215,0.0014433668430781697,6.513809275664408e-05,1,715,715,,imagesource,0.0
GoogleEarth,temperature,0.0,real,1.0,gate_resnet18_temperature,0.8398652861559291,0.8189729097864465,0.484624281032955,0.8049279810940686,0.7580093331872125,0.6729292461707013,0.5224668163666066,0.31385920442589793,0.10287504361346099,0.012250442412976001,8.654711625008655e-05,1,3317,3317,,imagesource,0.0
JL,temperature,0.0,real,1.0,gate_resnet18_temperature,0.07985619990570485,0.07985619990570485,0.037904290429042906,0.06718528995756719,0.05351249410655352,0.042432814710042434,0.03663366336633664,0.016737388024516738,0.0028288543140028285,0.0,0.0,1,1265,1265,,imagesource,0.0
unknown,temperature,,real,,gate_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.0
GF,temperature,0.3076923076923077,real,0.9463087248322147,gate_resnet18_temperature,0.3460688569027781,0.3112377221916452,0.16316770135038916,0.2890949956652482,0.25537533442284505,0.1899862413888975,0.1418875862860631,0.06679790518499845,0.029693509245812304,0.0014670472149255743,6.781500067815e-05,1,715,715,,imagesource,0.05
GoogleEarth,temperature,0.551703346397347,real,0.9617414248021108,gate_resnet18_temperature,0.8308344495551703,0.8189444156468288,0.4828342337865156,0.7961537934552843,0.7579624854169026,0.6729192861175365,0.5224500549321809,0.3138684483398029,0.10287196025105529,0.012250897034144427,8.654711625008655e-05,1,3317,3317,,imagesource,0.05
JL,temperature,0.8537549407114624,real,0.7142857142857143,gate_resnet18_temperature,0.07985619990570485,0.07985619990570485,0.037904290429042906,0.06718528995756719,0.05351249410655352,0.042432814710042434,0.03663366336633664,0.016737388024516738,0.0028288543140028285,0.0,0.0,1,1265,1265,,imagesource,0.05
unknown,temperature,,real,,gate_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.05
GF,temperature,0.4937062937062937,real,0.8657718120805369,gate_resnet18_temperature,0.3389664951053897,0.3043296731284429,0.15968280153059614,0.2823547532681215,0.2491910978248602,0.18541057396361774,0.13846249402541005,0.06684756135661385,0.02972213041333161,0.0014744793444861728,6.875687568756875e-05,1,715,715,,imagesource,0.1
GoogleEarth,temperature,0.6343081097377148,real,0.9406332453825857,gate_resnet18_temperature,0.8308070491082267,0.8189370041351676,0.4825882127676813,0.7961483694957037,0.7579294562485981,0.6728759432679587,0.5223918429095527,0.3138317337510423,0.10062249366689896,0.012251687977414645,8.654711625008655e-05,1,3317,3317,,imagesource,0.1
JL,temperature,0.9454545454545454,real,0.5,gate_resnet18_temperature,0.06637985227094138,0.06637985227094138,0.029965317960367464,0.05421970768505422,0.04020402040204021,0.030803080308030802,0.02599009900990099,0.012376237623762377,0.0033003300330033,0.0,0.0,1,1265,1265,,imagesource,0.1
unknown,temperature,,real,,gate_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.1
GF,temperature,0.6265734265734266,real,0.7718120805369127,gate_resnet18_temperature,0.3120949331017579,0.2859904830817139,0.15209058180206575,0.26506645101675963,0.2361877171535175,0.1834457983792802,0.13803866608944526,0.06783371717362932,0.030632596684119575,0.0015437090353686862,7.174630506528914e-05,1,715,715,,imagesource,0.15000000000000002
GoogleEarth,temperature,0.6786252637925837,real,0.9287598944591029,gate_resnet18_temperature,0.8308005554547587,0.8189250563405651,0.48258833499890663,0.796134187494841,0.757948689807286,0.6728971514607182,0.5223923812409439,0.3138215432832409,0.10062522746352154,0.012252010326941381,8.654711625008655e-05,1,3317,3317,,imagesource,0.15000000000000002
JL,temperature,0.9683794466403162,real,0.35714285714285715,gate_resnet18_temperature,0.05771694816540477,0.05771694816540477,0.025520287322849933,0.04638905066977286,0.0326150262085032,0.024461269656377405,0.019801980198019802,0.0132013201320132,0.0033003300330033,0.0,0.0,1,1265,1265,,imagesource,0.15000000000000002
unknown,temperature,,real,,gate_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.15000000000000002
GF,temperature,0.6783216783216783,real,0.738255033557047,gate_resnet18_temperature,0.31192009953763805,0.27959835573847885,0.1510133791779121,0.2666574571768196,0.23706402558621656,0.17936428282565695,0.1380651230298557,0.06511203182238809,0.03072279633378124,0.001556279060885838,7.334066740007334e-05,1,715,715,,imagesource,0.2
GoogleEarth,temperature,0.7093759421163702,real,0.9142480211081794,gate_resnet18_temperature,0.8307609737273836,0.8188625833469868,0.4825537134696408,0.7960877180998533,0.7578590988104354,0.6728117367529298,0.5223668068418812,0.31382892601169915,0.10061874993604408,0.012253994052944719,8.654711625008655e-05,1,3317,3317,,imagesource,0.2
JL,temperature,0.9762845849802372,real,0.35714285714285715,gate_resnet18_temperature,0.060506050605060514,0.060506050605060514,0.026389697793308742,0.04950495049504951,0.0326150262085032,0.024461269656377405,0.019801980198019802,0.0132013201320132,0.0033003300330033,0.0,0.0,1,1265,1265,,imagesource,0.2
unknown,temperature,,real,,gate_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.2
GF,temperature,0.7230769230769231,real,0.6845637583892618,gate_resnet18_temperature,0.3033125411015031,0.2716961560211498,0.14771370768743858,0.2586923372556853,0.2301217950710164,0.17902842234868094,0.13772258557570977,0.06417205446291471,0.030756703834120318,0.0015605932177917246,7.388798581350672e-05,1,715,715,,imagesource,0.25
GoogleEarth,temperature,0.7307808260476334,real,0.8931398416886543,gate_resnet18_temperature,0.830751959908428,0.8188929312133507,0.48256761152404143,0.7961239018120493,0.7579376154260639,0.6728599546155593,0.5223530033390404,0.3138095774717741,0.10060715532093017,0.012253469016967755,8.654711625008655e-05,1,3317,3317,,imagesource,0.25
JL,temperature,0.983399209486166,real,0.35714285714285715,gate_resnet18_temperature,0.060506050605060514,0.060506050605060514,0.026389697793308742,0.04950495049504951,0.0326150262085032,0.024461269656377405,0.019801980198019802,0.0132013201320132,0.0033003300330033,0.0,0.0,1,1265,1265,,imagesource,0.25
unknown,temperature,,real,,gate_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.25
GF,temperature,0.7552447552447552,real,0.6442953020134228,gate_resnet18_temperature,0.29592431187450446,0.2712979747849884,0.1461683753775655,0.25207066871659173,0.22976314811891693,0.17850257961818786,0.13761316117961964,0.0641207244451203,0.030756703834120318,0.0015605932177917246,7.388798581350672e-05,1,715,715,,imagesource,0.30000000000000004
GoogleEarth,temperature,0.7464576424479952,real,0.8773087071240105,gate_resnet18_temperature,0.8307232684902227,0.8188473130835482,0.4825537484700758,0.7961015819635384,0.7579093207756409,0.6728636534750835,0.5223477163363469,0.31379829762577677,0.10060670635446538,0.012253079479885772,8.654711625008655e-05,1,3317,3317,,imagesource,0.30000000000000004
JL,temperature,0.9849802371541502,real,0.21428571428571427,gate_resnet18_temperature,0.011881188118811881,0.011881188118811881,0.0049504950495049506,0.0059405940594059415,0.0059405940594059415,0.0059405940594059415,0.0059405940594059415,0.0019801980198019802,0.0,0.0,0.0,1,1265,1265,,imagesource,0.30000000000000004
unknown,temperature,,real,,gate_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.30000000000000004
GF,temperature,0.7846153846153846,real,0.6174496644295302,gate_resnet18_temperature,0.3046496058289527,0.27848457602006477,0.14950243024901042,0.2580034027242366,0.23444135285655116,0.18207518488129645,0.13976927143099258,0.06500872960050132,0.030921538835768668,0.0015926797597792565,7.796055196070789e-05,1,715,715,,imagesource,0.35000000000000003
GoogleEarth,temperature,0.7545975278866446,real,0.8707124010554089,gate_resnet18_temperature,0.8306927507173634,0.8188171843883122,0.48254507301768035,0.7960790031994762,0.757856649247538,0.6728914513938744,0.5223665024754195,0.3137815238185464,0.10062946254855626,0.012249655271466665,8.654711625008655e-05,1,3317,3317,,imagesource,0.35000000000000003
JL,temperature,0.9865612648221344,real,0.14285714285714285,gate_resnet18_temperature,0.011881188118811881,0.011881188118811881,0.0049504950495049506,0.0059405940594059415,0.0059405940594059415,0.0059405940594059415,0.0059405940594059415,0.0019801980198019802,0.0,0.0,0.0,1,1265,1265,,imagesource,0.35000000000000003
unknown,temperature,,real,,gate_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.35000000000000003
GF,temperature,0.813986013986014,real,0.5771812080536913,gate_resnet18_temperature,0.3037782125805456,0.2700388998082859,0.14720952420139938,0.2567965641266498,0.22687737897905041,0.17644136851348866,0.14031159494825404,0.06521393797411093,0.030961153502831483,0.0015975522942768008,7.857928650007858e-05,1,715,715,,imagesource,0.4
GoogleEarth,temperature,0.7624359360868255,real,0.8641160949868074,gate_resnet18_temperature,0.8306787113943308,0.8188000667489315,0.48252149996305604,0.79605706816514,0.7578177345065596,0.6728439226387201,0.5223442707341334,0.31374100541674094,0.10059524905838284,0.012250423851370547,8.654711625008655e-05,1,3317,3317,,imagesource,0.4
JL,temperature,0.9873517786561264,real,0.14285714285714285,gate_resnet18_temperature,0.011881188118811881,0.011881188118811881,0.0049504950495049506,0.0059405940594059415,0.0059405940594059415,0.0059405940594059415,0.0059405940594059415,0.0019801980198019802,0.0,0.0,0.0,1,1265,1265,,imagesource,0.4
unknown,temperature,,real,,gate_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.4
GF,temperature,0.8321678321678322,real,0.5570469798657718,gate_resnet18_temperature,0.29511916951595546,0.2691511563904178,0.14628676206186733,0.2565180981154963,0.22644787106908024,0.17697987023742837,0.1406210390798804,0.0653673018349026,0.030981404284128516,0.0016025021705917664,7.920792079207921e-05,1,715,715,,imagesource,0.45
GoogleEarth,temperature,0.7708772987639433,real,0.8548812664907651,gate_resnet18_temperature,0.8306688415019021,0.8187897759729073,0.4825372286814881,0.7961145702217438,0.7578646504039986,0.6728864843549159,0.5223659270204708,0.31374709113905963,0.10059741307231844,0.012250986011314947,8.654711625008655e-05,1,3317,3317,,imagesource,0.45
JL,temperature,0.9897233201581027,real,0.14285714285714285,gate_resnet18_temperature,0.0132013201320132,0.0132013201320132,0.0055005500550055,0.0066006600660066,0.0066006600660066,0.0066006600660066,0.0066006600660066,0.0022002200220022,0.0,0.0,0.0,1,1265,1265,,imagesource,0.45
unknown,temperature,,real,,gate_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.45
GF,temperature,0.848951048951049,real,0.5234899328859061,gate_resnet18_temperature,0.2852970095582946,0.25245179447505234,0.1402716778940018,0.24024625582807904,0.21753259881468093,0.17530784607776553,0.13475657761691798,0.06424852346351607,0.031148954929348206,0.0016447099255380085,8.250825082508251e-05,1,715,715,,imagesource,0.5
GoogleEarth,temperature,0.7784142297256557,real,0.8390501319261213,gate_resnet18_temperature,0.8305827010549081,0.8187018705125737,0.482059860575678,0.7960563948814209,0.7577837105533016,0.672798808070186,0.5223662997708002,0.3092790402825095,0.10068566632574051,0.012257415617957191,8.669868738187304e-05,1,3317,3317,,imagesource,0.5
JL,temperature,0.991304347826087,real,0.14285714285714285,gate_resnet18_temperature,0.016973125884016973,0.016973125884016973,0.007072135785007072,0.008486562942008486,0.008486562942008486,0.008486562942008486,0.008486562942008486,0.0028288543140028285,0.0,0.0,0.0,1,1265,1265,,imagesource,0.5
unknown,temperature,,real,,gate_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.5
GF,temperature,0.862937062937063,real,0.4966442953020134,gate_resnet18_temperature,0.2763093076359698,0.2511548419175022,0.1370606432071306,0.2388063219665035,0.20967462461792424,0.16821099594907032,0.13415310647416698,0.0605285744472943,0.03001225923830323,0.0016724931288172257,8.39066957543212e-05,1,715,715,,imagesource,0.55
GoogleEarth,temperature,0.7850467289719626,real,0.8245382585751979,gate_resnet18_temperature,0.8305183262652743,0.8186904225834571,0.48121907800236646,0.7960599204524381,0.7494153662093485,0.672767983931182,0.5223372785881502,0.30935589533694047,0.10069886662942881,0.012260021340063298,8.669868738187304e-05,1,3317,3317,,imagesource,0.55
JL,temperature,0.991304347826087,real,0.14285714285714285,gate_resnet18_temperature,0.016973125884016973,0.016973125884016973,0.007072135785007072,0.008486562942008486,0.008486562942008486,0.008486562942008486,0.008486562942008486,0.0028288543140028285,0.0,0.0,0.0,1,1265,1265,,imagesource,0.55
unknown,temperature,,real,,gate_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.55
GF,temperature,0.8811188811188811,real,0.4563758389261745,gate_resnet18_temperature,0.2658978770043009,0.23345445338272172,0.12877243885779577,0.2213165114582923,0.1997764066483959,0.15874643374548356,0.12545846103631475,0.054550731627923385,0.026851091003537775,0.0015840209736746708,8.840169731258839e-05,1,715,715,,imagesource,0.6000000000000001
GoogleEarth,temperature,0.791377750979801,real,0.8087071240105541,gate_resnet18_temperature,0.8304669713040679,0.8097314024580885,0.4802396548186382,0.7959979924914184,0.749343590142511,0.6726086881801899,0.5220767554400624,0.3091696067860907,0.10064756405238298,0.012267126541227802,8.68507903421921e-05,1,3317,3317,,imagesource,0.6000000000000001
JL,temperature,0.9928853754940712,real,0.14285714285714285,gate_resnet18_temperature,0.016973125884016973,0.016973125884016973,0.007072135785007072,0.008486562942008486,0.008486562942008486,0.008486562942008486,0.008486562942008486,0.0028288543140028285,0.0,0.0,0.0,1,1265,1265,,imagesource,0.6000000000000001
unknown,temperature,,real,,gate_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.6000000000000001
GF,temperature,0.8909090909090909,real,0.4228187919463087,gate_resnet18_temperature,0.2565774055103857,0.23167063939446284,0.1256384485266709,0.2190104420410028,0.19734516385674108,0.15048438480862866,0.11833237949229047,0.05435032523078352,0.026882542042418682,0.0016403681184444974,9.083477155054956e-05,1,715,715,,imagesource,0.65
GoogleEarth,temperature,0.7965028640337655,real,0.7981530343007915,gate_resnet18_temperature,0.8304221345025007,0.8096988762413002,0.48019643365203146,0.7959358915538083,0.7492876806176912,0.6725024212327915,0.5219809494158912,0.3091049498730654,0.10068076431198836,0.012263741729144148,8.692704213353733e-05,1,3317,3317,,imagesource,0.65
JL,temperature,0.9936758893280633,real,0.14285714285714285,gate_resnet18_temperature,0.016973125884016973,0.016973125884016973,0.007072135785007072,0.008486562942008486,0.008486562942008486,0.008486562942008486,0.008486562942008486,0.0028288543140028285,0.0,0.0,0.0,1,1265,1265,,imagesource,0.65
unknown,temperature,,real,,gate_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.65
GF,temperature,0.8923076923076924,real,0.4161073825503356,gate_resnet18_temperature,0.2565774055103857,0.23167063939446284,0.1256384485266709,0.2190104420410028,0.19734516385674108,0.15048438480862866,0.11833237949229047,0.05435032523078352,0.026882542042418682,0.0016403681184444974,9.083477155054956e-05,1,715,715,,imagesource,0.7000000000000001
GoogleEarth,temperature,0.8058486584262888,real,0.7744063324538258,gate_resnet18_temperature,0.8211794694757764,0.8095190056147052,0.477575465580511,0.7870105856492072,0.7491752900195306,0.6647278030730611,0.5219383312533179,0.30909022285469395,0.10076006124807763,0.012266806668638934,8.707994810035094e-05,1,3317,3317,,imagesource,0.7000000000000001
JL,temperature,0.9952569169960475,real,0.14285714285714285,gate_resnet18_temperature,0.019801980198019802,0.019801980198019802,0.00825082508250825,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.0033003300330033,0.0,0.0,0.0,1,1265,1265,,imagesource,0.7000000000000001
unknown,temperature,,real,,gate_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.7000000000000001
GF,temperature,0.9090909090909091,real,0.3624161073825503,gate_resnet18_temperature,0.2371127649433004,0.21338080078191746,0.11676180444621868,0.19426175161426934,0.18045873037217525,0.14545383306597662,0.11223552825084504,0.05597981901747482,0.02689608292765675,0.0017426073711050035,9.612611746611554e-05,1,715,715,,imagesource,0.75
GoogleEarth,temperature,0.8130841121495327,real,0.7532981530343008,gate_resnet18_temperature,0.8208119785507816,0.800195163811606,0.47476300017196743,0.7865924897237823,0.7402697008188005,0.6640951563640468,0.5146225311215075,0.30831974006759727,0.10037618632518083,0.012258017255625588,8.903768074649191e-05,1,3317,3317,,imagesource,0.75
JL,temperature,0.9960474308300395,real,0.14285714285714285,gate_resnet18_temperature,0.019801980198019802,0.019801980198019802,0.00825082508250825,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.0033003300330033,0.0,0.0,0.0,1,1265,1265,,imagesource,0.75
unknown,temperature,,real,,gate_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.75
GF,temperature,0.9202797202797203,real,0.3288590604026846,gate_resnet18_temperature,0.21880761777989674,0.19548153937301363,0.10741592793280112,0.1834677271188988,0.16297823847754667,0.13362983786945512,0.1015197081816186,0.051491261555534414,0.024758271401428868,0.001921942257087162,0.00010313531353135312,1,715,715,,imagesource,0.8
GoogleEarth,temperature,0.8221284293035875,real,0.7269129287598944,gate_resnet18_temperature,0.811233288943378,0.7996200872182698,0.4716730626736382,0.777152602758778,0.7394942937072005,0.6555873664684462,0.5134729825174141,0.30744258942640357,0.10033900847568251,0.012297655707528348,9.075151328148397e-05,1,3317,3317,,imagesource,0.8
JL,temperature,0.9960474308300395,real,0.14285714285714285,gate_resnet18_temperature,0.019801980198019802,0.019801980198019802,0.00825082508250825,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.0033003300330033,0.0,0.0,0.0,1,1265,1265,,imagesource,0.8
unknown,temperature,,real,,gate_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.8
GF,temperature,0.9356643356643357,real,0.2684563758389262,gate_resnet18_temperature,0.20150093403206873,0.17878361097336495,0.0990197873978411,0.16740379940985736,0.15314598809943292,0.11873622103801539,0.09383923991761925,0.04731682906225385,0.027155441047024883,0.0022020059148772017,0.00011380448389666553,1,715,715,,imagesource,0.8500000000000001
GoogleEarth,temperature,0.8378052457039493,real,0.6715039577836411,gate_resnet18_temperature,0.8016481077733026,0.7901320230730834,0.4658405359726972,0.7677703713250476,0.7304342157139652,0.647015476242919,0.5063971763576088,0.3024806334926458,0.10016058968684668,0.012275764314319298,9.100174723354688e-05,1,3317,3317,,imagesource,0.8500000000000001
JL,temperature,0.9968379446640316,real,0.14285714285714285,gate_resnet18_temperature,0.03234323432343234,0.03234323432343234,0.011617161716171618,0.011881188118811883,0.011881188118811883,0.011881188118811883,0.011881188118811883,0.0039603960396039604,0.0,0.0,0.0,1,1265,1265,,imagesource,0.8500000000000001
unknown,temperature,,real,,gate_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.8500000000000001
GF,temperature,0.9566433566433566,real,0.19463087248322147,gate_resnet18_temperature,0.1637074960853334,0.14291847399043778,0.08204000709224621,0.1394373448485578,0.12926994255803917,0.0999491303456677,0.07992246583750896,0.040943272831705575,0.022451764407209952,0.0018001800180018003,0.0,1,715,715,,imagesource,0.9
GoogleEarth,temperature,0.8498643352426892,real,0.6266490765171504,gate_resnet18_temperature,0.7827766737681842,0.7713934111995348,0.4582769181346267,0.7580704322117735,0.7207646903657414,0.638022982959534,0.4985570719537601,0.3013502495451819,0.10004283610507797,0.011695814138640187,9.501909883886661e-05,1,3317,3317,,imagesource,0.9
JL,temperature,0.9976284584980237,real,0.07142857142857142,gate_resnet18_temperature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1265,1265,,imagesource,0.9
unknown,temperature,,real,,gate_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.9
GF,temperature,0.9748251748251748,real,0.11409395973154363,gate_resnet18_temperature,0.12742940960762744,0.11579055735591644,0.06772546459827572,0.10506060258535506,0.10506060258535506,0.08760766186508762,0.07480377749308667,0.037705432141018416,0.021996422331308763,0.0018001800180018003,0.0,1,715,715,,imagesource,0.9500000000000001
GoogleEarth,temperature,0.8739825143201688,real,0.5343007915567283,gate_resnet18_temperature,0.7437581499015464,0.7327258243408284,0.43750135201885154,0.7197405136083447,0.683692894338437,0.6120616032970358,0.4833054364460471,0.29054160796276474,0.09742797496665061,0.011670048548856896,8.94667780031015e-05,1,3317,3317,,imagesource,0.9500000000000001
JL,temperature,0.9984189723320158,real,0.0,gate_resnet18_temperature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1265,1265,,imagesource,0.9500000000000001
unknown,temperature,,real,,gate_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.9500000000000001
GF,temperature,1.0,real,0.0,gate_resnet18_temperature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,715,715,,imagesource,1.0
GoogleEarth,temperature,1.0,real,0.0,gate_resnet18_temperature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3317,3317,,imagesource,1.0
JL,temperature,1.0,real,0.0,gate_resnet18_temperature,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1265,1265,,imagesource,1.0
unknown,temperature,,real,,gate_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,1.0
