bucket,calibration,filter_rate,gate,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_classes,n_gt_tiles,n_tiles,stratum,threshold
32-96px,temperature,0.0,real,1.0,gate_resnet18_temperature,0.5049565004316359,0.47989407863449235,0.2401333609682368,0.4426311899905881,0.39851400801328485,0.2954025873391306,0.18138464201409912,0.07701301878408437,0.02127615547922628,0.0002405848061441658,2.0844189682126108e-05,1,1124,1124,size_bucket,0.0
96-256px,temperature,0.0,real,1.0,gate_resnet18_temperature,0.702386738553445,0.6648069531277492,0.3526462228638607,0.624437151177349,0.5614909549650494,0.46664339582339004,0.31364492891018175,0.1460536616914481,0.041857045888861626,0.00488084613010585,0.0002605523710265763,1,1214,1214,size_bucket,0.0
<32px,temperature,0.0,real,1.0,gate_resnet18_temperature,0.0390470897878884,0.03572450980153013,0.013294800546530025,0.029444120882676506,0.027955736750145604,0.00038827412152980003,0.00038827412152980003,0.0,0.0,0.0,0.0,1,2035,2035,size_bucket,0.0
>256px,temperature,0.0,real,1.0,gate_resnet18_temperature,0.8621245636458703,0.8508951409746792,0.5061979506601636,0.8290317187785875,0.7914518527773639,0.7075727864317347,0.5574392102708821,0.33847433722642034,0.11211322134011452,0.012793537071183603,8.31380848008465e-05,1,924,924,size_bucket,0.0
32-96px,temperature,0.6014234875444839,real,0.8944723618090452,gate_resnet18_temperature,0.4948955490750824,0.4621781320635019,0.2341007847904902,0.4328001406506487,0.38973708426296716,0.28807155030609943,0.17639711131695007,0.07516243525276393,0.02151142981374465,0.0002332138995484131,2.120126359531028e-05,1,1124,1124,size_bucket,0.05
96-256px,temperature,0.5650741350906096,real,0.9516616314199395,gate_resnet18_temperature,0.7018731618791514,0.6642220321399013,0.352351715666072,0.6238289035299449,0.5612522027666578,0.46605541462176714,0.31336034319875905,0.1459025824556485,0.04188039959208576,0.004881564105777667,0.0002605523710265763,1,1214,1214,size_bucket,0.05
<32px,temperature,0.6668304668304669,real,0.9090909090909091,gate_resnet18_temperature,0.03645364536453645,0.03347834783478348,0.012892539253925393,0.029890489048904886,0.028202820282028203,0.0004500450045004501,0.0004500450045004501,0.0,0.0,0.0,0.0,1,2035,2035,size_bucket,0.05
>256px,temperature,0.4448051948051948,real,0.9972067039106145,gate_resnet18_temperature,0.8621245636458703,0.8508951409746792,0.5061979506601636,0.8290317187785875,0.7914518527773639,0.7075727864317347,0.5574392102708821,0.33847433722642034,0.11211322134011452,0.012793537071183603,8.31380848008465e-05,1,924,924,size_bucket,0.05
32-96px,temperature,0.7001779359430605,real,0.8291457286432161,gate_resnet18_temperature,0.4866036575700523,0.46171028911540246,0.23227123534066418,0.4248887135983013,0.38900129440174375,0.2876404275395539,0.17566885195531912,0.07540328999089074,0.02153976914661074,0.00023472174803687264,2.1338340730624787e-05,1,1124,1124,size_bucket,0.1
96-256px,temperature,0.64332784184514,real,0.9214501510574018,gate_resnet18_temperature,0.7011962785060221,0.6641353209484543,0.351317254626511,0.6165238811865904,0.5608924580171055,0.46546906830612994,0.3128691753234774,0.145239784313597,0.04169834966197192,0.004887677630734971,0.0002605523710265763,1,1214,1214,size_bucket,0.1
<32px,temperature,0.8,real,0.7878787878787878,gate_resnet18_temperature,0.03649027693467021,0.03351614231190561,0.01291149463783588,0.029942819863381685,0.028244684933609644,0.00046051116739580933,0.00046051116739580933,0.0,0.0,0.0,0.0,1,2035,2035,size_bucket,0.1
>256px,temperature,0.4945887445887446,real,0.9860335195530726,gate_resnet18_temperature,0.8621273285954244,0.8508981476893139,0.5061986718848632,0.8290333660983269,0.7914531683260865,0.7075737165670698,0.5574363441215183,0.3384744047018052,0.11211356759310308,0.012793537071183603,8.31380848008465e-05,1,924,924,size_bucket,0.1
32-96px,temperature,0.7544483985765125,real,0.7788944723618091,gate_resnet18_temperature,0.46908081171629673,0.452609270724335,0.22742987153468666,0.41628080784090826,0.3820159839204317,0.2816343390139882,0.17519651417709747,0.07559183661805939,0.021630864637514523,0.00023676280671545416,2.152389151958674e-05,1,1124,1124,size_bucket,0.15000000000000002
96-256px,temperature,0.6779242174629324,real,0.9003021148036254,gate_resnet18_temperature,0.6930708393394597,0.6560789986242046,0.348955049653933,0.6159136486990313,0.5542460224411505,0.46554225251151315,0.3128282025429678,0.14504153410895063,0.04167858497595222,0.004889860925072836,0.0002605523710265763,1,1214,1214,size_bucket,0.15000000000000002
<32px,temperature,0.8707616707616708,real,0.6060606060606061,gate_resnet18_temperature,0.03489283710979794,0.03206244537497228,0.012377476878122596,0.028684172765102597,0.027145214521452146,0.0004950495049504951,0.0004950495049504951,0.0,0.0,0.0,0.0,1,2035,2035,size_bucket,0.15000000000000002
>256px,temperature,0.5205627705627706,real,0.9804469273743017,gate_resnet18_temperature,0.8621273285954244,0.8508981476893139,0.5061986718848632,0.8290333660983269,0.7914531683260865,0.7075737165670698,0.5574363441215183,0.3384744047018052,0.11211356759310308,0.012793537071183603,8.31380848008465e-05,1,924,924,size_bucket,0.15000000000000002
32-96px,temperature,0.7855871886120996,real,0.7537688442211056,gate_resnet18_temperature,0.4690545917751936,0.44506962745562834,0.22685551967362655,0.41696372129483433,0.38271629882465313,0.281933836615587,0.17533838552433623,0.07556943074843335,0.021650455083246416,0.00023727862982376668,2.157078452943334e-05,1,1124,1124,size_bucket,0.2
96-256px,temperature,0.700164744645799,real,0.8821752265861027,gate_resnet18_temperature,0.6927030187226209,0.6556430912387866,0.3480005099898932,0.6155622602609299,0.553788357802506,0.459004232370342,0.3127992891559699,0.14507417243338866,0.040272047973537506,0.004898077569824267,0.0002605523710265763,1,1214,1214,size_bucket,0.2
<32px,temperature,0.9012285012285012,real,0.6060606060606061,gate_resnet18_temperature,0.03489283710979794,0.03206244537497228,0.012377476878122596,0.028684172765102597,0.027145214521452146,0.0004950495049504951,0.0004950495049504951,0.0,0.0,0.0,0.0,1,2035,2035,size_bucket,0.2
>256px,temperature,0.5476190476190477,real,0.9664804469273743,gate_resnet18_temperature,0.8528656422382989,0.8417338320724884,0.5043387407093647,0.8290089940051806,0.7913813947443962,0.7075358927071779,0.5574138375248714,0.33845527906403805,0.11211575268662298,0.012793643965771635,8.31380848008465e-05,1,924,924,size_bucket,0.2
32-96px,temperature,0.8140569395017794,real,0.7035175879396985,gate_resnet18_temperature,0.46021966317936724,0.4378701590886153,0.22385457009641446,0.4106509676636728,0.3774060048922015,0.28263933282299214,0.17143475143854742,0.07627457216590464,0.02178854953401522,0.0002398918305927509,2.180834823570463e-05,1,1124,1124,size_bucket,0.25
96-256px,temperature,0.7199341021416804,real,0.8610271903323263,gate_resnet18_temperature,0.6926193718429141,0.6555373286060676,0.34647773868171183,0.608177574742333,0.5533731044751786,0.45826283357403735,0.30735814671003137,0.1442068266743845,0.0400793218755513,0.004902325945593757,0.0002605523710265763,1,1214,1214,size_bucket,0.25
