calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
temperature,974779.5025592321,108932.92932660552,0.0,real,764.76475712,868.7368913233513,1.0,gate_ships_mbv3small_distill,0.8204415591402847,0.8083920517567244,0.4745778040222081,0.7856143663384068,0.738888863864079,0.6621176267070881,0.5126014994782918,0.30604505624254724,0.09943745542504577,0.012153165195450495,8.639607416239006e-05,5297,1,5297,0.0,975544.2673163521,109801.66621792887
temperature,974779.5025592321,108932.92932660552,0.0,real,764.76475712,868.7368913233513,1.0,gate_ships_mbv3small_distill,0.8204415591402847,0.8083920517567244,0.4745778040222081,0.7856143663384068,0.738888863864079,0.6621176267070881,0.5126014994782918,0.30604505624254724,0.09943745542504577,0.012153165195450495,8.639607416239006e-05,5297,1,5297,0.05,975544.2673163521,109801.66621792887
temperature,974779.5025592321,108932.92932660552,0.0,real,764.76475712,868.7368913233513,1.0,gate_ships_mbv3small_distill,0.8204415591402847,0.8083920517567244,0.4745778040222081,0.7856143663384068,0.738888863864079,0.6621176267070881,0.5126014994782918,0.30604505624254724,0.09943745542504577,0.012153165195450495,8.639607416239006e-05,5297,1,5297,0.1,975544.2673163521,109801.66621792887
temperature,974779.5025592321,108932.92932660552,0.0,real,764.76475712,868.7368913233513,1.0,gate_ships_mbv3small_distill,0.8204415591402847,0.8083920517567244,0.4745778040222081,0.7856143663384068,0.738888863864079,0.6621176267070881,0.5126014994782918,0.30604505624254724,0.09943745542504577,0.012153165195450495,8.639607416239006e-05,5297,1,5297,0.15000000000000002,975544.2673163521,109801.66621792887
temperature,0.0,0.0,1.0,real,764.76475712,868.7368913233513,0.0,gate_ships_mbv3small_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.2,764.76475712,868.7368913233513
temperature,0.0,0.0,1.0,real,764.76475712,868.7368913233513,0.0,gate_ships_mbv3small_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.25,764.76475712,868.7368913233513
temperature,0.0,0.0,1.0,real,764.76475712,868.7368913233513,0.0,gate_ships_mbv3small_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.30000000000000004,764.76475712,868.7368913233513
temperature,0.0,0.0,1.0,real,764.76475712,868.7368913233513,0.0,gate_ships_mbv3small_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.35000000000000003,764.76475712,868.7368913233513
temperature,0.0,0.0,1.0,real,764.76475712,868.7368913233513,0.0,gate_ships_mbv3small_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.4,764.76475712,868.7368913233513
temperature,0.0,0.0,1.0,real,764.76475712,868.7368913233513,0.0,gate_ships_mbv3small_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.45,764.76475712,868.7368913233513
temperature,0.0,0.0,1.0,real,764.76475712,868.7368913233513,0.0,gate_ships_mbv3small_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.5,764.76475712,868.7368913233513
temperature,0.0,0.0,1.0,real,764.76475712,868.7368913233513,0.0,gate_ships_mbv3small_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.55,764.76475712,868.7368913233513
temperature,0.0,0.0,1.0,real,764.76475712,868.7368913233513,0.0,gate_ships_mbv3small_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.6000000000000001,764.76475712,868.7368913233513
temperature,0.0,0.0,1.0,real,764.76475712,868.7368913233513,0.0,gate_ships_mbv3small_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.65,764.76475712,868.7368913233513
temperature,0.0,0.0,1.0,real,764.76475712,868.7368913233513,0.0,gate_ships_mbv3small_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.7000000000000001,764.76475712,868.7368913233513
temperature,0.0,0.0,1.0,real,764.76475712,868.7368913233513,0.0,gate_ships_mbv3small_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.75,764.76475712,868.7368913233513
temperature,0.0,0.0,1.0,real,764.76475712,868.7368913233513,0.0,gate_ships_mbv3small_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.8,764.76475712,868.7368913233513
temperature,0.0,0.0,1.0,real,764.76475712,868.7368913233513,0.0,gate_ships_mbv3small_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.8500000000000001,764.76475712,868.7368913233513
temperature,0.0,0.0,1.0,real,764.76475712,868.7368913233513,0.0,gate_ships_mbv3small_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.9,764.76475712,868.7368913233513
temperature,0.0,0.0,1.0,real,764.76475712,868.7368913233513,0.0,gate_ships_mbv3small_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.9500000000000001,764.76475712,868.7368913233513
temperature,0.0,0.0,1.0,real,764.76475712,868.7368913233513,0.0,gate_ships_mbv3small_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,1.0,764.76475712,868.7368913233513
