calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
isotonic,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,gate_ships_resnet18_distill,0.8204416166644541,0.8083920990197039,0.4745780118908918,0.7856143702810375,0.7388888571486465,0.6621182945054713,0.5126017487376128,0.3060451507698832,0.09943849583601279,0.012153165195450495,8.632075064524761e-05,5297,1,5297,0.0,1000011.6890030081,110735.14701721433
isotonic,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,gate_ships_resnet18_distill,0.8204416166644541,0.8083920990197039,0.4745780118908918,0.7856143702810375,0.7388888571486465,0.6621182945054713,0.5126017487376128,0.3060451507698832,0.09943849583601279,0.012153165195450495,8.632075064524761e-05,5297,1,5297,0.05,1000011.6890030081,110735.14701721433
isotonic,972755.229474816,108706.71406842303,0.002076647158769096,real,25232.186443776005,1802.2176906088134,0.998914223669924,gate_ships_resnet18_distill,0.8204332823549353,0.8083884274490618,0.474570370753962,0.7855997715214149,0.7388822210193902,0.6620990016275426,0.5125897278396637,0.30603440227492296,0.0994372604139682,0.012153292288076182,8.632075064524761e-05,5286,1,5297,0.1,997987.415918592,110508.93175903184
isotonic,972755.229474816,108706.71406842303,0.002076647158769096,real,25232.186443776005,1802.2176906088134,0.998914223669924,gate_ships_resnet18_distill,0.8204332823549353,0.8083884274490618,0.474570370753962,0.7855997715214149,0.7388822210193902,0.6620990016275426,0.5125897278396637,0.30603440227492296,0.0994372604139682,0.012153292288076182,8.632075064524761e-05,5286,1,5297,0.15000000000000002,997987.415918592,110508.93175903184
isotonic,5888.794427392,658.0807510763407,0.9939588446290353,real,25232.186443776005,1802.2176906088134,0.010857763300760043,gate_ships_resnet18_distill,0.05919836041871502,0.05905017675402769,0.034642478024989334,0.04936567433248672,0.049184256776231595,0.04799385184885342,0.03672410954900833,0.024719099173106062,0.014248657338058529,0.0039603960396039604,0.0019801980198019802,32,1,5297,0.2,31120.980871168005,2460.298441685154
isotonic,4232.570994688,472.99553983611986,0.9956579195771191,real,25232.186443776005,1802.2176906088134,0.008686210640608035,gate_ships_resnet18_distill,0.03954825862333069,0.039532768354275244,0.025382089033888826,0.03939018015276705,0.03907712665126078,0.03747551042305362,0.0267927646249689,0.017152796360717152,0.009900990099009901,0.0049504950495049506,0.0,23,1,5297,0.25,29464.757438464003,2275.2132304449333
isotonic,368.049651712,41.13004694227129,0.9996224277893148,real,25232.186443776005,1802.2176906088134,0.002171552660152009,gate_ships_resnet18_distill,0.01971735635101972,0.01951439957273736,0.011016554661902437,0.019391150733330597,0.018941024537236333,0.009900990099009901,0.009900990099009901,0.007425742574257425,0.004331683168316832,0.0010422094841063053,0.0,2,1,5297,0.30000000000000004,25600.236095488006,1843.3477375510847
isotonic,368.049651712,41.13004694227129,0.9996224277893148,real,25232.186443776005,1802.2176906088134,0.002171552660152009,gate_ships_resnet18_distill,0.01971735635101972,0.01951439957273736,0.011016554661902437,0.019391150733330597,0.018941024537236333,0.009900990099009901,0.009900990099009901,0.007425742574257425,0.004331683168316832,0.0010422094841063053,0.0,2,1,5297,0.35000000000000003,25600.236095488006,1843.3477375510847
isotonic,368.049651712,41.13004694227129,0.9996224277893148,real,25232.186443776005,1802.2176906088134,0.002171552660152009,gate_ships_resnet18_distill,0.01971735635101972,0.01951439957273736,0.011016554661902437,0.019391150733330597,0.018941024537236333,0.009900990099009901,0.009900990099009901,0.007425742574257425,0.004331683168316832,0.0010422094841063053,0.0,2,1,5297,0.4,25600.236095488006,1843.3477375510847
isotonic,368.049651712,41.13004694227129,0.9996224277893148,real,25232.186443776005,1802.2176906088134,0.002171552660152009,gate_ships_resnet18_distill,0.01971735635101972,0.01951439957273736,0.011016554661902437,0.019391150733330597,0.018941024537236333,0.009900990099009901,0.009900990099009901,0.007425742574257425,0.004331683168316832,0.0010422094841063053,0.0,2,1,5297,0.45,25600.236095488006,1843.3477375510847
isotonic,368.049651712,41.13004694227129,0.9996224277893148,real,25232.186443776005,1802.2176906088134,0.002171552660152009,gate_ships_resnet18_distill,0.01971735635101972,0.01951439957273736,0.011016554661902437,0.019391150733330597,0.018941024537236333,0.009900990099009901,0.009900990099009901,0.007425742574257425,0.004331683168316832,0.0010422094841063053,0.0,2,1,5297,0.5,25600.236095488006,1843.3477375510847
isotonic,368.049651712,41.13004694227129,0.9996224277893148,real,25232.186443776005,1802.2176906088134,0.002171552660152009,gate_ships_resnet18_distill,0.01971735635101972,0.01951439957273736,0.011016554661902437,0.019391150733330597,0.018941024537236333,0.009900990099009901,0.009900990099009901,0.007425742574257425,0.004331683168316832,0.0010422094841063053,0.0,2,1,5297,0.55,25600.236095488006,1843.3477375510847
isotonic,368.049651712,41.13004694227129,0.9996224277893148,real,25232.186443776005,1802.2176906088134,0.002171552660152009,gate_ships_resnet18_distill,0.01971735635101972,0.01951439957273736,0.011016554661902437,0.019391150733330597,0.018941024537236333,0.009900990099009901,0.009900990099009901,0.007425742574257425,0.004331683168316832,0.0010422094841063053,0.0,2,1,5297,0.6000000000000001,25600.236095488006,1843.3477375510847
isotonic,368.049651712,41.13004694227129,0.9996224277893148,real,25232.186443776005,1802.2176906088134,0.002171552660152009,gate_ships_resnet18_distill,0.01971735635101972,0.01951439957273736,0.011016554661902437,0.019391150733330597,0.018941024537236333,0.009900990099009901,0.009900990099009901,0.007425742574257425,0.004331683168316832,0.0010422094841063053,0.0,2,1,5297,0.65,25600.236095488006,1843.3477375510847
isotonic,368.049651712,41.13004694227129,0.9996224277893148,real,25232.186443776005,1802.2176906088134,0.002171552660152009,gate_ships_resnet18_distill,0.01971735635101972,0.01951439957273736,0.011016554661902437,0.019391150733330597,0.018941024537236333,0.009900990099009901,0.009900990099009901,0.007425742574257425,0.004331683168316832,0.0010422094841063053,0.0,2,1,5297,0.7000000000000001,25600.236095488006,1843.3477375510847
isotonic,368.049651712,41.13004694227129,0.9996224277893148,real,25232.186443776005,1802.2176906088134,0.002171552660152009,gate_ships_resnet18_distill,0.01971735635101972,0.01951439957273736,0.011016554661902437,0.019391150733330597,0.018941024537236333,0.009900990099009901,0.009900990099009901,0.007425742574257425,0.004331683168316832,0.0010422094841063053,0.0,2,1,5297,0.75,25600.236095488006,1843.3477375510847
