calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
temperature,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,gate_ships_resnet18_distill,0.8204416166644541,0.8083920990197039,0.4745780118908918,0.7856143702810375,0.7388888571486465,0.6621182945054713,0.5126017487376128,0.3060451507698832,0.09943849583601279,0.012153165195450495,8.632075064524761e-05,5297,1,5297,0.0,1000011.6890030081,110735.14701721433
temperature,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,gate_ships_resnet18_distill,0.8204416166644541,0.8083920990197039,0.4745780118908918,0.7856143702810375,0.7388888571486465,0.6621182945054713,0.5126017487376128,0.3060451507698832,0.09943849583601279,0.012153165195450495,8.632075064524761e-05,5297,1,5297,0.05,1000011.6890030081,110735.14701721433
temperature,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,gate_ships_resnet18_distill,0.8204416166644541,0.8083920990197039,0.4745780118908918,0.7856143702810375,0.7388888571486465,0.6621182945054713,0.5126017487376128,0.3060451507698832,0.09943849583601279,0.012153165195450495,8.632075064524761e-05,5297,1,5297,0.1,1000011.6890030081,110735.14701721433
temperature,913683.26037504,102105.34153418848,0.06267698697375879,real,25232.186443776005,1802.2176906088134,0.9239956568946797,gate_ships_resnet18_distill,0.7424602507385452,0.7217587243616971,0.4237038534949086,0.7078739219425255,0.669996978382982,0.5860555491962073,0.44857984846563514,0.2646664612118549,0.08467166139977066,0.010884719248964255,9.04200009042e-05,4965,1,5297,0.15000000000000002,938915.446818816,103907.5592247973
temperature,67169.06143744,7506.233566964511,0.9310930715499339,real,25232.186443776005,1802.2176906088134,0.06623235613463627,gate_ships_resnet18_distill,0.1479535522560087,0.14783793035092208,0.08908860086798394,0.14729368230402076,0.13658386734240965,0.12348748912867816,0.09666155192252301,0.05834909304670876,0.022540254376315075,0.009900990099009901,0.0002775978532432682,365,1,5297,0.2,92401.24788121601,9308.451257573324
temperature,368.049651712,41.13004694227129,0.9996224277893148,real,25232.186443776005,1802.2176906088134,0.002171552660152009,gate_ships_resnet18_distill,0.01971735635101972,0.01951439957273736,0.011016554661902437,0.019391150733330597,0.018941024537236333,0.009900990099009901,0.009900990099009901,0.007425742574257425,0.004331683168316832,0.0010422094841063053,0.0,2,1,5297,0.25,25600.236095488006,1843.3477375510847
temperature,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,gate_ships_resnet18_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.30000000000000004,25232.186443776005,1802.2176906088134
temperature,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,gate_ships_resnet18_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.35000000000000003,25232.186443776005,1802.2176906088134
temperature,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,gate_ships_resnet18_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.4,25232.186443776005,1802.2176906088134
temperature,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,gate_ships_resnet18_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.45,25232.186443776005,1802.2176906088134
temperature,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,gate_ships_resnet18_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.5,25232.186443776005,1802.2176906088134
temperature,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,gate_ships_resnet18_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.55,25232.186443776005,1802.2176906088134
temperature,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,gate_ships_resnet18_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.6000000000000001,25232.186443776005,1802.2176906088134
temperature,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,gate_ships_resnet18_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.65,25232.186443776005,1802.2176906088134
temperature,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,gate_ships_resnet18_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.7000000000000001,25232.186443776005,1802.2176906088134
temperature,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,gate_ships_resnet18_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.75,25232.186443776005,1802.2176906088134
temperature,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,gate_ships_resnet18_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.8,25232.186443776005,1802.2176906088134
temperature,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,gate_ships_resnet18_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.8500000000000001,25232.186443776005,1802.2176906088134
temperature,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,gate_ships_resnet18_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.9,25232.186443776005,1802.2176906088134
temperature,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,gate_ships_resnet18_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.9500000000000001,25232.186443776005,1802.2176906088134
temperature,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,gate_ships_resnet18_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,1.0,25232.186443776005,1802.2176906088134
