calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
platt,974779.5025592321,108932.92932660552,0.0,real,26506.544636416,2931.176081983722,1.0,gate_ships_tiny_distill,0.8204415744462225,0.8083920694090322,0.4745778063547183,0.785614398484325,0.7388888595129612,0.6621177680880497,0.5126012729584455,0.30604430342018896,0.09943833128186223,0.012153165195450495,8.632075064524761e-05,5297,1,5297,0.0,1001286.0471956481,111864.10540858924
platt,967970.58400256,108172.0234581735,0.0069850858976778785,real,26506.544636416,2931.176081983722,0.996742671009772,gate_ships_tiny_distill,0.8202559641948838,0.7993668126421637,0.4735475004620661,0.7854195694845025,0.7387039490547576,0.6618494348646523,0.51239981443835,0.30586446304497333,0.09937728505146567,0.012151391094267149,8.632075064524761e-05,5260,1,5297,0.05,994477.128638976,111103.19954015722
platt,832896.361824256,93077.29623035993,0.14555408721918062,real,26506.544636416,2931.176081983722,0.9207383279044516,gate_ships_tiny_distill,0.7909995986715026,0.7702004163744578,0.45616158604529644,0.7563886577222325,0.710445037024304,0.6353929042366756,0.49591896721080364,0.29425391721419747,0.09630395929669124,0.011626473183400385,8.592951869921804e-05,4526,1,5297,0.1,859402.906460672,96008.47231234366
platt,472575.75279820804,52810.98027387634,0.5151972814800831,real,26506.544636416,2931.176081983722,0.6796959826275787,gate_ships_tiny_distill,0.7343555565941404,0.722811577133771,0.4275870900860978,0.7006974074967494,0.6648297555640036,0.6007146546017706,0.466004316858999,0.2821383646986796,0.09259907384960125,0.01163027588880203,8.991817446124027e-05,2568,1,5297,0.15000000000000002,499082.29743462405,55742.15635586006
platt,231319.206100992,25850.234503217507,0.762695865584293,real,26506.544636416,2931.176081983722,0.4234527687296417,gate_ships_tiny_distill,0.6466179514687841,0.6355182032035621,0.3778854551187898,0.6228348438108494,0.5879059513975315,0.5268226107558205,0.4128918335287726,0.24795858929183626,0.08378385132553119,0.014432489760764257,8.822664444662288e-05,1257,1,5297,0.2,257825.750737408,28781.41058520123
platt,134154.098049024,14991.902110457886,0.8623749292052105,real,26506.544636416,2931.176081983722,0.3116178067318133,gate_ships_tiny_distill,0.5592199324996383,0.54852622674865,0.32430823925915364,0.5361047232001298,0.5102810067572204,0.4505928614141805,0.3489908941482221,0.2070400772816714,0.06909400070811866,0.01312844888529485,0.00010422094841063054,729,1,5297,0.25,160660.64268544002,17923.078192441608
platt,86675.692978176,9686.12605490489,0.9110817443836133,real,26506.544636416,2931.176081983722,0.2258414766558089,gate_ships_tiny_distill,0.4906716516218792,0.48021728218284626,0.28697893116135453,0.46839477732740153,0.44426933747788616,0.4046810601676088,0.31599363432524746,0.18733780862118093,0.06510978623256207,0.013002934515635165,0.00011103914129730729,471,1,5297,0.30000000000000004,113182.237614592,12617.302136888611
platt,59440.018751488,6642.502581176814,0.9390220879743251,real,26506.544636416,2931.176081983722,0.15852334419109662,gate_ships_tiny_distill,0.40253394753771393,0.3921820066566006,0.2331073000635484,0.39002009822102274,0.3664123505832593,0.3277203686437818,0.25197020817826266,0.14766869086561812,0.04857433537086499,0.003928488327734385,6.25062506250625e-05,323,1,5297,0.35000000000000003,85946.563387904,9573.678663160536
platt,39749.362384896,4442.0450697653,0.9592222012459883,real,26506.544636416,2931.176081983722,0.10966340933767643,gate_ships_tiny_distill,0.34378640451616227,0.3431264363477976,0.20096948158749278,0.3322726018014511,0.3188300392160767,0.28213154865883544,0.21813026925412973,0.12650042936843636,0.04209849128562498,0.002741484911623684,7.711051478979674e-05,216,1,5297,0.4,66255.907021312,7373.221151749021
platt,26315.550097408002,2940.7983563723974,0.9730035869360015,real,26506.544636416,2931.176081983722,0.08034744842562432,gate_ships_tiny_distill,0.2844642854417338,0.2744151766522058,0.16308883185470838,0.2734062280156029,0.2604944813217778,0.22513182174727123,0.1730976207327433,0.10101716973457653,0.035725741165012884,0.003045784735259415,9.000900090009e-05,143,1,5297,0.45,52822.09473382401,5871.974438356119
platt,17482.358456320002,1953.6772297578864,0.9820653199924485,real,26506.544636416,2931.176081983722,0.05754614549402823,gate_ships_tiny_distill,0.23517652233907518,0.22513031313521972,0.1334882862304901,0.22434661808669468,0.21195172048779076,0.18678647742589927,0.13805476971122294,0.07970693877647249,0.03063165196014968,0.002994445786042019,0.00010340459633430706,95,1,5297,0.5,43988.903092736,4884.853311741608
platt,11777.588854784,1316.1615021526814,0.9879176892580706,real,26506.544636416,2931.176081983722,0.04668838219326819,gate_ships_tiny_distill,0.1659636185659623,0.16550027406315854,0.09340427384124139,0.1552318640942851,0.15250909902041093,0.12847394067429793,0.09189121318200584,0.05058374982928044,0.020886650744394778,0.00286607608129234,0.00013625215732582433,64,1,5297,0.55,38284.1334912,4247.337584136403
platt,8097.092337664,904.8610327299684,0.9916934113649235,real,26506.544636416,2931.176081983722,0.03691639522258415,gate_ships_tiny_distill,0.1365627672911514,0.13609830579851323,0.07641782273813964,0.13510898388002965,0.12301337025048456,0.0990311861756393,0.07184164536271302,0.04174053434380905,0.01781585075958289,0.00286607608129234,9.950743818100404e-05,44,1,5297,0.6000000000000001,34603.63697408,3836.0371147136902
platt,4968.670298112,555.2556337206624,0.9949027751557485,real,26506.544636416,2931.176081983722,0.02280130293159609,gate_ships_tiny_distill,0.07812231194148982,0.07784602714600464,0.04554974425177171,0.07751340592657485,0.07519444729798104,0.062008970981935495,0.040182715708144016,0.02258715349698351,0.01201283563259373,0.009900990099009901,0.0001285842870001286,27,1,5297,0.65,31475.214934528,3486.4317157043843
platt,3312.446865408,370.17042248044163,0.9966018501038324,real,26506.544636416,2931.176081983722,0.01520086862106406,gate_ships_tiny_distill,0.03911451689576963,0.038918832945023935,0.023304261604124958,0.03884961126155247,0.03771629560280629,0.028110379890772908,0.025049166341791784,0.01564562706270627,0.008250825082508252,0.001222344456667889,0.00016501650165016502,18,1,5297,0.7000000000000001,29818.991501824003,3301.3465044641634
platt,1288.173780992,143.95516429794952,0.9986784972626015,real,26506.544636416,2931.176081983722,0.0054288816503800215,gate_ships_tiny_distill,0.009900990099009901,0.009900990099009901,0.007939127246057939,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.00018335166850018335,0.0,7,1,5297,0.75,27794.718417408003,3075.1312462816713
platt,552.074477568,61.69507041340694,0.9994336416839721,real,26506.544636416,2931.176081983722,0.0010857763300760044,gate_ships_tiny_distill,0.009900990099009901,0.009900990099009901,0.007939127246057939,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.00018335166850018335,0.0,3,1,5297,0.8,27058.619113984,2992.8711523971288
platt,368.049651712,41.13004694227129,0.9996224277893148,real,26506.544636416,2931.176081983722,0.0,gate_ships_tiny_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,5297,0.8500000000000001,26874.594288128003,2972.306128925993
platt,0.0,0.0,1.0,real,26506.544636416,2931.176081983722,0.0,gate_ships_tiny_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.9,26506.544636416,2931.176081983722
platt,0.0,0.0,1.0,real,26506.544636416,2931.176081983722,0.0,gate_ships_tiny_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.9500000000000001,26506.544636416,2931.176081983722
platt,0.0,0.0,1.0,real,26506.544636416,2931.176081983722,0.0,gate_ships_tiny_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,1.0,26506.544636416,2931.176081983722
