calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
temperature,974779.5025592321,108932.92932660552,0.0,real,26506.544636416,2931.176081983722,1.0,gate_ships_tiny_distill,0.8204415744462225,0.8083920694090322,0.4745778063547183,0.785614398484325,0.7388888595129612,0.6621177680880497,0.5126012729584455,0.30604430342018896,0.09943833128186223,0.012153165195450495,8.632075064524761e-05,5297,1,5297,0.0,1001286.0471956481,111864.10540858924
temperature,974779.5025592321,108932.92932660552,0.0,real,26506.544636416,2931.176081983722,1.0,gate_ships_tiny_distill,0.8204415744462225,0.8083920694090322,0.4745778063547183,0.785614398484325,0.7388888595129612,0.6621177680880497,0.5126012729584455,0.30604430342018896,0.09943833128186223,0.012153165195450495,8.632075064524761e-05,5297,1,5297,0.05,1001286.0471956481,111864.10540858924
temperature,974779.5025592321,108932.92932660552,0.0,real,26506.544636416,2931.176081983722,1.0,gate_ships_tiny_distill,0.8204415744462225,0.8083920694090322,0.4745778063547183,0.785614398484325,0.7388888595129612,0.6621177680880497,0.5126012729584455,0.30604430342018896,0.09943833128186223,0.012153165195450495,8.632075064524761e-05,5297,1,5297,0.1,1001286.0471956481,111864.10540858924
temperature,967050.45987328,108069.19834081782,0.007929016424391144,real,26506.544636416,2931.176081983722,0.995656894679696,gate_ships_tiny_distill,0.8202559641948838,0.7993668126421637,0.4735475004620661,0.7854195694845025,0.7387039490547576,0.6618494348646523,0.51239981443835,0.30586446304497333,0.09937728505146567,0.012151391094267149,8.632075064524761e-05,5255,1,5297,0.15000000000000002,993557.004509696,111000.37442280154
temperature,16746.259152896,1871.4171358733438,0.9828204644138191,real,26506.544636416,2931.176081983722,0.05537459283387622,gate_ships_tiny_distill,0.21544386216250844,0.21492935500767615,0.12373988926036739,0.2047275579878982,0.19278136784161298,0.17701999202601262,0.12937015645819683,0.0734219134109883,0.026886200878980512,0.0027006179000497793,0.00011786892975011787,91,1,5297,0.2,43252.803789312005,4802.593217857066
temperature,0.0,0.0,1.0,real,26506.544636416,2931.176081983722,0.0,gate_ships_tiny_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.25,26506.544636416,2931.176081983722
temperature,0.0,0.0,1.0,real,26506.544636416,2931.176081983722,0.0,gate_ships_tiny_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.30000000000000004,26506.544636416,2931.176081983722
temperature,0.0,0.0,1.0,real,26506.544636416,2931.176081983722,0.0,gate_ships_tiny_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.35000000000000003,26506.544636416,2931.176081983722
temperature,0.0,0.0,1.0,real,26506.544636416,2931.176081983722,0.0,gate_ships_tiny_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.4,26506.544636416,2931.176081983722
temperature,0.0,0.0,1.0,real,26506.544636416,2931.176081983722,0.0,gate_ships_tiny_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.45,26506.544636416,2931.176081983722
temperature,0.0,0.0,1.0,real,26506.544636416,2931.176081983722,0.0,gate_ships_tiny_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.5,26506.544636416,2931.176081983722
temperature,0.0,0.0,1.0,real,26506.544636416,2931.176081983722,0.0,gate_ships_tiny_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.55,26506.544636416,2931.176081983722
temperature,0.0,0.0,1.0,real,26506.544636416,2931.176081983722,0.0,gate_ships_tiny_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.6000000000000001,26506.544636416,2931.176081983722
temperature,0.0,0.0,1.0,real,26506.544636416,2931.176081983722,0.0,gate_ships_tiny_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.65,26506.544636416,2931.176081983722
temperature,0.0,0.0,1.0,real,26506.544636416,2931.176081983722,0.0,gate_ships_tiny_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.7000000000000001,26506.544636416,2931.176081983722
temperature,0.0,0.0,1.0,real,26506.544636416,2931.176081983722,0.0,gate_ships_tiny_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.75,26506.544636416,2931.176081983722
temperature,0.0,0.0,1.0,real,26506.544636416,2931.176081983722,0.0,gate_ships_tiny_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.8,26506.544636416,2931.176081983722
temperature,0.0,0.0,1.0,real,26506.544636416,2931.176081983722,0.0,gate_ships_tiny_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.8500000000000001,26506.544636416,2931.176081983722
temperature,0.0,0.0,1.0,real,26506.544636416,2931.176081983722,0.0,gate_ships_tiny_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.9,26506.544636416,2931.176081983722
temperature,0.0,0.0,1.0,real,26506.544636416,2931.176081983722,0.0,gate_ships_tiny_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.9500000000000001,26506.544636416,2931.176081983722
temperature,0.0,0.0,1.0,real,26506.544636416,2931.176081983722,0.0,gate_ships_tiny_distill,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,1.0,26506.544636416,2931.176081983722
