calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
platt,974779.5025592321,108932.92932660552,0.0,real,26506.544636416,2931.176081983722,1.0,gate_tiny,0.8204416864049904,0.8083921931922902,0.47457789618468854,0.7856144021453831,0.7388889053769379,0.6621177640302374,0.512601725494749,0.30604430342018896,0.09943849583601279,0.012153165195450495,8.632075064524761e-05,5297,1,5297,0.0,1001286.0471956481,111864.10540858924
platt,483617.242349568,54044.88168214448,0.5038701151595242,real,26506.544636416,2931.176081983722,0.9587404994571118,gate_tiny,0.820243115381846,0.7993353262836547,0.4734899494186299,0.7853452405720321,0.7387264562972716,0.6616974293485779,0.5120376513460442,0.3060961317193249,0.09914392552572074,0.012185499162551523,8.871854927428227e-05,2628,1,5297,0.05,510123.786985984,56976.0577641282
platt,359032.435245056,40122.360792185646,0.6316783084764961,real,26506.544636416,2931.176081983722,0.9153094462540716,gate_tiny,0.8108099719038844,0.7988451704188871,0.4691772317531993,0.7760969631513176,0.7379368514240316,0.6533709993705898,0.5043342572276445,0.29998892609794264,0.09872371323782217,0.011573104717606182,9.235998226688339e-05,1951,1,5297,0.1,385538.979881472,43053.53687416937
platt,289655.07589734404,32369.346943567507,0.702850670190674,real,26506.544636416,2931.176081983722,0.8653637350705755,gate_tiny,0.8106346027200535,0.7897914487709805,0.467428672339455,0.7759146725050984,0.729560036003709,0.6533580323667464,0.5042619479619503,0.30025440804759335,0.09883754550959964,0.011581669526551827,9.235998226688339e-05,1574,1,5297,0.15000000000000002,316161.62053376005,35300.52302555123
platt,236103.85157324802,26384.925113467034,0.7577874268453841,real,26506.544636416,2931.176081983722,0.8089033659066233,gate_tiny,0.8013323979876708,0.7895181164283693,0.4645160760082093,0.7667796369893324,0.7290348468376434,0.6449300769586095,0.5033434028367121,0.29974985840944296,0.09877986190794243,0.01160787207544447,8.4689650924657e-05,1283,1,5297,0.2,262610.396209664,29316.101195450756
platt,198930.83675033602,22230.790372297633,0.7959222201245988,real,26506.544636416,2931.176081983722,0.761129207383279,gate_tiny,0.8010340160069909,0.7802035393889704,0.46156298594792544,0.7663563285943327,0.7200478612627986,0.6442978286316887,0.49629462925276435,0.29922158202104027,0.09644969476734253,0.011638033709440236,8.634584388671425e-05,1081,1,5297,0.25,225437.381386752,25161.966454281355
platt,176295.783170048,19701.29248534795,0.8191429110817444,real,26506.544636416,2931.176081983722,0.7220412595005429,gate_tiny,0.7915663190148207,0.7797220788706324,0.45807022481604004,0.7571681674313865,0.7194473090199116,0.6358878895409473,0.4954554938256308,0.29385926285518515,0.09586113255150154,0.011646280966249754,8.831408413388415e-05,958,1,5297,0.30000000000000004,202802.327806464,22632.46856733167
platt,163598.07018598402,18282.30586583959,0.832169152350387,real,26506.544636416,2931.176081983722,0.6916395222584147,gate_tiny,0.7820922160895908,0.7703454323874172,0.4532782105820733,0.7478705061086984,0.710489524527328,0.6349402593698803,0.48773694343819624,0.29237674578431927,0.09523947726730157,0.011609711930932399,8.128891706904681e-05,889,1,5297,0.35000000000000003,190104.61482240004,21213.48194782331
platt,149244.13376921602,16678.23403509101,0.8468944685671135,real,26506.544636416,2931.176081983722,0.6536373507057546,gate_tiny,0.7724472679614763,0.7609772686312963,0.4483165030690902,0.738623984507061,0.7014999939745434,0.6268705015442891,0.48742507864091955,0.28816037473063005,0.09543470072049935,0.011643762218171217,8.209776201500747e-05,811,1,5297,0.4,175750.67840563203,19609.41011707473
platt,137282.520088576,15341.507509467192,0.8591655654143855,real,26506.544636416,2931.176081983722,0.6188925081433225,gate_tiny,0.7623249701260146,0.7419458160366228,0.44086521165980486,0.7286224833143234,0.6915139423893208,0.6169774730844922,0.4784584586451743,0.2853203561473725,0.09188375678573121,0.011527181812337249,7.767825666091051e-05,746,1,5297,0.45,163789.06472499203,18272.683591450914
