calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
temperature,974779.5025592321,108932.92932660552,0.0,real,26506.544636416,2931.176081983722,1.0,gate_tiny,0.8204416864049904,0.8083921931922902,0.47457789618468854,0.7856144021453831,0.7388889053769379,0.6621177640302374,0.512601725494749,0.30604430342018896,0.09943849583601279,0.012153165195450495,8.632075064524761e-05,5297,1,5297,0.0,1001286.0471956481,111864.10540858924
temperature,481961.018916864,53859.79647090426,0.505569190107608,real,26506.544636416,2931.176081983722,0.9587404994571118,gate_tiny,0.820243115381846,0.7993353262836547,0.4734899494186299,0.7853452405720321,0.7387264562972716,0.6616974293485779,0.5120376513460442,0.3060961317193249,0.09914392552572074,0.012185499162551523,8.871854927428227e-05,2619,1,5297,0.05,508467.56355328,56790.97255288798
temperature,346334.722260992,38703.374172677286,0.6447045497451387,real,26506.544636416,2931.176081983722,0.9087947882736156,gate_tiny,0.8107848176947529,0.7988252666524603,0.4691683662924852,0.7760869039470017,0.7379244509666771,0.6533631511996528,0.5043269777597857,0.2999809821735545,0.0987256478310938,0.011573104717606182,9.235998226688339e-05,1882,1,5297,0.1,372841.266897408,41634.55025466101
temperature,265363.798884352,29654.7638453776,0.7277704360959034,real,26506.544636416,2931.176081983722,0.8425624321389794,gate_tiny,0.8013365246062714,0.7895126887510969,0.4645478467768969,0.7667863723282263,0.7290855075926524,0.6450139252627999,0.5034505676277692,0.2998900684004759,0.09872448221770434,0.011593867559326712,8.446342264558209e-05,1442,1,5297,0.15000000000000002,291870.34352076804,32585.939927361323
temperature,212364.649037824,23732.037085690536,0.7821408344345856,real,26506.544636416,2931.176081983722,0.7806731813246471,gate_tiny,0.8013185806719453,0.7894687998563095,0.46446278300308225,0.7667620144733418,0.7289493797439847,0.6448425051032727,0.5032317067287477,0.29964753234317243,0.09871173288541887,0.011610793342716504,8.478488191350058e-05,1154,1,5297,0.2,238871.19367424003,26663.213167674257
temperature,179608.230035456,20071.46290782839,0.8157447611855767,real,26506.544636416,2931.176081983722,0.7307274701411509,gate_tiny,0.7918290149468397,0.7800659832983581,0.46057686774711337,0.7663015156728964,0.7199747610947386,0.6441807549385615,0.4961576484216328,0.29913044560731167,0.09640279973953848,0.011639324157763368,8.642959349281194e-05,976,1,5297,0.25,206114.77467187203,23002.638989812112
temperature,162861.97088256,18200.045771955047,0.8329242967717576,real,26506.544636416,2931.176081983722,0.6883821932681867,gate_tiny,0.7820591151539139,0.7703128299982868,0.45329559528390195,0.7478374030609415,0.7104370930131999,0.6349898593245048,0.4877736835862137,0.29254240273708565,0.09530673642085391,0.011615406928073925,8.14226159458051e-05,885,1,5297,0.30000000000000004,189368.51551897603,21131.22185393877
temperature,145747.662077952,16287.498589139432,0.8504814045686238,real,26506.544636416,2931.176081983722,0.6427795874049945,gate_tiny,0.7720483230051755,0.7515879906116882,0.4463574034007137,0.7382453740900208,0.7010148714551171,0.6262442678720975,0.4802602955718119,0.2874473145845796,0.09505467007175852,0.011588555779005586,8.237096588194593e-05,792,1,5297,0.35000000000000003,172254.20671436802,19218.674671123154
temperature,132865.92426803202,14847.946946159936,0.863696431942609,real,26506.544636416,2931.176081983722,0.6026058631921825,gate_tiny,0.7531097371495831,0.7418652426774787,0.439870398818634,0.7285215590622537,0.691416089696587,0.6168286663963027,0.4782403721927364,0.2852829564957118,0.09183012333746783,0.011531469050553234,7.77721276659388e-05,722,1,5297,0.4,159372.46890444803,17779.12302814366
temperature,121640.40989081601,13593.480514420662,0.8752123843685105,real,26506.544636416,2931.176081983722,0.5722041259500543,gate_tiny,0.7528296147963027,0.7416426862678843,0.43627822495527474,0.7196629033642782,0.682911273126756,0.6091846928789536,0.47187021303163407,0.2810743288697685,0.09197853968891812,0.011549609665104463,7.83878631468506e-05,661,1,5297,0.45,148146.954527232,16524.656596404384
temperature,111703.069294592,12482.969246979337,0.8854068340570134,real,26506.544636416,2931.176081983722,0.5374592833876222,gate_tiny,0.7432771426844976,0.7322069972506974,0.4340670307995211,0.7191031278379668,0.6822405180804492,0.6082864482681986,0.47131149113005305,0.2806835234008835,0.09191657933788033,0.01156556346792749,7.891653665673128e-05,607,1,5297,0.5,138209.613931008,15414.145328963059
temperature,99373.40596224001,11105.112674413249,0.8980555031149707,real,26506.544636416,2931.176081983722,0.498371335504886,gate_tiny,0.7337450178856733,0.7227962360500747,0.42888729589899227,0.7099379115465524,0.6735004787483971,0.6002519875804407,0.46445584640131754,0.2806158623945928,0.09194728146134575,0.011543274961278277,7.906196025007906e-05,540,1,5297,0.55,125879.95059865601,14036.28875639697
temperature,89620.090191872,10015.16643044306,0.908061166698131,real,26506.544636416,2931.176081983722,0.4592833876221498,gate_tiny,0.7241030839822141,0.7132324063172515,0.42366063698502715,0.7005633716073236,0.6643680938271379,0.5917588026667682,0.46382137455022554,0.2754576029033632,0.09172730306166615,0.011495171726887996,7.915920743365849e-05,487,1,5297,0.6000000000000001,116126.634828288,12946.342512426781
temperature,80050.79924736,8945.785209944006,0.9178780441759486,real,26506.544636416,2931.176081983722,0.4191096634093377,gate_tiny,0.7144133802296373,0.703540510196093,0.4178519850897381,0.6910402325774068,0.6549413314360454,0.5827058252980523,0.45560515348125397,0.273874925570938,0.09091627205647453,0.011400243132537556,8.197691894304426e-05,435,1,5297,0.65,106557.343883776,11876.961291927728
temperature,71769.68208384,8020.359153742902,0.9263734189163677,real,26506.544636416,2931.176081983722,0.38653637350705755,gate_tiny,0.7046495600109489,0.6938046801628727,0.41148309975320085,0.6813718451494265,0.6455560725852622,0.5736781012872062,0.44787373145437787,0.26817436186459576,0.08823347450377464,0.011407042485072294,8.212802847104988e-05,390,1,5297,0.7000000000000001,98276.226720256,10951.535235726624
temperature,60360.142880768006,6745.327698532492,0.9380781574476118,real,26506.544636416,2931.176081983722,0.3279044516829533,gate_tiny,0.6950052646377473,0.6842248238199011,0.40759020294456844,0.67188595242294,0.6363393188594575,0.5731246406840488,0.44741659249617344,0.2681676536953999,0.08825387403473231,0.011401093822336431,8.281497294710884e-05,328,1,5297,0.75,86866.68751718401,9676.503780516214
temperature,52447.07536896,5861.031689273659,0.9461959599773456,real,26506.544636416,2931.176081983722,0.2888165038002172,gate_tiny,0.6850797133749797,0.6743284064439578,0.4013300315930605,0.6621174243253617,0.626723490360107,0.5640133732288645,0.43933088948021914,0.2625962218775168,0.08771671850900033,0.011310250568706258,8.382776189189943e-05,285,1,5297,0.8,78953.620005376,8792.207771257381
temperature,43245.834076160005,4832.780515716877,0.955635265244478,real,26506.544636416,2931.176081983722,0.24321389793702497,gate_tiny,0.6657942151113141,0.6552413233417218,0.3922572760888985,0.6433844166906716,0.6173746211382969,0.5476065860278542,0.4320444911479355,0.2620766561418665,0.08766521563718992,0.01130124987372569,8.398577840818954e-05,235,1,5297,0.8500000000000001,69752.378712576,7763.956597700599
temperature,33492.518305792,3742.8342717466876,0.9656409288276383,real,26506.544636416,2931.176081983722,0.19001085776330076,gate_tiny,0.6271945544429124,0.6260353404602063,0.3709357049635221,0.6142532756172399,0.5797599785699564,0.5192265514852107,0.40548444237884024,0.2454754039356507,0.08143739900819688,0.010394901909131966,9.52018278750952e-05,182,1,5297,0.9,59999.062942208,6674.010353730409
temperature,24107.252187136,2694.0180747187696,0.9752690202001133,real,26506.544636416,2931.176081983722,0.13680781758957655,gate_tiny,0.5982219480069417,0.5972091093256968,0.35658912203242765,0.5856313058697917,0.5605793629817374,0.5009918450595553,0.39588446984683945,0.2372877683375202,0.07649836795004059,0.013482455022572035,0.0001045879235810905,131,1,5297,0.9500000000000001,50613.796823552,5625.1941567024915
temperature,0.0,0.0,1.0,real,26506.544636416,2931.176081983722,0.0,gate_tiny,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,1.0,26506.544636416,2931.176081983722
