calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
isotonic,34960.2,3907.3723532608697,0.0,real,5319.691839488,2873.319636841188,1.0,gate_effb0_yolo11n,0.8328840305002037,0.8225463388690308,0.5373500076426179,0.8117127393169098,0.7986065042782704,0.7602985087701916,0.66536278147542,0.46557012307996726,0.19421039806105164,0.021208542064132654,0.0011001100110011,5297,1,5297,0.0,40279.891839487995,6780.691990102057
isotonic,15067.8,1684.072320652174,0.5690013215027374,real,5319.691839488,2873.319636841188,0.9674267100977199,gate_effb0_yolo11n,0.8327758095403542,0.8224837290976482,0.5356369904795606,0.8116440765597388,0.7900823554027421,0.7521042687724853,0.6652996147347449,0.46549341575472547,0.19417960081173302,0.021206924110431836,0.0011001100110011,2283,1,5297,0.05,20387.491839488,4557.3919574933625
isotonic,11167.199999999999,1248.1166739130435,0.6805739097602417,real,5319.691839488,2873.319636841188,0.9239956568946797,gate_effb0_yolo11n,0.8326367242124144,0.8223984085159526,0.5355794394195523,0.8115403958558474,0.790039140614781,0.7520653037554512,0.6651885765193075,0.4654573029312287,0.19416262244013605,0.02120580933940341,0.0011001100110011,1692,1,5297,0.1,16486.891839488,4121.436310754232
isotonic,8896.8,994.3624565217392,0.7455163299981121,real,5319.691839488,2873.319636841188,0.8740499457111836,gate_effb0_yolo11n,0.8235259205832737,0.8221392442624337,0.5322763360675978,0.8026379999443998,0.7898160006146757,0.7518453224908703,0.6573387828939897,0.4591014414178732,0.19406630887934953,0.021192229578111274,0.0011001100110011,1348,1,5297,0.15000000000000002,14216.491839488,3867.6820933629274
isotonic,8725.199999999999,975.1833586956523,0.7504247687370209,real,5319.691839488,2873.319636841188,0.8697068403908795,gate_effb0_yolo11n,0.8235239804215643,0.8221366956523928,0.5322739603430386,0.8026357325211303,0.7898096338513126,0.7518371037895822,0.6573367187576727,0.45910108996826837,0.19406630887934953,0.021192229578111274,0.0011001100110011,1322,1,5297,0.2,14044.891839487998,3848.5029955368404
isotonic,6910.2,772.3275163043479,0.8023409477062489,real,5319.691839488,2873.319636841188,0.7991313789359392,gate_effb0_yolo11n,0.8232832749607227,0.8131042473674343,0.5304278291530179,0.8024326429710608,0.7809790986603447,0.751512090126198,0.6572510992263194,0.45914102048492195,0.1942436233090216,0.0212310844131536,0.0011001100110011,1047,1,5297,0.25,12229.891839488,3645.6471531455363
isotonic,6474.599999999999,723.6421141304348,0.8148008306588634,real,5319.691839488,2873.319636841188,0.7785016286644951,gate_effb0_yolo11n,0.8139725313910746,0.8126728092642488,0.5275589154310032,0.7932632062699796,0.7806098065949161,0.7428661578736969,0.6568678690965432,0.4589197038589066,0.19408532997436015,0.02123162997530528,0.0011001100110011,981,1,5297,0.30000000000000004,11794.291839488,3596.961750971623
isotonic,6474.599999999999,723.6421141304348,0.8148008306588634,real,5319.691839488,2873.319636841188,0.7785016286644951,gate_effb0_yolo11n,0.8139725313910746,0.8126728092642488,0.5275589154310032,0.7932632062699796,0.7806098065949161,0.7428661578736969,0.6568678690965432,0.4589197038589066,0.19408532997436015,0.02123162997530528,0.0011001100110011,981,1,5297,0.35000000000000003,11794.291839488,3596.961750971623
isotonic,5537.4,618.8947336956522,0.8416084576175193,real,5319.691839488,2873.319636841188,0.7198697068403909,gate_effb0_yolo11n,0.8136564563436787,0.8035316421720241,0.5248428633089876,0.7929379131079827,0.7715612127959147,0.7424948976328501,0.6490079221433392,0.4587911152358528,0.19412174580058394,0.021225617846647758,0.0011001100110011,839,1,5297,0.4,10857.091839488,3492.2143705368403
isotonic,5445.0,608.567527173913,0.8442514630923164,real,5319.691839488,2873.319636841188,0.7133550488599348,gate_effb0_yolo11n,0.813600007851135,0.8034662383694018,0.5247985842960661,0.7928794838737773,0.7715169847203595,0.7424316443118785,0.6489391720260838,0.4587417507841739,0.1940886080620343,0.021221842950815153,0.0011001100110011,825,1,5297,0.45,10764.691839488001,3481.887164015101
