calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
temperature,34960.2,3907.3723532608697,0.0,real,5319.691839488,2873.319636841188,1.0,gate_effb0_yolo11n,0.8328840305002037,0.8225463388690308,0.5373500076426179,0.8117127393169098,0.7986065042782704,0.7602985087701916,0.66536278147542,0.46557012307996726,0.19421039806105164,0.021208542064132654,0.0011001100110011,5297,1,5297,0.0,40279.891839487995,6780.691990102057
temperature,17787.0,1987.9872554347828,0.4912214461015669,real,5319.691839488,2873.319636841188,0.9804560260586319,gate_effb0_yolo11n,0.8327973733570055,0.822498156376497,0.5356480965859383,0.8116645659593985,0.7900986440699248,0.7521181437175144,0.6653293446518143,0.4654939360387457,0.19417420252350423,0.02120648915397632,0.0011001100110011,2695,1,5297,0.05,23106.691839488,4861.306892275971
temperature,14110.8,1577.1119673913045,0.5963753067774211,real,5319.691839488,2873.319636841188,0.9554831704668838,gate_effb0_yolo11n,0.8327289169342147,0.8224445518679627,0.5356247415156002,0.8116056337104215,0.7900832449906552,0.752109934781852,0.6652894693065036,0.46549602985570876,0.19418242759499,0.02120709610269275,0.0011001100110011,2138,1,5297,0.1,19430.491839488,4450.431604232493
temperature,12170.4,1360.2406304347826,0.6518784217481594,real,5319.691839488,2873.319636841188,0.9359391965255157,gate_effb0_yolo11n,0.8326701020732789,0.8224464044986413,0.5356005484810722,0.8115667159907045,0.7900735675870206,0.752108072743891,0.6652190498059444,0.4654496871910263,0.19416481429323787,0.021206960615975493,0.0011001100110011,1844,1,5297,0.15000000000000002,17490.091839488,4233.560267275971
temperature,10863.599999999999,1214.1844239130435,0.6892580706060034,real,5319.691839488,2873.319636841188,0.9163952225841476,gate_effb0_yolo11n,0.8326019331363697,0.8223614353617409,0.5355714904822615,0.8115319404198079,0.7900350891903594,0.752081825989298,0.6651986465016339,0.4654432974590151,0.1941550812841163,0.021205545469271354,0.0011001100110011,1646,1,5297,0.2,16183.291839488,4087.5040607542314
temperature,9735.0,1088.0449728260871,0.721540494619596,real,5319.691839488,2873.319636841188,0.8892508143322475,gate_effb0_yolo11n,0.8326316255426315,0.8223700026019042,0.5355702487663356,0.81153005137862,0.790069256919918,0.7520988395366658,0.6651727084044657,0.4653946893686213,0.1941375761729029,0.02119762772662557,0.0011001100110011,1475,1,5297,0.25,15054.691839488001,3961.3646096672755
temperature,8857.199999999999,989.9365108695653,0.7466490466301681,real,5319.691839488,2873.319636841188,0.8718783930510315,gate_effb0_yolo11n,0.8235259205832737,0.8221392442624337,0.5322763360675978,0.8026379999443998,0.7898160006146757,0.7518453224908703,0.6573387828939897,0.4591014414178732,0.19406630887934953,0.021192229578111274,0.0011001100110011,1342,1,5297,0.30000000000000004,14176.891839487998,3863.2561477107533
temperature,8170.799999999999,913.2201195652175,0.7662828015858033,real,5319.691839488,2873.319636841188,0.8458197611292074,gate_effb0_yolo11n,0.8233986312136362,0.8132023403800616,0.5312945431769707,0.8025039485309658,0.7896349976429715,0.7516434247043755,0.6572239578899672,0.4590218623924829,0.19401884794229907,0.021197311061946302,0.0011001100110011,1238,1,5297,0.35000000000000003,13490.491839488,3786.5397564064056
temperature,7576.799999999999,846.8309347826088,0.7832735510666415,real,5319.691839488,2873.319636841188,0.8165038002171553,gate_effb0_yolo11n,0.8233293490378462,0.8131251908202938,0.5312790326769193,0.8024275368731281,0.789517730180786,0.7515403421569673,0.6571936341182892,0.45910077416867806,0.1942261949496573,0.021229464452546674,0.0011001100110011,1148,1,5297,0.4,12896.491839488,3720.150571623797
temperature,7075.2,790.7689565217391,0.7976212950726826,real,5319.691839488,2873.319636841188,0.8034744842562432,gate_effb0_yolo11n,0.8232914031488306,0.813102550670958,0.530424928316199,0.8024311437518641,0.7809804904861718,0.7515112045676889,0.6572315025273922,0.45913007608477246,0.19424006722077952,0.021230734692530964,0.0011001100110011,1072,1,5297,0.45,12394.891839488,3664.0885933629274
temperature,6560.4,733.2316630434783,0.8123466112894091,real,5319.691839488,2873.319636841188,0.7795874049945711,gate_effb0_yolo11n,0.8139725313910746,0.8126728092642488,0.5275589154310032,0.7932632062699796,0.7806098065949161,0.7428661578736969,0.6568678690965432,0.4589197038589066,0.19408532997436015,0.02123162997530528,0.0011001100110011,994,1,5297,0.5,11880.091839488,3606.5512998846666
temperature,6124.799999999999,684.5462608695652,0.8248064942420238,real,5319.691839488,2873.319636841188,0.751357220412595,gate_effb0_yolo11n,0.8139075832997151,0.8037679682535283,0.5266358200002574,0.7931965790805799,0.7805049085641977,0.7428241481074572,0.6568329709067504,0.4588823164678306,0.19412085853140082,0.02122075678011281,0.0011001100110011,928,1,5297,0.55,11444.491839488,3557.8658977107534
temperature,5702.4,637.3361739130435,0.8368888049839531,real,5319.691839488,2873.319636841188,0.7285559174809989,gate_effb0_yolo11n,0.8135676535896693,0.8034560006510346,0.5248052098353386,0.7928749321677322,0.7715213499289924,0.7424475000773686,0.6489720765673268,0.458770825535911,0.19411655177278062,0.021225098051569774,0.0011001100110011,864,1,5297,0.6000000000000001,11022.091839488,3510.6558107542314
temperature,5385.599999999999,601.9286086956522,0.8459505380404002,real,5319.691839488,2873.319636841188,0.7079261672095548,gate_effb0_yolo11n,0.8044646077559579,0.8032595462992043,0.5229587793202068,0.7926485031133683,0.7713827127428265,0.7340097140840318,0.6488672500255656,0.4585525749541939,0.19407815095856595,0.021224623257353713,0.0011001100110011,816,1,5297,0.65,10705.291839488,3475.2482455368404
temperature,4969.8,555.4561793478262,0.857844062676987,real,5319.691839488,2873.319636841188,0.6731813246471227,gate_effb0_yolo11n,0.8039752567595909,0.7939174357488036,0.5202501494022107,0.7834205195722246,0.7707931259103032,0.733637295507419,0.6483372984864977,0.45216142457464314,0.1939201158601895,0.02123891159143375,0.0011001100110011,753,1,5297,0.7000000000000001,10289.491839488,3428.775816189014
temperature,4659.599999999999,520.7862717391305,0.8667170096280914,real,5319.691839488,2873.319636841188,0.6384364820846905,gate_effb0_yolo11n,0.7946770273048502,0.7846204855588989,0.5148992696138261,0.7742258400070141,0.7619098975180294,0.7248582783996969,0.6403373308818466,0.45203810598992944,0.19396720071784576,0.021258419749148685,0.0011001100110011,706,1,5297,0.75,9979.291839488,3394.1059085803186
temperature,4290.0,479.47744565217397,0.8772890315272796,real,5319.691839488,2873.319636841188,0.6026058631921825,gate_effb0_yolo11n,0.7849613666665736,0.7749397100210175,0.5105786577562714,0.7734381926462618,0.7523627563712998,0.7240233780501604,0.6393979658024801,0.44418285690266013,0.1900775768067179,0.02123795193095382,0.0011648223645894002,650,1,5297,0.8,9609.691839488001,3352.7970824933623
temperature,3907.2,436.69330434782614,0.8882386256371531,real,5319.691839488,2873.319636841188,0.5602605863192183,gate_effb0_yolo11n,0.7552337586695803,0.7452194749974638,0.48933893319724964,0.7348402418524603,0.7225869401880611,0.6942961383290314,0.6107145034390643,0.42621563793345957,0.18348975949060523,0.019628054708180995,0.0011648223645894002,592,1,5297,0.8500000000000001,9226.891839488,3310.0129411890143
temperature,3405.6,380.63132608695656,0.9025863696431943,real,5319.691839488,2873.319636841188,0.503800217155266,gate_effb0_yolo11n,0.7159636152235735,0.7059873644277581,0.46395275418336296,0.704501899089818,0.6835119775413556,0.6559092111140479,0.5742001156602934,0.40409751812881545,0.17508711607264624,0.019608658568720058,0.0006600660066006601,516,1,5297,0.9,8725.291839488,3253.9509629281447
temperature,2574.0,287.68646739130435,0.9263734189163677,real,5319.691839488,2873.319636841188,0.3995656894679696,gate_effb0_yolo11n,0.6375474224256871,0.6276463506003721,0.41558569800775763,0.6265456788949325,0.6149588570249922,0.5886053802010837,0.5185320229580188,0.3649726624450156,0.1585955580932861,0.018057007830227952,0.00039603960396039607,390,1,5297,0.9500000000000001,7893.691839488,3161.0061042324924
temperature,0.0,0.0,1.0,real,5319.691839488,2873.319636841188,0.0,gate_effb0_yolo11n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,1.0,5319.691839488,2873.319636841188
