calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
platt,34960.2,3907.3723532608697,0.0,real,2971.0423814400006,1695.2160883956822,1.0,gate_mbv3large_yolo11n,0.8328840395112245,0.8225463508973953,0.5373501889784139,0.8117127295044483,0.798606840919683,0.7602986118437794,0.6653629721681529,0.4655689098841002,0.19421227828451562,0.021209046759838788,0.0011001100110011,5297,1,5297,0.0,37931.242381439995,5602.588441656551
platt,11886.599999999999,1328.5213532608695,0.6599962242778932,real,2971.0423814400006,1695.2160883956822,0.9598262757871878,gate_mbv3large_yolo11n,0.8328569610924345,0.8225194314049487,0.5356522709044651,0.8116674722238199,0.7900837204625486,0.752083703401377,0.6652892917472767,0.4655126304982483,0.19420057843208427,0.021208809770913353,0.0011001100110011,1801,1,5297,0.05,14857.642381439999,3023.7374416565517
platt,10124.4,1131.5667717391304,0.7104021144043798,real,2971.0423814400006,1695.2160883956822,0.9283387622149837,gate_mbv3large_yolo11n,0.8326957550790457,0.8224149183447114,0.5356323097087449,0.811592815205424,0.7900728662621015,0.7521506868212502,0.665344484980908,0.46553649313892254,0.19420727823464304,0.021207689009440683,0.0011001100110011,1534,1,5297,0.1,13095.44238144,2826.782860134813
platt,8771.4,980.3469619565218,0.7491032659996224,real,2971.0423814400006,1695.2160883956822,0.9142236699239956,gate_mbv3large_yolo11n,0.8326458522720178,0.8223700533683728,0.5356079305621131,0.8115389123401215,0.7900470857804556,0.752130590139989,0.6652985420064718,0.4655308797821934,0.19420915440801162,0.02120812551249677,0.0011001100110011,1329,1,5297,0.15000000000000002,11742.44238144,2675.563050352204
platt,7900.2,882.9761576086958,0.7740230319048518,real,2971.0423814400006,1695.2160883956822,0.8935939196525515,gate_mbv3large_yolo11n,0.8326090802134015,0.8223279021031522,0.5355812919026174,0.811513759729197,0.7900396999822712,0.7521264250029739,0.6652277331656887,0.46547742802709313,0.1941806129630883,0.02121016782830676,0.0011001100110011,1197,1,5297,0.2,10871.24238144,2578.192246004378
platt,7326.0,818.799945652174,0.7904474230696621,real,2971.0423814400006,1695.2160883956822,0.8697068403908795,gate_mbv3large_yolo11n,0.8325831306367452,0.8222954633255802,0.535553631395171,0.8114720044368493,0.7900005764305813,0.7520752166400737,0.6651926321000875,0.46544023307458793,0.19416565123998822,0.021211296056215103,0.0011001100110011,1110,1,5297,0.25,10297.04238144,2514.016034047856
platt,6831.0,763.475625,0.8046063809703605,real,2971.0423814400006,1695.2160883956822,0.8534201954397395,gate_mbv3large_yolo11n,0.8325088356795013,0.8221951866807212,0.5354787248094315,0.8113632485647125,0.7899203559523339,0.7519830919438232,0.6650423111715881,0.46533754683429646,0.19412572046570095,0.021210840790636485,0.0011001100110011,1035,1,5297,0.30000000000000004,9802.04238144,2458.691713395682
platt,6336.0,708.1513043478261,0.8187653388710591,real,2971.0423814400006,1695.2160883956822,0.8230184581976113,gate_mbv3large_yolo11n,0.8234510774996455,0.822054117864719,0.5330073697097968,0.8025657953951248,0.7897938471648214,0.751857908060934,0.6648832373637962,0.45913143639315795,0.19403865299468806,0.02119751435007878,0.0011001100110011,960,1,5297,0.35000000000000003,9307.04238144,2403.3673927435084
platt,5940.0,663.891847826087,0.8300925051916179,real,2971.0423814400006,1695.2160883956822,0.7980456026058632,gate_mbv3large_yolo11n,0.8232925603687862,0.813141303629847,0.5312708519414431,0.8024668969148046,0.7896005159776427,0.7516523380109941,0.6572269925947698,0.45904229576209116,0.1939842923883021,0.021201213756191724,0.0011001100110011,900,1,5297,0.4,8911.04238144,2359.1079362217693
platt,5656.2,632.1725706521739,0.8382103077213517,real,2971.0423814400006,1695.2160883956822,0.7752442996742671,gate_mbv3large_yolo11n,0.823132508249124,0.8129765145864636,0.5302884705433829,0.8023181840211444,0.780893587416398,0.7514333687393306,0.6570693538781044,0.4589006325489619,0.19387913871064413,0.021181307272656748,0.0011001100110011,857,1,5297,0.45,8627.24238144,2327.388659047856
platt,5365.799999999999,599.7156358695653,0.8465168963564281,real,2971.0423814400006,1695.2160883956822,0.752442996742671,gate_mbv3large_yolo11n,0.822988737505256,0.8128449763097222,0.5293836635062915,0.802172224064983,0.7807958420108856,0.7430589360797956,0.6569776383353678,0.4588778522053398,0.19383518356025045,0.021185134980313238,0.0011001100110011,813,1,5297,0.5,8336.84238144,2294.9317242652473
platt,5121.599999999999,572.4223043478261,0.8535019822541061,real,2971.0423814400006,1695.2160883956822,0.7296416938110749,gate_mbv3large_yolo11n,0.8139278439863831,0.8126579850257099,0.5284319349734564,0.8020054352419597,0.7806858456021507,0.743036623396008,0.6570222445523196,0.45889237241959874,0.19380740192857185,0.02118348757086068,0.0011001100110011,776,1,5297,0.55,8092.6423814400005,2267.638392743508
platt,4831.2,539.9653695652174,0.8618085708891825,real,2971.0423814400006,1695.2160883956822,0.7003257328990228,gate_mbv3large_yolo11n,0.8138274271073755,0.8037009573067025,0.5266144612517171,0.7931522535464525,0.7805905647939481,0.742937122373209,0.6569594430525107,0.45884718656022383,0.19383371717806364,0.021195830587684553,0.0011001100110011,732,1,5297,0.6000000000000001,7802.242381440001,2235.1814579608995
platt,4613.4,515.622668478261,0.8680385123654899,real,2971.0423814400006,1695.2160883956822,0.6818675352877307,gate_mbv3large_yolo11n,0.8137276163660923,0.8036368908476028,0.5265721492272963,0.7931011110974524,0.7804981799494396,0.7429052746429853,0.656922223127709,0.45882287593008003,0.19381555227395783,0.021191658026643106,0.0011001100110011,699,1,5297,0.65,7584.44238144,2210.838756873943
platt,4402.2,492.017625,0.8740796677364546,real,2971.0423814400006,1695.2160883956822,0.6644951140065146,gate_mbv3large_yolo11n,0.8135571052131998,0.8034848475198245,0.5264684473241337,0.7929349074147827,0.7802903076874182,0.7427329425480131,0.6567447314526171,0.4587999755936436,0.19384373197270627,0.02119581382812954,0.0011001100110011,667,1,5297,0.7000000000000001,7373.242381440001,2187.233713395682
platt,4012.7999999999997,448.4958260869565,0.8852180479516708,real,2971.0423814400006,1695.2160883956822,0.6167209554831705,gate_mbv3large_yolo11n,0.8036911288938515,0.7936717485664525,0.5200900649450169,0.7832441296296799,0.7706606452038377,0.7334383489809967,0.648363324076003,0.45193999960408904,0.19360819972493418,0.02118301475932196,0.0011001100110011,608,1,5297,0.75,6983.84238144,2143.711914482639
platt,3623.3999999999996,404.97402717391304,0.8963564281668869,real,2971.0423814400006,1695.2160883956822,0.5613463626492943,gate_mbv3large_yolo11n,0.7749149209176879,0.7738733246751015,0.5050089438275924,0.7634496416912596,0.7423932104635438,0.7139995360819927,0.6297922698062708,0.4426142986882676,0.18826282239732678,0.01968930354347148,0.0011001100110011,549,1,5297,0.8,6594.44238144,2100.190115569595
platt,3253.7999999999997,363.66520108695653,0.9069284500660751,real,2971.0423814400006,1695.2160883956822,0.510314875135722,gate_mbv3large_yolo11n,0.7652554566120118,0.7642404020237533,0.49850984288153793,0.7538884301851061,0.7329161963682624,0.7048444816106955,0.6212202203608154,0.43580381063226664,0.18601984097563887,0.019744767682241073,0.0011648223645894002,493,1,5297,0.8500000000000001,6224.84238144,2058.8812894826387
platt,2725.7999999999997,304.6525923913044,0.9220313384934868,real,2971.0423814400006,1695.2160883956822,0.43539630836047777,gate_mbv3large_yolo11n,0.7453837582867703,0.7354838004782795,0.4828571513222057,0.7251843346373025,0.7131438338943004,0.6766832336282081,0.6030227610308596,0.4274309532698369,0.18137476117761994,0.01969925445429087,0.0011648223645894002,413,1,5297,0.9,5696.84238144,1999.8686807869865
platt,2052.6,229.41151630434783,0.9412875212384368,real,2971.0423814400006,1695.2160883956822,0.3300760043431053,gate_mbv3large_yolo11n,0.7163619457328829,0.7066537347810942,0.4665114538942142,0.6964600088517116,0.6847869894745057,0.6578977807688745,0.5859815863133939,0.41435484067084316,0.18166050657412197,0.01979232341012626,0.0011648223645894002,311,1,5297,0.9500000000000001,5023.6423814400005,1924.62760470003
platt,0.0,0.0,1.0,real,2971.0423814400006,1695.2160883956822,0.0,gate_mbv3large_yolo11n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,1.0,2971.0423814400006,1695.2160883956822
