calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
platt,34960.2,3907.3723532608697,0.0,real,764.76475712,868.7368913233513,1.0,gate_mbv3small_yolo11n,0.8328841141874501,0.822546422771722,0.5373499681836676,0.8117128097813628,0.798606563153847,0.7602984454147975,0.665362378303244,0.4655685138330702,0.19421166503151358,0.021208659348668547,0.0011001100110011,5297,1,5297,0.0,35724.96475712,4776.1092445842205
platt,15331.8,1713.578625,0.5614498772890315,real,764.76475712,868.7368913233513,0.9543973941368078,gate_mbv3small_yolo11n,0.8326874273664232,0.8223909994915739,0.5355743381743786,0.8115632679788259,0.7900197332280742,0.752062751862649,0.6652124517705332,0.4653814301315407,0.1941256330315336,0.021199576871630266,0.0011001100110011,2323,1,5297,0.05,16096.564757119999,2582.3155163233514
platt,11701.8,1307.8669402173914,0.6652822352274872,real,764.76475712,868.7368913233513,0.9261672095548317,gate_mbv3small_yolo11n,0.8326057003132546,0.8223156966777397,0.5355145824291057,0.8114949578018675,0.7899900588272439,0.7520177388306123,0.6651097080038882,0.46524903567099934,0.19406624518894908,0.021196572965501585,0.0011001100110011,1773,1,5297,0.1,12466.564757119999,2176.6038315407427
platt,9570.0,1069.6035326086958,0.7262601472531622,real,764.76475712,868.7368913233513,0.8773072747014115,gate_mbv3small_yolo11n,0.823413280059561,0.8131719644897434,0.5313351722335035,0.8024620244330822,0.7896176453735704,0.7517183260830896,0.6573632962316056,0.4591461611521856,0.1941514121621447,0.021207502339050034,0.0011001100110011,1450,1,5297,0.15000000000000002,10334.76475712,1938.340423932047
platt,8342.4,932.3992173913044,0.7613743628468945,real,764.76475712,868.7368913233513,0.8447339847991314,gate_mbv3small_yolo11n,0.8231819854991325,0.8129496090503522,0.5312219812835357,0.8022726232227584,0.7893547912660841,0.7515261602096865,0.6573569274354955,0.4591298998599419,0.19413959291457303,0.0212081133663319,0.0011001100110011,1264,1,5297,0.2,9107.16475712,1801.1361087146556
platt,7411.799999999999,828.3894945652174,0.7879932037002076,real,764.76475712,868.7368913233513,0.8078175895765473,gate_mbv3small_yolo11n,0.8229407579868776,0.8127404210288236,0.5294408459945557,0.8020585992395677,0.7806923916088285,0.743147982734827,0.6572700641783837,0.4590694235303968,0.19417643969404308,0.021212269932806768,0.0011001100110011,1123,1,5297,0.25,8176.564757119999,1697.1263858885686
platt,6679.2,746.5095,0.8089484613932414,real,764.76475712,868.7368913233513,0.7795874049945711,gate_mbv3small_yolo11n,0.8138649504318857,0.8125431088622925,0.5275631978144764,0.7931411334710341,0.7805353004157181,0.7430158643698636,0.6571092875684511,0.45898280895928417,0.19412667546238313,0.02121273859284906,0.0011001100110011,1012,1,5297,0.30000000000000004,7443.96475712,1615.2463913233514
platt,6230.4,696.3487826086957,0.8217859165565414,real,764.76475712,868.7368913233513,0.760043431053203,gate_mbv3small_yolo11n,0.8132576318576039,0.8031528076709132,0.5237705079436706,0.7925068772877548,0.771254823342251,0.733951218501029,0.6488363237120299,0.4584690289106427,0.19397436296426415,0.02120189517921647,0.0011001100110011,944,1,5297,0.35000000000000003,6995.164757119999,1565.085673932047
platt,5794.799999999999,647.6633804347827,0.8342457995091561,real,764.76475712,868.7368913233513,0.7274701411509229,gate_mbv3small_yolo11n,0.804131168053277,0.7940150906815905,0.5203632483135033,0.7835105858048954,0.7709582358583813,0.733800553196058,0.6487291985282425,0.4521941805144861,0.19399157948069742,0.02120178100640341,0.0011001100110011,878,1,5297,0.4,6559.564757119999,1516.4002717581338
platt,5385.599999999999,601.9286086956522,0.8459505380404002,real,764.76475712,868.7368913233513,0.7014115092290988,gate_mbv3small_yolo11n,0.7946374780537502,0.7934463693239271,0.5182363453957367,0.7829132496254585,0.76183179889789,0.7332161315139212,0.6482799536030682,0.4520226175939352,0.1937161100327449,0.021199635301671026,0.0011001100110011,816,1,5297,0.45,6150.36475712,1470.6655000190035
