calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
platt,34960.2,3907.3723532608697,0.0,real,25232.186443776005,1802.2176906088134,1.0,gate_resnet18_yolo11n,0.8328841746421681,0.8225464860283389,0.5373499158565771,0.8117128572027277,0.798606707820323,0.760297884556036,0.6653627013715484,0.4655702905833111,0.19420918074083932,0.021208765609476717,0.0011001100110011,5297,1,5297,0.0,60192.386443776006,5709.590043869683
platt,13411.199999999999,1498.9202608695653,0.6163866339437417,real,25232.186443776005,1802.2176906088134,0.9500542888165038,gate_resnet18_yolo11n,0.8328237557851933,0.8224887532340084,0.5356476649782671,0.8116547646139813,0.7900706237716313,0.7521081940971976,0.665304616250966,0.46551569993873787,0.1942017551835952,0.021208376896358638,0.0011001100110011,2032,1,5297,0.05,38643.386443776006,3301.1379514783785
platt,9741.6,1088.7826304347827,0.7213517085142533,real,25232.186443776005,1802.2176906088134,0.9066232356134636,gate_resnet18_yolo11n,0.832704910497637,0.822398269082626,0.5356141243474969,0.8116191551827976,0.7900694816892223,0.7521198098869887,0.6652645347889996,0.46548576970737343,0.1941861621145133,0.021193040513810338,0.0011001100110011,1476,1,5297,0.1,34973.78644377601,2891.000321043596
platt,8190.599999999999,915.4330923913044,0.7657164432697754,real,25232.186443776005,1802.2176906088134,0.8794788273615635,gate_resnet18_yolo11n,0.832624380287243,0.8223159810051228,0.5355744068868034,0.8115193591456461,0.790034233065146,0.7520790891155155,0.665206794896094,0.46548690003948134,0.19418348982089606,0.021193731481887447,0.0011001100110011,1241,1,5297,0.15000000000000002,33422.78644377601,2717.650783000118
platt,7227.0,807.7350815217392,0.7932792146498018,real,25232.186443776005,1802.2176906088134,0.8479913137893594,gate_resnet18_yolo11n,0.8324527180329097,0.8221703826781115,0.5354603764980087,0.8113730541816699,0.7899611277039694,0.7519994692229662,0.6650227398619947,0.4652050020890274,0.19412447472795732,0.02119468647047923,0.0011001100110011,1095,1,5297,0.2,32459.186443776005,2609.9527721305526
platt,6718.799999999999,750.9354456521739,0.8078157447611856,real,25232.186443776005,1802.2176906088134,0.8251900108577633,gate_resnet18_yolo11n,0.8234820923512931,0.8220977838097174,0.5330564926243215,0.8026406105262287,0.7898988130285637,0.751934031603588,0.6649410651220354,0.45915665785755005,0.19411844424259525,0.021195317690642614,0.0011001100110011,1018,1,5297,0.25,31950.986443776004,2553.1531362609876
platt,6230.4,696.3487826086957,0.8217859165565414,real,25232.186443776005,1802.2176906088134,0.8089033659066233,gate_resnet18_yolo11n,0.8234550867715599,0.8132554490736773,0.5313908187927104,0.8026067453560974,0.7898457129242901,0.7518763021358694,0.6573474949931929,0.45912506760499305,0.19409978498354893,0.02119643407287416,0.0011001100110011,944,1,5297,0.30000000000000004,31462.586443776003,2498.566473217509
platt,5893.799999999999,658.7282445652174,0.8314140079290164,real,25232.186443776005,1802.2176906088134,0.7958740499457112,gate_resnet18_yolo11n,0.823427785978713,0.813233796048748,0.5313820860343765,0.8025945641461946,0.7898444914319546,0.751865320716224,0.6573391438973503,0.45912138941015285,0.1940976531650836,0.021196605538343568,0.0011001100110011,893,1,5297,0.35000000000000003,31125.986443776004,2460.9459351740306
platt,5610.0,627.0089673913044,0.8395318104587502,real,25232.186443776005,1802.2176906088134,0.7741585233441911,gate_resnet18_yolo11n,0.8233495420041912,0.8131858160339698,0.5313275880478983,0.802535771592739,0.7897025059390209,0.751739605077895,0.6573043565623384,0.4591027213076247,0.1940657046980883,0.021189747252113995,0.0011001100110011,850,1,5297,0.4,30842.186443776005,2429.226658000118
platt,5372.4,600.4532934782609,0.8463281102510856,real,25232.186443776005,1802.2176906088134,0.755700325732899,gate_resnet18_yolo11n,0.8232339756220569,0.8130917932952928,0.5312998500849999,0.8024634122071672,0.7895625832503594,0.7516909040538454,0.6573117501276211,0.4592114002690717,0.19413128133107663,0.021201290682506847,0.0011001100110011,814,1,5297,0.45,30604.586443776003,2402.6709840870744
platt,5148.0,575.3729347826087,0.8527468378327355,real,25232.186443776005,1802.2176906088134,0.738327904451683,gate_resnet18_yolo11n,0.8231884173839802,0.8130339378212275,0.5304259525193704,0.80239341645171,0.7809586256965163,0.7516159756567896,0.6572164816985319,0.4592029321153088,0.19431457911636774,0.021235049242270324,0.0011001100110011,780,1,5297,0.5,30380.186443776005,2377.5906253914222
platt,4950.0,553.2432065217391,0.8584104209930149,real,25232.186443776005,1802.2176906088134,0.7198697068403909,gate_resnet18_yolo11n,0.8139942247304968,0.8127100840979626,0.5285164528666764,0.8020460746409923,0.7807228448878897,0.7431022640183133,0.6569785612541459,0.45903395343023035,0.194247520295094,0.02122889130063649,0.0011001100110011,750,1,5297,0.55,30182.186443776005,2355.4608971305524
platt,4732.2,528.9005054347826,0.8646403624693223,real,25232.186443776005,1802.2176906088134,0.6992399565689468,gate_resnet18_yolo11n,0.8138875342095554,0.8037446325163548,0.5267319138903351,0.7932129124498503,0.7806311829920043,0.7430347712486256,0.6570269102551701,0.45912259010569806,0.19432432851633333,0.02123416659875853,0.0011001100110011,717,1,5297,0.6000000000000001,29964.386443776006,2331.118196043596
platt,4547.4,508.2460923913044,0.8699263734189164,real,25232.186443776005,1802.2176906088134,0.6796959826275787,gate_resnet18_yolo11n,0.8044236474243686,0.8031825664291599,0.5229648658939637,0.7925875433495594,0.771408221161091,0.734111961867884,0.6488546108019695,0.45867433893255816,0.19403071835316651,0.02127494060887895,0.0011001100110011,689,1,5297,0.65,29779.586443776003,2310.463783000118
platt,4303.2,480.9527608695652,0.8769114593165943,real,25232.186443776005,1802.2176906088134,0.6536373507057546,gate_resnet18_yolo11n,0.8041867270272537,0.7941240189348786,0.5204564343709086,0.7835987510291217,0.7710330685227951,0.7338251580917821,0.648478910534491,0.45252974993016154,0.19433517301250422,0.02135267661509677,0.0011001100110011,652,1,5297,0.7000000000000001,29535.386443776006,2283.1704514783787
platt,3973.2,444.06988043478265,0.8863507645837266,real,25232.186443776005,1802.2176906088134,0.6091205211726385,gate_resnet18_yolo11n,0.7944879381787326,0.7845413510663257,0.514490486261437,0.7740697997294039,0.7616156617668031,0.7247479498536098,0.6403367248177546,0.45237028143813535,0.19027650737613191,0.021358538376471024,0.0011001100110011,602,1,5297,0.75,29205.386443776006,2246.287571043596
platt,3696.0,413.08826086956526,0.8942797810081178,real,25232.186443776005,1802.2176906088134,0.5765472312703583,gate_resnet18_yolo11n,0.7852792694423536,0.7752486824817567,0.5106908068158783,0.7648304717769366,0.7526521194554409,0.7242454560370168,0.6399363811562836,0.45207711240100645,0.19025359918834034,0.02128486620864785,0.0011001100110011,560,1,5297,0.8,28928.186443776005,2215.3059514783786
platt,3385.7999999999997,378.4183532608696,0.9031527279592222,real,25232.186443776005,1802.2176906088134,0.5320304017372421,gate_resnet18_yolo11n,0.7755160651874374,0.7655200459475876,0.504434079974436,0.7551147149036358,0.7430163491635715,0.7150830591746452,0.6314478729506667,0.44585654875863195,0.19037077498659594,0.02131525866058736,0.0011001100110011,513,1,5297,0.8500000000000001,28617.986443776004,2180.636043869683
platt,2963.3999999999996,331.20826630434783,0.9152350387011516,real,25232.186443776005,1802.2176906088134,0.46796959826275786,gate_resnet18_yolo11n,0.7366143769134906,0.7356819521538117,0.48331736179611456,0.7254256483498389,0.7134062036281467,0.6775414752098076,0.6047777340801236,0.43088645951467475,0.1876493615239065,0.020025584222757017,0.0011648223645894002,449,1,5297,0.9,28195.586443776003,2133.4259569131614
platt,2230.7999999999997,249.32827173913046,0.9361902963941854,real,25232.186443776005,1802.2176906088134,0.3583061889250814,gate_resnet18_yolo11n,0.6386272680400795,0.6287849633592535,0.4186924310837477,0.6278163709053373,0.6162423387622173,0.5906888859135703,0.5226277457528983,0.37700749821506163,0.16668264309623537,0.017739383214322377,0.0007072135785007071,338,1,5297,0.9500000000000001,27462.986443776004,2051.5459623479437
platt,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,gate_resnet18_yolo11n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,1.0,25232.186443776005,1802.2176906088134
