calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
temperature,34960.2,3907.3723532608697,0.0,real,25232.186443776005,1802.2176906088134,1.0,gate_resnet18_yolo11n,0.8328841746421681,0.8225464860283389,0.5373499158565771,0.8117128572027277,0.798606707820323,0.760297884556036,0.6653627013715484,0.4655702905833111,0.19420918074083932,0.021208765609476717,0.0011001100110011,5297,1,5297,0.0,60192.386443776006,5709.590043869683
temperature,14302.199999999999,1598.5040380434784,0.5909005097224844,real,25232.186443776005,1802.2176906088134,0.9554831704668838,gate_resnet18_yolo11n,0.8328315632339671,0.8225014624291952,0.5356524953213874,0.8116625754413027,0.7900823901306727,0.752111519999304,0.6653193516847238,0.46550839760384066,0.1941995564025013,0.021208026277363564,0.0011001100110011,2167,1,5297,0.05,39534.386443776006,3400.721728652292
temperature,10850.4,1212.7091086956523,0.6896356428166888,real,25232.186443776005,1802.2176906088134,0.9218241042345277,gate_resnet18_yolo11n,0.8327764383463953,0.8224529129248805,0.5356169301550805,0.8116204398905237,0.7900450922682675,0.7520863489377406,0.6652576729333572,0.4654586355180286,0.19417892940241224,0.021192721318198188,0.0011001100110011,1644,1,5297,0.1,36082.586443776,3014.926799304466
temperature,9061.8,1012.8038967391306,0.740796677364546,real,25232.186443776005,1802.2176906088134,0.8946796959826275,gate_resnet18_yolo11n,0.8326421628397369,0.8223366957254156,0.5355883856868969,0.8115387127545124,0.7900499936336094,0.7521066531692925,0.6652186858121706,0.4655057210030015,0.19419173908254858,0.02119338283768118,0.0011001100110011,1373,1,5297,0.15000000000000002,34293.986443776004,2815.0215873479438
temperature,8078.4,902.8929130434783,0.7689258070606003,real,25232.186443776005,1802.2176906088134,0.8773072747014115,gate_resnet18_yolo11n,0.8325078972041504,0.8222138982827059,0.5354802601830005,0.8113830350219959,0.7899475816285094,0.7519943298932072,0.6650329587226584,0.4652732321173622,0.19415763605876335,0.021191922889651892,0.0011001100110011,1224,1,5297,0.2,33310.586443776,2705.1106036522915
temperature,7339.2,820.2752608695653,0.7900698508589767,real,25232.186443776005,1802.2176906088134,0.8512486427795874,gate_resnet18_yolo11n,0.8324578299537541,0.8221754755261029,0.535467928891403,0.8113816080928369,0.7899721803476422,0.7520094771079671,0.6650351966994635,0.4652297276879528,0.1941231681997288,0.02119451528758092,0.0011001100110011,1112,1,5297,0.25,32571.386443776006,2622.492951478379
temperature,6831.0,763.475625,0.8046063809703605,real,25232.186443776005,1802.2176906088134,0.8295331161780674,gate_resnet18_yolo11n,0.8234976677810639,0.8221186415737588,0.5330670976491143,0.8026489926352027,0.7899120216695751,0.751950645921694,0.6649619572910984,0.4591626040725455,0.19412310350419357,0.021195232031011108,0.0011001100110011,1035,1,5297,0.30000000000000004,32063.186443776005,2565.6933156088135
temperature,6501.0,726.5927445652175,0.814045686237493,real,25232.186443776005,1802.2176906088134,0.8186753528773073,gate_resnet18_yolo11n,0.8234769147076774,0.8132693482971725,0.5314190742403999,0.8026312683000564,0.789884988167937,0.7519154158282084,0.65739344938297,0.4591926330767441,0.19412907089466525,0.021197543737566805,0.0011001100110011,985,1,5297,0.35000000000000003,31733.186443776005,2528.8104351740308
temperature,6184.2,691.1851793478261,0.8231074192939399,real,25232.186443776005,1802.2176906088134,0.8067318132464713,gate_resnet18_yolo11n,0.8234493505458358,0.8132533405818817,0.5313917777783368,0.8026119449669573,0.789850267709195,0.7518802784967651,0.657349818461806,0.4591262127265746,0.19410002021047723,0.02119643407287416,0.0011001100110011,937,1,5297,0.4,31416.386443776006,2493.4028699566397
temperature,5893.799999999999,658.7282445652174,0.8314140079290164,real,25232.186443776005,1802.2176906088134,0.7958740499457112,gate_resnet18_yolo11n,0.823427785978713,0.813233796048748,0.5313820860343765,0.8025945641461946,0.7898444914319546,0.751865320716224,0.6573391438973503,0.45912138941015285,0.1940976531650836,0.021196605538343568,0.0011001100110011,893,1,5297,0.45,31125.986443776004,2460.9459351740306
temperature,5636.4,629.959597826087,0.8387766660373797,real,25232.186443776005,1802.2176906088134,0.7774158523344191,gate_resnet18_yolo11n,0.8233600355443391,0.8131683497899448,0.5313199367399051,0.8025134219037494,0.7896961494602186,0.7517277144026221,0.6572889061857605,0.45909410289182573,0.19406117817178858,0.021189399037800982,0.0011001100110011,854,1,5297,0.5,30868.586443776003,2432.1772884349
temperature,5425.2,606.3545543478261,0.8448178214083444,real,25232.186443776005,1802.2176906088134,0.761129207383279,gate_resnet18_yolo11n,0.8232932817176103,0.8131354407913622,0.5313366469452862,0.8025062113805852,0.7896214689088735,0.7517566602511819,0.6573491794640653,0.4592702250821014,0.19413433187982246,0.021199559966257126,0.0011001100110011,822,1,5297,0.55,30657.386443776006,2408.5722449566397
temperature,5187.599999999999,579.7988804347826,0.8516141212006796,real,25232.186443776005,1802.2176906088134,0.741585233441911,gate_resnet18_yolo11n,0.8232133080458885,0.8130596812028035,0.5304485284880467,0.8024246484305178,0.7809901105819564,0.7516594086057534,0.6572413421040367,0.4592467277308232,0.1943155373345028,0.02123441083318286,0.0011001100110011,786,1,5297,0.6000000000000001,30419.786443776004,2382.016571043596
temperature,5022.599999999999,561.3574402173913,0.8563337738342458,real,25232.186443776005,1802.2176906088134,0.7274701411509229,gate_resnet18_yolo11n,0.8231630006396166,0.8129963537261977,0.5304088053335054,0.80234462516047,0.7809433839723829,0.7515884718357722,0.6572168590829216,0.4592015707429106,0.19430139782653094,0.0212322803372507,0.0011001100110011,761,1,5297,0.65,30254.786443776004,2363.5751308262047
temperature,4798.2,536.2770815217392,0.8627525014158958,real,25232.186443776005,1802.2176906088134,0.7068403908794788,gate_resnet18_yolo11n,0.8139382142040206,0.8037775237138023,0.5267327862669646,0.7932476054052883,0.7806874707025729,0.743060014473781,0.6569310560613534,0.45905101655805197,0.19430135930540088,0.021233492234374145,0.0011001100110011,727,1,5297,0.7000000000000001,30030.386443776006,2338.4947721305525
temperature,4554.0,508.98375000000004,0.8697375873135738,real,25232.186443776005,1802.2176906088134,0.6807817589576547,gate_resnet18_yolo11n,0.8136236524287707,0.8035154549368067,0.5257418419703819,0.7929369965988742,0.7802267329758255,0.7426772422734867,0.6489991588858434,0.4589782135934378,0.19408064647465062,0.021280211525121898,0.0011001100110011,690,1,5297,0.75,29786.186443776005,2311.2014406088133
temperature,4303.2,480.9527608695652,0.8769114593165943,real,25232.186443776005,1802.2176906088134,0.6536373507057546,gate_resnet18_yolo11n,0.8041867270272537,0.7941240189348786,0.5204564343709086,0.7835987510291217,0.7710330685227951,0.7338251580917821,0.648478910534491,0.45252974993016154,0.19433517301250422,0.02135267661509677,0.0011001100110011,652,1,5297,0.8,29535.386443776006,2283.1704514783787
temperature,3880.7999999999997,433.7426739130435,0.8889937700585236,real,25232.186443776005,1802.2176906088134,0.5982627578718784,gate_resnet18_yolo11n,0.7854717109110002,0.7844602846576275,0.5135683040574638,0.7739961705059895,0.7615674616357486,0.724716633718265,0.6402937754622449,0.45243009263859985,0.19029401878254162,0.021352782251619955,0.0011001100110011,588,1,5297,0.8500000000000001,29112.986443776004,2235.9603645218567
temperature,3511.2,392.433847826087,0.8995657919577119,real,25232.186443776005,1802.2176906088134,0.5483170466883822,gate_resnet18_yolo11n,0.7755890552969261,0.7655786483148136,0.50533266918457,0.7640296568584791,0.7430816827506194,0.7151212867447949,0.6314506752340417,0.4457757483634878,0.19029348414261485,0.02130634412892135,0.0011001100110011,532,1,5297,0.9,28743.386443776006,2194.6515384349004
temperature,2890.7999999999997,323.09403260869567,0.9173116858599207,real,25232.186443776005,1802.2176906088134,0.4581976112920738,gate_resnet18_yolo11n,0.7363128562852682,0.7264390592677773,0.4797023256751034,0.7161391071369473,0.7042798402342918,0.6772160976307671,0.6041545881139372,0.4241935206847247,0.1872048898777542,0.01991847515497715,0.0011648223645894002,438,1,5297,0.9500000000000001,28122.986443776004,2125.311723217509
temperature,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,gate_resnet18_yolo11n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,1.0,25232.186443776005,1802.2176906088134
