calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
platt,34960.2,3907.3723532608697,0.0,real,26506.544636416,2931.176081983722,1.0,gate_tiny_yolo11n,0.8328840612871639,0.8225463656604282,0.5373501616109919,0.8117127538426869,0.7986068579081952,0.7602987459380792,0.6653631467109524,0.46557014813096576,0.19421088455631433,0.021208542064132654,0.0011001100110011,5297,1,5297,0.0,61466.744636416,6838.548435244591
platt,17344.8,1938.564195652174,0.5038701151595242,real,26506.544636416,2931.176081983722,0.9587404994571118,gate_tiny_yolo11n,0.8325668320673771,0.8222201486389655,0.5354115021917701,0.8113813059473607,0.7898531649751132,0.7518611848544785,0.6648806514880418,0.464987263164933,0.19408038801984673,0.02118397275058398,0.0011001100110011,2628,1,5297,0.05,43851.344636416005,4869.740277635896
platt,12876.599999999999,1439.1699945652174,0.6316783084764961,real,26506.544636416,2931.176081983722,0.9153094462540716,gate_tiny_yolo11n,0.8232396261818373,0.8129450737263693,0.5311357114958402,0.8022630523931704,0.7892949458071591,0.7512146123236683,0.6565533807578857,0.4588189462009763,0.19464161055577311,0.021285757000559402,0.0011001100110011,1951,1,5297,0.1,39383.144636416,4370.346076548939
platt,10388.4,1161.0730760869567,0.702850670190674,real,26506.544636416,2931.176081983722,0.8653637350705755,gate_tiny_yolo11n,0.8230512869336557,0.8128271030505768,0.5293970723379893,0.8021188996596837,0.780682146265183,0.742904986869402,0.6565589555558022,0.4588146358948161,0.1946259109268796,0.021286688212892726,0.0011001100110011,1574,1,5297,0.15000000000000002,36894.944636416,4092.2491580706783
platt,8467.8,946.4147119565218,0.7577874268453841,real,26506.544636416,2931.176081983722,0.8089033659066233,gate_tiny_yolo11n,0.8138844299376641,0.8036603869044614,0.5264699425028707,0.7930485607833053,0.7803549255666781,0.7425252126849065,0.6558374718492046,0.4587110000271713,0.1943787815030778,0.021198545761235945,0.0011001100110011,1283,1,5297,0.2,34974.344636416005,3877.5907939402437
platt,7134.599999999999,797.4078750000001,0.7959222201245988,real,26506.544636416,2931.176081983722,0.761129207383279,gate_tiny_yolo11n,0.8135026295572952,0.8032908370558371,0.5245644583670747,0.7926253180791308,0.7713188442633133,0.7420193382504501,0.6478496948214023,0.45844564293690687,0.19426218936464282,0.02122997933076637,0.0011001100110011,1081,1,5297,0.25,33641.144636416,3728.5839569837217
platt,6322.799999999999,706.6759891304348,0.8191429110817444,real,26506.544636416,2931.176081983722,0.7220412595005429,gate_tiny_yolo11n,0.8040376920502088,0.7938743025886008,0.5200644425335379,0.783256936887284,0.7706878974160883,0.7331832837408823,0.6473611679160146,0.4519985720494995,0.19388891277216694,0.021255549903632244,0.0011001100110011,958,1,5297,0.30000000000000004,32829.344636416005,3637.8520711141564
platt,5867.4,655.7776141304348,0.832169152350387,real,26506.544636416,2931.176081983722,0.6916395222584147,gate_tiny_yolo11n,0.7944548924760235,0.7842907543117781,0.5139111029535078,0.7737438020038487,0.7613000152550808,0.7239629421844328,0.6386563218279497,0.451161615628464,0.18985440915466958,0.021067464811642355,0.0006188118811881188,889,1,5297,0.35000000000000003,32373.944636416003,3586.9536961141566
platt,5352.599999999999,598.240320652174,0.8468944685671135,real,26506.544636416,2931.176081983722,0.6536373507057546,gate_tiny_yolo11n,0.784827865210854,0.7747884342365489,0.5077715232745087,0.7642978329008475,0.7520321096338775,0.7149596119067443,0.6305101460177336,0.444721802098636,0.18988009177509993,0.02107852708355727,0.0006188118811881188,811,1,5297,0.4,31859.144636416,3529.416402635896
platt,4923.599999999999,550.2925760869566,0.8591655654143855,real,26506.544636416,2931.176081983722,0.6188925081433225,gate_tiny_yolo11n,0.7656340304983363,0.7645692098979603,0.5000279398164601,0.7541826215156321,0.7419380163461086,0.7052976072411833,0.6210414578549147,0.4371078516152538,0.18895114393545495,0.02089739325315569,0.0006600660066006601,746,1,5297,0.45,31430.144636416,3481.4686580706784
platt,4580.4,511.93438043478267,0.8689824428922032,real,26506.544636416,2931.176081983722,0.5906623235613464,gate_tiny_yolo11n,0.765406875700369,0.755382992050271,0.49672298690154204,0.7450186407984429,0.733028367936287,0.7050315884215325,0.6209646147517272,0.43706402109121123,0.18498121284657687,0.01969148941240095,0.0006600660066006601,694,1,5297,0.5,31086.944636416003,3443.1104624185045
platt,4177.8,466.9372663043479,0.8804983953181046,real,26506.544636416,2931.176081983722,0.5570032573289903,gate_tiny_yolo11n,0.7559260604930262,0.7549064594337089,0.49385096462160316,0.7445528043323089,0.7323905103277659,0.6960921440655835,0.6126252899983122,0.4366945187525392,0.1849463401172996,0.019715452688886356,0.0006600660066006601,633,1,5297,0.55,30684.344636416,3398.1133482880696
platt,3821.3999999999996,427.1037554347826,0.8906928450066075,real,26506.544636416,2931.176081983722,0.5222584147665581,gate_tiny_yolo11n,0.7555333612972522,0.7455966988611106,0.4903045727978258,0.7352891326870796,0.7233457360685106,0.6955917770225547,0.6123030694231641,0.42998157228298084,0.18497831319585087,0.019766001133152442,0.0006600660066006601,579,1,5297,0.6000000000000001,30327.944636416003,3358.2798374185045
platt,3432.0,383.58195652173913,0.9018312252218237,real,26506.544636416,2931.176081983722,0.48534201954397393,gate_tiny_yolo11n,0.7365270552015906,0.7356150493350099,0.48271533355518575,0.7254651427166242,0.7135548422919841,0.6775510989286011,0.6035201864602406,0.4296338975135965,0.18485008845286244,0.01977590864474731,0.0006600660066006601,520,1,5297,0.65,29938.544636416,3314.7580385054607
platt,3069.0,343.01078804347827,0.9122144610156693,real,26506.544636416,2931.176081983722,0.44408251900108575,gate_tiny_yolo11n,0.7268433932786139,0.7259667986170286,0.4766361562132748,0.7158108402818614,0.7039922652003484,0.6767093487425596,0.5945793953359002,0.4221091419414375,0.18009428837801317,0.01959602435038427,0.0006600660066006601,465,1,5297,0.7000000000000001,29575.544636416,3274.1868700272003
platt,2778.6,310.5538532608696,0.9205210496507457,real,26506.544636416,2931.176081983722,0.40825190010857765,gate_tiny_yolo11n,0.7265458306842268,0.716666553129038,0.4729357286263302,0.7064626759321417,0.6947809846037594,0.6679247622795792,0.5943740500287734,0.4221958790031719,0.18013094043376268,0.0196155441622487,0.0006600660066006601,421,1,5297,0.75,29285.144636416,3241.7299352445916
platt,2362.7999999999997,264.0814239130435,0.9324145742873324,real,26506.544636416,2931.176081983722,0.3572204125950054,gate_tiny_yolo11n,0.7074326140983342,0.7066946029155089,0.4659434573852274,0.6966019755113987,0.6850224099650485,0.6584318478731495,0.5861226586235522,0.4159540095462193,0.18261684253476584,0.019850399205796166,0.0007072135785007071,358,1,5297,0.8,28869.344636416,3195.2575058967655
platt,1993.1999999999998,222.77259782608698,0.9429865961865207,real,26506.544636416,2931.176081983722,0.30618892508143325,gate_tiny_yolo11n,0.6976248991763416,0.6968601752520772,0.45959545317434597,0.6868474473076254,0.6754624037052828,0.6494393430395915,0.5776489387146346,0.40919018355896947,0.18271022951068758,0.01975837022412386,0.0004125412541254125,302,1,5297,0.8500000000000001,28499.744636416002,3153.9486798098087
platt,1557.6,174.08719565217393,0.9554464791391354,real,26506.544636416,2931.176081983722,0.24321389793702497,gate_tiny_yolo11n,0.6685260174974584,0.6680865377685177,0.4445211957791094,0.6580808942761063,0.6559506536548143,0.6307922472947257,0.5612308734113707,0.40286082793701283,0.17940472241542263,0.019866642281539823,0.0004125412541254125,236,1,5297,0.9,28064.144636416,3105.263277635896
