calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
temperature,34960.2,3907.3723532608697,0.0,real,26506.544636416,2931.176081983722,1.0,gate_tiny_yolo11n,0.8328840612871639,0.8225463656604282,0.5373501616109919,0.8117127538426869,0.7986068579081952,0.7602987459380792,0.6653631467109524,0.46557014813096576,0.19421088455631433,0.021208542064132654,0.0011001100110011,5297,1,5297,0.0,61466.744636416,6838.548435244591
temperature,17285.399999999998,1931.9252771739132,0.505569190107608,real,26506.544636416,2931.176081983722,0.9587404994571118,gate_tiny_yolo11n,0.8325668320673771,0.8222201486389655,0.5354115021917701,0.8113813059473607,0.7898531649751132,0.7518611848544785,0.6648806514880418,0.464987263164933,0.19408038801984673,0.02118397275058398,0.0011001100110011,2619,1,5297,0.05,43791.944636415996,4863.101359157635
temperature,12421.199999999999,1388.2716195652174,0.6447045497451387,real,26506.544636416,2931.176081983722,0.9087947882736156,gate_tiny_yolo11n,0.8232338020659016,0.812936797477672,0.5311312983658649,0.8022463462993035,0.7892832887282001,0.7512033208810758,0.6565542528364537,0.45882580120787836,0.19464342279386937,0.02128584135729302,0.0011001100110011,1882,1,5297,0.1,38927.744636416,4319.447701548939
temperature,9517.199999999999,1063.7022717391305,0.7277704360959034,real,26506.544636416,2931.176081983722,0.8425624321389794,gate_tiny_yolo11n,0.8228609872437005,0.8125939808372451,0.5291739761184046,0.8018584104530013,0.7804223076354952,0.7426118982605121,0.6560330689078308,0.4587262716795567,0.19435413460414216,0.021178591551559753,0.0011001100110011,1442,1,5297,0.15000000000000002,36023.744636416,3994.8783537228524
temperature,7616.4,851.2568804347827,0.7821408344345856,real,26506.544636416,2931.176081983722,0.7806731813246471,gate_tiny_yolo11n,0.8137980468133488,0.8035728790605567,0.5263913629341095,0.7929586586586448,0.7802310146956095,0.7424167743820335,0.6556668619855877,0.45864286748672645,0.19432485580303863,0.021201560444547213,0.0011001100110011,1154,1,5297,0.2,34122.944636416,3782.4329624185048
temperature,6441.599999999999,719.9538260869566,0.8157447611855767,real,26506.544636416,2931.176081983722,0.7307274701411509,gate_tiny_yolo11n,0.8043941943322459,0.7941977790869112,0.5203321564068382,0.7836287533598355,0.7711722423617885,0.7335624106879086,0.6477601458578202,0.45210344591728086,0.19419171688961478,0.02121076556397511,0.0011001100110011,976,1,5297,0.25,32948.144636416,3651.1299080706785
temperature,5841.0,652.8269836956522,0.8329242967717576,real,26506.544636416,2931.176081983722,0.6883821932681867,gate_tiny_yolo11n,0.7944447337217979,0.784285652788692,0.5139058389282674,0.7737272490897829,0.7612875161655372,0.7239586056496545,0.6386690582422553,0.45114985749467573,0.1898490167091952,0.021067887539895126,0.0006188118811881188,885,1,5297,0.30000000000000004,32347.544636416,3584.0030656793742
temperature,5227.2,584.2248260869566,0.8504814045686238,real,26506.544636416,2931.176081983722,0.6427795874049945,gate_tiny_yolo11n,0.7752982269164325,0.7742244652324349,0.5055872537915481,0.7637525246314224,0.7427100976563753,0.7144811362316497,0.6299140262496424,0.4440170706880917,0.189796608577481,0.021059569850762787,0.0006188118811881188,792,1,5297,0.35000000000000003,31733.744636416002,3515.4009080706783
temperature,4765.2,532.5887934782609,0.863696431942609,real,26506.544636416,2931.176081983722,0.6026058631921825,gate_tiny_yolo11n,0.7655352656311314,0.7554958318350875,0.49816086958041683,0.7539936422601037,0.7331163254375196,0.7051560105413145,0.6209960114036424,0.4370458682284328,0.18876863791484597,0.02084103654549019,0.0006600660066006601,722,1,5297,0.4,31271.744636416002,3463.7648754619827
temperature,4362.599999999999,487.59167934782613,0.8752123843685105,real,26506.544636416,2931.176081983722,0.5722041259500543,gate_tiny_yolo11n,0.7651928179882542,0.7552090623486353,0.4957896995848077,0.7448738113607608,0.7328253558554947,0.6963700736748718,0.6209083213053717,0.4371031335889246,0.18505625095039285,0.01969810276877015,0.0006600660066006601,661,1,5297,0.45,30869.144636416,3418.767761331548
temperature,4006.2,447.7581684782609,0.8854068340570134,real,26506.544636416,2931.176081983722,0.5374592833876222,gate_tiny_yolo11n,0.7556764434361934,0.7456795617922015,0.4910004962755418,0.7353506796988839,0.7234380853368405,0.6957608148249078,0.6124106595136495,0.4364327862328554,0.18489238255896634,0.019703483354319404,0.0006600660066006601,607,1,5297,0.5,30512.744636416002,3378.9342504619826
temperature,3564.0,398.3351086956522,0.8980555031149707,real,26506.544636416,2931.176081983722,0.498371335504886,gate_tiny_yolo11n,0.7460211615229533,0.7360558008321295,0.48475160015807983,0.725778910825063,0.7139527655297125,0.6866319009320616,0.6037921039710213,0.4299108791905601,0.18493388271074276,0.019778530059952552,0.0006600660066006601,540,1,5297,0.55,30070.544636416,3329.511190679374
temperature,3214.2,359.23925543478265,0.908061166698131,real,26506.544636416,2931.176081983722,0.4592833876221498,gate_tiny_yolo11n,0.736306179905662,0.7263887341867806,0.47986345308333644,0.7161455540352506,0.7043994236454609,0.6774041573346478,0.6032467600282996,0.4294788350956693,0.18484142441716564,0.01976339617782796,0.0006600660066006601,487,1,5297,0.6000000000000001,29720.744636416002,3290.4153374185044
temperature,2871.0,320.8810597826087,0.9178780441759486,real,26506.544636416,2931.176081983722,0.4191096634093377,gate_tiny_yolo11n,0.7266841484354909,0.7167254306713935,0.4747702009162255,0.7155423198579914,0.7036661357630182,0.6679990521616695,0.5944337187489808,0.4222432814754457,0.1801343402815292,0.01961351576013482,0.0006600660066006601,435,1,5297,0.65,29377.544636416,3252.0571417663305
temperature,2574.0,287.68646739130435,0.9263734189163677,real,26506.544636416,2931.176081983722,0.38653637350705755,gate_tiny_yolo11n,0.7169098040945816,0.7070359042859576,0.46701719701045113,0.6968789403905253,0.6852837009448044,0.6586434289947859,0.5863190043615683,0.4160686610602185,0.18248330357658726,0.019842008816981258,0.0007072135785007071,390,1,5297,0.7000000000000001,29080.544636416,3218.862549375026
temperature,2164.7999999999997,241.95169565217392,0.9380781574476118,real,26506.544636416,2931.176081983722,0.3279044516829533,gate_tiny_yolo11n,0.707263330346141,0.6973695037109895,0.4632683775343033,0.696290515528347,0.6846680859540396,0.6495040369292133,0.5779453542497202,0.41624047638248457,0.18281689900135875,0.019878359662237746,0.0007072135785007071,328,1,5297,0.75,28671.344636416,3173.1277776358957
temperature,1881.0,210.23241847826088,0.9461959599773456,real,26506.544636416,2931.176081983722,0.2888165038002172,gate_tiny_yolo11n,0.6880324097938325,0.6874267960080517,0.4536941109105698,0.6774006318712524,0.6661202982597029,0.6403828365943173,0.5694027457621824,0.4092360516450453,0.17877284877771146,0.01975394913947722,0.0004125412541254125,285,1,5297,0.8,28387.544636416,3141.408500461983
temperature,1551.0,173.34953804347828,0.955635265244478,real,26506.544636416,2931.176081983722,0.24321389793702497,gate_tiny_yolo11n,0.6685260174974584,0.6680865377685177,0.4445211957791094,0.6580808942761063,0.6559506536548143,0.6307922472947257,0.5612308734113707,0.40286082793701283,0.17940472241542263,0.019866642281539823,0.0004125412541254125,235,1,5297,0.8500000000000001,28057.544636416,3104.5256200272
temperature,1201.2,134.2536847826087,0.9656409288276383,real,26506.544636416,2931.176081983722,0.19001085776330076,gate_tiny_yolo11n,0.6393009800619428,0.6294814248666984,0.4220671127642065,0.6288819063199711,0.6177912277090891,0.6016976464327621,0.533225302568523,0.3847405355554467,0.1668305514043489,0.01827150771878299,0.0004500450045004501,182,1,5297,0.9,27707.744636416002,3065.4297667663304
temperature,864.5999999999999,96.63314673913044,0.9752690202001133,real,26506.544636416,2931.176081983722,0.13680781758957655,gate_tiny_yolo11n,0.609933871807248,0.6001565955285671,0.40334926787660147,0.5995763212131031,0.5887927233213516,0.573105642787357,0.5148363741456913,0.3685382764059246,0.16030957155314793,0.017722197261570875,0.0005211047420531526,131,1,5297,0.9500000000000001,27371.144636416,3027.8092287228524
temperature,0.0,0.0,1.0,real,26506.544636416,2931.176081983722,0.0,gate_tiny_yolo11n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,1.0,26506.544636416,2931.176081983722
