calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
temperature,975543.2197816321,0.0,0.0,real,2971.04238144,0.0,1.0,gate_mbv3large_p50,0.8627724665182165,0.852638549828743,0.5609157955142103,0.8325641840529595,0.8200519096106467,0.7830957967807511,0.6918115460141395,0.516532416859547,0.22372824956946977,0.025632802904329434,0.00033003300330033004,5297,1,5297,0.0,978514.2621630721,0.0
temperature,332793.392136192,0.0,0.6588635076458373,real,2971.04238144,0.0,0.9609120521172638,gate_mbv3large_p50,0.8537769188411712,0.8526003974417877,0.5593591502660458,0.8325241404368455,0.8199756279483754,0.7830560482681552,0.6917620045276589,0.5102363923421463,0.22369830201264088,0.025631637838376235,0.00033003300330033004,1807,1,5297,0.05,335764.434517632,0.0
temperature,283436.098781184,0.0,0.7094581838776666,real,2971.04238144,0.0,0.9315960912052117,gate_mbv3large_p50,0.853697914149981,0.8436301006316781,0.5584419102328954,0.8324693086345141,0.8198973689607678,0.7830100693589842,0.6917798933367699,0.5102606488202959,0.22371190805966454,0.025631857372998192,0.00033003300330033004,1539,1,5297,0.1,286407.141162624,0.0
temperature,246233.959759872,0.0,0.7475929771568812,real,2971.04238144,0.0,0.9153094462540716,gate_mbv3large_p50,0.8536518953673202,0.8435712951126824,0.5584253071820148,0.8324167713884965,0.8198552161023362,0.7829865944287279,0.6918077071770685,0.510282915456283,0.22371909041725832,0.0256315533666741,0.00033003300330033004,1337,1,5297,0.15000000000000002,249205.002141312,0.0
temperature,222660.327112704,0.0,0.77175759864074,real,2971.04238144,0.0,0.8968512486427795,gate_mbv3large_p50,0.8536089956398063,0.8435266528672917,0.557544710476542,0.8323690242894912,0.8112350899373855,0.7829213914030397,0.6917783059882646,0.5102889435899045,0.2237539946826848,0.02563467336425101,0.00033003300330033004,1209,1,5297,0.2,225631.369494144,0.0
temperature,206637.623672832,0.0,0.7881819898055503,real,2971.04238144,0.0,0.8718783930510315,gate_mbv3large_p50,0.8535454214389618,0.8434798577042665,0.5566662532141989,0.832299783097837,0.8111668897120563,0.7745312027150408,0.691718427952391,0.5102549220449404,0.22372596025675073,0.025610034216443173,0.00033003300330033004,1122,1,5297,0.25,209608.666054272,0.0
temperature,192824.948293632,0.0,0.8023409477062489,real,2971.04238144,0.0,0.8555917480998915,gate_mbv3large_p50,0.8534553656262038,0.8434171319770989,0.5566070823492119,0.83220341578646,0.8111087705005962,0.7744662503352524,0.6916132667039555,0.5102129600189693,0.2236543437912424,0.02560928574903966,0.00033003300330033004,1047,1,5297,0.30000000000000004,195795.990675072,0.0
temperature,179012.272914432,0.0,0.8164999056069473,real,2971.04238144,0.0,0.8262757871878393,gate_mbv3large_p50,0.8532931890487134,0.8432352864980883,0.5564984991337929,0.8320400570264621,0.8109782377348513,0.7743570040082094,0.6914952351879599,0.5100819302775711,0.2235778329024467,0.025596185650325783,0.00033003300330033004,972,1,5297,0.35000000000000003,181983.315295872,0.0
temperature,167962.132611072,0.0,0.8278270719275062,real,2971.04238144,0.0,0.8034744842562432,gate_mbv3large_p50,0.8441406889592129,0.8341618688552489,0.5537067863179234,0.8231307649735433,0.8107892262363152,0.7741799387949141,0.6913184574262525,0.5099996273087088,0.2234163455640767,0.0256009120576605,0.00033003300330033004,912,1,5297,0.4,170933.174992512,0.0
temperature,158753.682358272,0.0,0.8372663771946385,real,2971.04238144,0.0,0.7774158523344191,gate_mbv3large_p50,0.8439345962548112,0.8339748439814934,0.5515171375939665,0.8229154793334564,0.8019235858810151,0.7739481410600598,0.6834157666488466,0.5097779523826983,0.21935875412089068,0.025592223273093198,0.00033003300330033004,862,1,5297,0.45,161724.724739712,0.0
