calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
platt,975543.2197816321,0.0,0.0,real,0.0,0.0,1.0,gate_oan_ships,0.8618547544999151,0.8515190240222312,0.5610979153422951,0.8400417571847387,0.8178326127393304,0.7815269800837625,0.6946393334213361,0.5106832775967751,0.22319462149035862,0.028036627368001332,0.00165016501650165,5297,1,5297,0.0,975543.2197816321,0.0
platt,266676.719321088,0.0,0.7266377194638475,real,0.0,0.0,0.9695982627578719,gate_oan_ships,0.8618564176887872,0.8515173111638635,0.5610985715668427,0.8400422052640533,0.8178339369164012,0.7815247398212526,0.6946407012510453,0.5106868593498484,0.22319675182867363,0.028036627368001332,0.00165016501650165,1448,1,5297,0.05,266676.719321088,0.0
platt,222291.989102592,0.0,0.7721351708514254,real,0.0,0.0,0.9543973941368078,gate_oan_ships,0.8618641740324878,0.8515149742218122,0.5602242444863648,0.8313163245898227,0.817831214501801,0.7815211569419132,0.6946372642505856,0.5106726572709416,0.2231976594415688,0.028036854596213526,0.00165016501650165,1207,1,5297,0.1,222291.989102592,0.0
platt,204611.76461721602,0.0,0.7902586369643194,real,0.0,0.0,0.9381107491856677,gate_oan_ships,0.8618228855829485,0.8514791224602941,0.5602084055879213,0.8312841532777769,0.8178331740737496,0.7815193665050346,0.6946106967834914,0.5106523716585835,0.2231943360158831,0.028037784504950147,0.00165016501650165,1111,1,5297,0.15000000000000002,204611.76461721602,0.0
platt,192088.27227340802,0.0,0.8030960921276193,real,0.0,0.0,0.9239956568946797,gate_oan_ships,0.8618136082831241,0.851465763693189,0.5602017671822999,0.8312846714866243,0.8178314950674676,0.7815006700642643,0.6946015954595257,0.5106381483441331,0.2231936182821966,0.028037936125972968,0.00165016501650165,1043,1,5297,0.2,192088.27227340802,0.0
platt,186747.371126784,0.0,0.8085708891825562,real,0.0,0.0,0.9163952225841476,gate_oan_ships,0.8528608046871755,0.8514514044285723,0.5592888995803896,0.8312690168018236,0.8177932496624736,0.781471147373852,0.6945674908160552,0.5106088917478622,0.22317905999580825,0.028037765273772768,0.00165016501650165,1014,1,5297,0.25,186747.371126784,0.0
platt,179196.44191948802,0.0,0.8163111195016046,real,0.0,0.0,0.9066232356134636,gate_oan_ships,0.8528588345811552,0.851439458766385,0.5585227367480714,0.8312670902377481,0.8177883523363199,0.7814613037077585,0.6869465081493591,0.5106067453899691,0.2231708813119229,0.028038027983594168,0.00165016501650165,973,1,5297,0.30000000000000004,179196.44191948802,0.0
platt,172934.69574758402,0.0,0.8227298470832547,real,0.0,0.0,0.8925081433224755,gate_oan_ships,0.8528195096382877,0.8425257720998964,0.5569867460610309,0.8312288117892865,0.8177512508782058,0.7814400094742115,0.6869287553389316,0.504328676289257,0.2231565144201626,0.02803799566556905,0.00165016501650165,939,1,5297,0.35000000000000003,172934.69574758402,0.0
platt,168698.808631296,0.0,0.8270719275061356,real,0.0,0.0,0.8838219326818675,gate_oan_ships,0.8528028824329027,0.8425124462115936,0.5569804841564419,0.8312148676707393,0.8177445577038933,0.7814294061065139,0.6869213645505188,0.5043319451084426,0.22315905950167061,0.028038147261642374,0.00165016501650165,916,1,5297,0.4,168698.808631296,0.0
platt,164462.921515008,0.0,0.8314140079290164,real,0.0,0.0,0.8740499457111836,gate_oan_ships,0.8527895368648297,0.8425016460350678,0.5569699941508175,0.8312060578655972,0.8177240575545505,0.781415845544932,0.6869076125776916,0.5043237075122429,0.22314653204125484,0.02803478049550636,0.00165016501650165,893,1,5297,0.45,164462.921515008,0.0
