calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
temperature,975543.2197816321,0.0,0.0,real,0.0,0.0,1.0,gate_oan_ships,0.8618547544999151,0.8515190240222312,0.5610979153422951,0.8400417571847387,0.8178326127393304,0.7815269800837625,0.6946393334213361,0.5106832775967751,0.22319462149035862,0.028036627368001332,0.00165016501650165,5297,1,5297,0.0,975543.2197816321,0.0
temperature,245313.114734592,0.0,0.7485369076835945,real,0.0,0.0,0.9630836047774158,gate_oan_ships,0.8618654642545672,0.8515258860379544,0.5611028475420297,0.8400501866266396,0.8178396403847273,0.781529491229345,0.6946446091085062,0.510688726313914,0.2231975276026336,0.028036778845507825,0.00165016501650165,1332,1,5297,0.05,245313.114734592,0.0
temperature,191351.596253184,0.0,0.80385123654899,real,0.0,0.0,0.9229098805646037,gate_oan_ships,0.8618140114628866,0.8514661663007932,0.5602019503215038,0.8312846714866243,0.8178318903369245,0.7815006700642643,0.6946019404050379,0.5106384337338358,0.2231936182821966,0.028037936125972968,0.00165016501650165,1039,1,5297,0.1,191351.596253184,0.0
temperature,172566.357737472,0.0,0.8231074192939399,real,0.0,0.0,0.8914223669923995,gate_oan_ships,0.8528190368596621,0.8425223530639203,0.5569856838391525,0.8312288117892865,0.817751927408829,0.7814322200270727,0.6869287553389316,0.504328676289257,0.22315689693249538,0.02803799566556905,0.00165016501650165,937,1,5297,0.15000000000000002,172566.357737472,0.0
temperature,160411.20340377602,0.0,0.8355673022465546,real,0.0,0.0,0.8621064060803475,gate_oan_ships,0.8527705257467003,0.842493637202229,0.5569508121677025,0.8311761479865898,0.8177120025520491,0.7813863359217735,0.6868834827888601,0.5042959113788984,0.2231083663944661,0.028031546688957396,0.00165016501650165,871,1,5297,0.2,160411.20340377602,0.0
temperature,148256.04907008001,0.0,0.8480271851991693,real,0.0,0.0,0.8197611292073833,gate_oan_ships,0.8526560884296694,0.8424128562548859,0.55561616908972,0.8310695163343144,0.8090364241783051,0.78122106037905,0.6868138789630076,0.5042543238578383,0.21905026689862103,0.027997110585006875,0.00165016501650165,805,1,5297,0.25,148256.04907008001,0.0
temperature,140520.950857728,0.0,0.8559562016235605,real,0.0,0.0,0.7861020629750272,gate_oan_ships,0.8525366731295776,0.8423059966289094,0.5547414925462346,0.8309492017526432,0.8090102645680769,0.7729049296598443,0.6867958924244639,0.5042396176163868,0.2190277183347536,0.027994466331188905,0.00165016501650165,763,1,5297,0.30000000000000004,140520.950857728,0.0
temperature,133890.866675712,0.0,0.8627525014158958,real,0.0,0.0,0.754614549402823,gate_oan_ships,0.843463048768148,0.8421996957092723,0.552885914695364,0.8220512415995308,0.808848216980024,0.772811516677877,0.6867022829420844,0.5041832475786855,0.21898714799805016,0.027962583683465964,0.00165016501650165,727,1,5297,0.35000000000000003,133890.866675712,0.0
temperature,125419.092443136,0.0,0.8714366622616575,real,0.0,0.0,0.7111834961997828,gate_oan_ships,0.8433196691213357,0.8331395065175273,0.5518886157499897,0.8219397236656907,0.8086686266119951,0.7726929360894619,0.6865399934429837,0.504059713588743,0.21894067370641077,0.027935149739247343,0.00165016501650165,681,1,5297,0.4,125419.092443136,0.0
temperature,118604.839256064,0.0,0.8784217481593355,real,0.0,0.0,0.6786102062975027,gate_oan_ships,0.8431155997829988,0.8329421667222638,0.5500147265560622,0.8217768925934704,0.7998837502408108,0.7724829149460352,0.6787266578914238,0.5039824892676368,0.21900973735046925,0.026576891749012666,0.00165016501650165,644,1,5297,0.45,118604.839256064,0.0
