epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,train/oan,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,val/oan,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,727.197,0.86754,0.6934,1.92265,0.02203,0.00306,0.9351,0.84953,0.88609,0.66402,0.59134,1.03877,0.82417,0.01836,0.00159,0.00998985,0.00332995,0.00998985,0.00332995,0.00998985,0.00332995,0.00998985,0.00332995
2,1396.87,0.92109,0.7181,1.21475,0.03012,0.00143,0.93162,0.82501,0.86101,0.65463,0.62953,1.25448,0.74495,0.01663,0.00176,0.019594,0.00653135,0.019594,0.00653135,0.019594,0.00653135,0.019594,0.00653135
3,2063.92,1.01193,0.8811,1.13984,0.03511,0.00162,0.89278,0.79527,0.84491,0.64489,0.71732,6.84944,0.74834,0.0201,0.00213,0.0288022,0.00960075,0.0288022,0.00960075,0.0288022,0.00960075,0.0288022,0.00960075
4,2724.53,1.11759,1.1388,1.18047,0.04043,0.00188,0.89874,0.76139,0.83489,0.62879,0.7032,9.28244,0.73783,0.01978,0.00205,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
5,3385.94,1.06962,1.05496,1.14071,0.03603,0.00174,0.92694,0.80197,0.85161,0.63462,0.707,3.41776,0.75441,0.02254,0.00172,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
6,4043.86,1.05916,1.02945,1.14959,0.03369,0.00164,0.92858,0.80699,0.85628,0.66099,0.67246,2.95153,0.72249,0.01953,0.00176,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
7,4703.98,1.03563,0.97242,1.13297,0.03491,0.00159,0.9354,0.82718,0.88286,0.68213,0.62425,2.39026,0.68609,0.01561,0.00165,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
8,5363.32,1.00075,0.93312,1.11323,0.03066,0.00149,0.92167,0.82448,0.87195,0.67354,0.62284,2.01881,0.67263,0.01319,0.00166,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
9,6023.62,0.99022,0.88603,1.11297,0.0287,0.00144,0.92694,0.81631,0.86907,0.67703,0.63506,2.26607,0.7058,0.01751,0.00172,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
10,6684.17,0.97382,0.84969,1.0904,0.02836,0.00144,0.93789,0.83579,0.88399,0.69133,0.59998,1.8328,0.6539,0.01559,0.00168,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
11,7347.34,0.97721,0.83254,1.09286,0.02931,0.00141,0.93893,0.83696,0.88355,0.69653,0.58171,1.52519,0.64856,0.01284,0.00163,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
12,8003.11,0.9482,0.81521,1.0799,0.02688,0.00133,0.93639,0.83226,0.87777,0.68808,0.61053,1.54604,0.66926,0.01205,0.00181,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
13,8658.5,0.96024,0.81992,1.08442,0.02878,0.0013,0.94198,0.83755,0.88662,0.70286,0.60695,1.41356,0.66709,0.01365,0.00179,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
14,9315.76,0.94624,0.79143,1.07766,0.02669,0.00125,0.93744,0.84438,0.88858,0.6956,0.57977,1.63413,0.65118,0.01196,0.00171,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
