calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
platt,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,codesign_planes_shared,0.9151257181537812,0.9042543076046732,0.6147767152440035,0.8824829661262232,0.8495621415969103,0.8022978286195456,0.7266642488263374,0.5877931411437782,0.36292315389451707,0.11358925181370712,0.003074394660561391,5297,1,5297,0.0,1000011.6890030081,110735.14701721433
platt,965762.2860922881,107925.24317651987,0.00925051916178965,real,25232.186443776005,1802.2176906088134,1.0,codesign_planes_shared,0.9151257181537812,0.9042543076046732,0.6147767152440035,0.8824829661262232,0.8495621415969103,0.8022978286195456,0.7266642488263374,0.5877931411437782,0.36292315389451707,0.11358925181370712,0.003074394660561391,5248,1,5297,0.05,990994.4725360641,109727.46086712868
platt,772904.2685952,86373.09857876971,0.20709835756088357,real,25232.186443776005,1802.2176906088134,0.9723837209302325,codesign_planes_shared,0.9054754120177692,0.8946880834071201,0.6102697687867997,0.8732877332985081,0.8404606365763957,0.7939805551398668,0.7268283579097495,0.5880358066345255,0.36316100279089886,0.1137057054326016,0.003074394660561391,4200,1,5297,0.1,798136.455038976,88175.31626937853
platt,258554.88032768,28893.857976945583,0.7347555219935813,real,25232.186443776005,1802.2176906088134,0.20494186046511628,codesign_planes_shared,0.2548357525404538,0.2457011449229427,0.17454539446486383,0.2450672751736687,0.23467079621259243,0.2228230746332291,0.19898613815820676,0.1645522298751621,0.12622844689127585,0.051065856995105484,0.0015232292460015233,1405,1,5297,0.15000000000000002,283787.066771456,30696.075667554396
platt,34780.692086784,3886.789436044637,0.9643194260902398,real,25232.186443776005,1802.2176906088134,0.00436046511627907,codesign_planes_shared,0.009900990099009901,0.009900990099009901,0.007425742574257427,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.0049504950495049506,0.0,0.0,189,1,5297,0.2,60012.87853056,5689.0071266534505
platt,5336.719949824001,596.3856806629337,0.9945252029450632,real,25232.186443776005,1802.2176906088134,0.0029069767441860465,codesign_planes_shared,0.009900990099009901,0.009900990099009901,0.007920792079207921,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.0,0.0,29,1,5297,0.25,30568.906393600006,2398.603371271747
platt,368.049651712,41.13004694227129,0.9996224277893148,real,25232.186443776005,1802.2176906088134,0.0,codesign_planes_shared,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,5297,0.30000000000000004,25600.236095488006,1843.3477375510847
platt,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_planes_shared,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.35000000000000003,25232.186443776005,1802.2176906088134
platt,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_planes_shared,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.4,25232.186443776005,1802.2176906088134
platt,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_planes_shared,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.45,25232.186443776005,1802.2176906088134
