calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
temperature,974779.5025592321,108932.92932660552,0.0,real,5319.691839488,2873.319636841188,1.0,gate_planes_effb0,0.9151257181537812,0.9042543353094928,0.6147770374902469,0.8824830057045369,0.8495621943679953,0.8022978286195456,0.7266678294128557,0.5877926629654754,0.36292315389451707,0.11358925181370712,0.003074394660561391,5297,1,5297,0.0,980099.19439872,111806.2489634467
temperature,273828.940873728,30600.75492504984,0.7190862752501416,real,5319.691839488,2873.319636841188,0.9563953488372093,gate_planes_effb0,0.8861353488189148,0.8753870678078889,0.6004896255482544,0.8539598693293904,0.8217550075603572,0.7854104271576047,0.7135120658828435,0.5851064625366508,0.3662695024605284,0.11428448770132234,0.0030760162270417834,1488,1,5297,0.05,279148.632713216,33474.07456189103
temperature,215861.120729088,24122.772531642113,0.7785538984330753,real,5319.691839488,2873.319636841188,0.9476744186046512,gate_planes_effb0,0.8861122018094288,0.8753967580226678,0.5996839138710901,0.8539420641225021,0.8217807263890365,0.7773166111428581,0.7135842936943075,0.5851018425302844,0.36621649106575177,0.1143121337070222,0.0030760162270417834,1173,1,5297,0.1,221180.812568576,26996.0921684833
temperature,191201.794064384,21367.059386509936,0.80385123654899,real,5319.691839488,2873.319636841188,0.9418604651162791,gate_planes_effb0,0.8768668511409834,0.8662109551695147,0.5968474158944193,0.8449414942967449,0.8214575258588958,0.7770138898377632,0.7134550396277098,0.5848485200063731,0.36624628226426065,0.11435758451490469,0.0030760162270417834,1039,1,5297,0.15000000000000002,196521.485903872,24240.379023351124
temperature,170406.98874265602,19043.21173427161,0.825184066452709,real,5319.691839488,2873.319636841188,0.9244186046511628,gate_planes_effb0,0.8666617861672742,0.8559956113510648,0.5886150593038271,0.8347589675368995,0.8026686757185869,0.7670345319062188,0.7039482728917849,0.5767064107782679,0.3608124046397724,0.11448791582135907,0.0030760162270417834,926,1,5297,0.2,175726.680582144,21916.531371112796
temperature,160101.59849472,17891.570419888012,0.8357560883518973,real,5319.691839488,2873.319636841188,0.9113372093023255,gate_planes_effb0,0.8568229794647828,0.8462057093197211,0.5827825745148498,0.824967964453751,0.8013620781347295,0.757517408530431,0.694698787834803,0.5683390331460216,0.36027162708972144,0.11456414094749422,0.0030760162270417834,870,1,5297,0.25,165421.290334208,20764.8900567292
temperature,152372.555808768,17027.839434100315,0.8436851047762884,real,5319.691839488,2873.319636841188,0.9026162790697675,gate_planes_effb0,0.8568410405813005,0.8462086873521892,0.5819879071989009,0.8249329351246871,0.7928854493880494,0.7574287028219119,0.6949982412532697,0.5685752251444334,0.3603486028596744,0.11458417123645057,0.0030760162270417834,828,1,5297,0.30000000000000004,157692.247648256,19901.159070941503
temperature,143539.36416768,16040.718307485804,0.8527468378327355,real,5319.691839488,2873.319636841188,0.8938953488372093,gate_planes_effb0,0.8472786334784704,0.8366936712563247,0.5781485567793285,0.8155239669956784,0.7922234464548524,0.7485637571495761,0.6946277974183449,0.5685650909810911,0.360321014727779,0.11461217310412618,0.0030760162270417834,780,1,5297,0.35000000000000003,148859.056007168,18914.037944326992
temperature,137650.56974028802,15382.637556409463,0.8587879932037001,real,5319.691839488,2873.319636841188,0.8866279069767442,gate_planes_effb0,0.8373417817097671,0.8267685757558814,0.5723567050031888,0.8056054080459151,0.7826894762532011,0.747703392214393,0.6869455951617994,0.5623197859753889,0.35613506470091333,0.11498195398758596,0.0030760162270417834,748,1,5297,0.4,142970.261579776,18255.95719325065
temperature,132313.849790464,14786.25187574653,0.864262790258637,real,5319.691839488,2873.319636841188,0.877906976744186,gate_planes_effb0,0.8369331842981481,0.826353176017005,0.5705479598712963,0.8051835750384108,0.7737811499109788,0.7393784734665712,0.6869514314277635,0.5625806387314923,0.35624313759820264,0.11499881599734868,0.0030760162270417834,719,1,5297,0.45,137633.541629952,17659.571512587718
