calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
identity,974779.5025592321,108932.92932660552,0.0,real,2971.0423814400006,1695.2160883956822,1.0,gate_planes_mbv3large,0.9151257181537812,0.9042543076046732,0.6147767152440035,0.8824829661262232,0.8495621415969103,0.8022978286195456,0.7266642488263374,0.5877931411437782,0.36292315389451707,0.11358925181370712,0.003074394660561391,5297,1,5297,0.0,977750.5449406721,110628.1454150012
identity,136362.395959296,15238.682392111514,0.8601094959410988,real,2971.0423814400006,1695.2160883956822,0.9156976744186046,gate_planes_mbv3large,0.8861184374395362,0.8754432236536237,0.5989770948605698,0.8540178853143868,0.821988269849111,0.7768647414421256,0.7116011387963413,0.5822203237074809,0.36432177776757346,0.11412075597495754,0.003074394660561391,741,1,5297,0.05,139333.438340736,16933.898480507196
identity,129737.50222848,14498.34154715063,0.8669057957334341,real,2971.0423814400006,1695.2160883956822,0.8997093023255814,gate_planes_mbv3large,0.8670870833311451,0.8565077249531359,0.5890400527522246,0.8352761025427622,0.8120391334375229,0.7671639365692088,0.7022620509012971,0.5737500274416615,0.35903666821513774,0.11420340546981256,0.003074394660561391,705,1,5297,0.1,132708.54460992,16193.557635546313
identity,125320.90640793601,14004.780983843375,0.8714366622616575,real,2971.0423814400006,1695.2160883956822,0.8851744186046512,gate_planes_mbv3large,0.8670023471738776,0.8564740839536004,0.5890143416482883,0.8352363345439122,0.8119354675426516,0.7671239487039005,0.7022592961771635,0.5735786737757731,0.3592190679760261,0.1142398019754162,0.003074394660561391,681,1,5297,0.15000000000000002,128291.94878937601,15699.997072239057
identity,123112.608497664,13758.000702189747,0.8737020955257693,real,2971.0423814400006,1695.2160883956822,0.876453488372093,gate_planes_mbv3large,0.8374641724834297,0.8269119275314827,0.5678543323275467,0.8057336412091977,0.7823957412537577,0.7460050859028196,0.6737055077244443,0.5469068211783741,0.34558585006526266,0.11075529970465306,0.003079276222045693,669,1,5297,0.2,126083.650879104,15453.21679058543
identity,121088.335413248,13531.785444007255,0.8757787426845385,real,2971.0423814400006,1695.2160883956822,0.872093023255814,gate_planes_mbv3large,0.8371760750414368,0.8266416097608282,0.5668658945242515,0.8054272983647379,0.7818569535146869,0.7377041373360793,0.6734238493750411,0.5469156751987876,0.34567063188578756,0.1107634385430841,0.003079276222045693,658,1,5297,0.25,124059.377794688,15227.001532402937
identity,119800.161632256,13387.830279709306,0.877100245421937,real,2971.0423814400006,1695.2160883956822,0.8691860465116279,gate_planes_mbv3large,0.837099508738991,0.8265518672748473,0.5659928843691009,0.8053379826945599,0.7734057418584437,0.7376865344281135,0.6734100773986673,0.5469237846464692,0.34567063188578756,0.1107634385430841,0.003079276222045693,651,1,5297,0.30000000000000004,122771.204013696,15083.046368104988
identity,117223.814070272,13099.919951113407,0.879743250896734,real,2971.0423814400006,1695.2160883956822,0.8648255813953488,gate_planes_mbv3large,0.8278062361485077,0.8262315588501179,0.5648303584626656,0.804977114924296,0.7731259409423954,0.7372702868530855,0.6729881841842338,0.5465301540362831,0.345523670900446,0.11077116156524477,0.003079276222045693,637,1,5297,0.35000000000000003,120194.856451712,14795.136039509089
identity,115751.61546342401,12935.399763344321,0.8812535397394752,real,2971.0423814400006,1695.2160883956822,0.8604651162790697,gate_planes_mbv3large,0.827754869510806,0.8172956424048431,0.5639043889605944,0.8049175415408707,0.7730842574476047,0.7372592614037143,0.6729534775592737,0.5464524296283421,0.3454694459146899,0.11077768797375358,0.003079276222045693,629,1,5297,0.4,118722.657844864,14630.615851740004
identity,115567.590637568,12914.834739873186,0.8814423258448179,real,2971.0423814400006,1695.2160883956822,0.8590116279069767,gate_planes_mbv3large,0.827761177583489,0.8172705156901332,0.5630402528475111,0.7961458692923952,0.7730559627093067,0.7372344858031078,0.6730720104280599,0.5464963851739567,0.3455050862333185,0.11078175933929889,0.003079276222045693,628,1,5297,0.45,118538.633019008,14610.050828268868
