calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
temperature,974779.5025592321,108932.92932660552,0.0,real,2971.0423814400006,1695.2160883956822,1.0,gate_planes_mbv3large,0.9151257181537812,0.9042543076046732,0.6147767152440035,0.8824829661262232,0.8495621415969103,0.8022978286195456,0.7266642488263374,0.5877931411437782,0.36292315389451707,0.11358925181370712,0.003074394660561391,5297,1,5297,0.0,977750.5449406721,110628.1454150012
temperature,201323.15948646402,22498.135677422397,0.7934680007551445,real,2971.0423814400006,1695.2160883956822,0.9593023255813954,gate_planes_mbv3large,0.9054601916149954,0.8947321425629146,0.6089099529533387,0.8730214192679262,0.8402405180736985,0.7944528811873366,0.7194538634089392,0.5814833971156033,0.3634749968426951,0.11370572479871699,0.003074394660561391,1094,1,5297,0.05,204294.20186790402,24193.35176581808
temperature,172431.261827072,19269.4269924541,0.8231074192939399,real,2971.0423814400006,1695.2160883956822,0.9505813953488372,gate_planes_mbv3large,0.8964478837039987,0.8858076328283879,0.606229561750019,0.864339558796464,0.8401632110597758,0.7943809189952248,0.719439276844564,0.5814964619337066,0.36343277726525197,0.11371350141225371,0.003074394660561391,937,1,5297,0.1,175402.304208512,20964.643080849783
temperature,156973.176455168,17541.965020878706,0.8389654521427223,real,2971.0423814400006,1695.2160883956822,0.936046511627907,gate_planes_mbv3large,0.8863980972453177,0.8757264942975287,0.5998659259939554,0.8543109053933678,0.8220742764259816,0.7852530077810944,0.7116712516747077,0.5819368909469338,0.36412418873458535,0.11408975277947639,0.003074394660561391,853,1,5297,0.15000000000000002,159944.218836608,19237.18110927439
temperature,145011.562774528,16205.23849525489,0.8512365489899943,real,2971.0423814400006,1695.2160883956822,0.9302325581395349,gate_planes_mbv3large,0.8863916630296724,0.8757163711187596,0.5998837567725046,0.8542550635378944,0.8220417258970614,0.7851786408657891,0.7115752903712451,0.5822120380242704,0.36427394114200945,0.1141184390777822,0.003074394660561391,788,1,5297,0.2,147982.605155968,17900.45458365057
temperature,137098.49526272,15320.942485996056,0.8593543515197282,real,2971.0423814400006,1695.2160883956822,0.9200581395348837,gate_planes_mbv3large,0.8861835286614841,0.8754838399728041,0.5997922545951615,0.8540617649656592,0.8219642746424044,0.7849415454218065,0.7116143012911766,0.5821764819812613,0.3643032612632559,0.11411915309120034,0.003074394660561391,745,1,5297,0.25,140069.53764416,17016.15857439174
temperature,130473.601531904,14580.601641035173,0.8661506513120634,real,2971.0423814400006,1695.2160883956822,0.8997093023255814,gate_planes_mbv3large,0.8670811771048601,0.8565038700737506,0.589037831013018,0.8352722305610241,0.8120354496372693,0.7671621226210702,0.7022603620970321,0.5737486296896608,0.35903666821513774,0.11420340546981256,0.003074394660561391,709,1,5297,0.30000000000000004,133444.643913344,16275.817729430855
temperature,124952.856756224,13963.650936901104,0.8718142344723429,real,2971.0423814400006,1695.2160883956822,0.8837209302325582,gate_planes_mbv3large,0.8571897642713731,0.8466450902163427,0.5823126046764711,0.8254354833804035,0.8021781757839849,0.7574831238547362,0.6929806156249775,0.5653782848392843,0.3584758455071254,0.11428526862592095,0.003074394660561391,679,1,5297,0.35000000000000003,127923.899137664,15658.867025296786
temperature,121088.335413248,13531.785444007255,0.8757787426845385,real,2971.0423814400006,1695.2160883956822,0.872093023255814,gate_planes_mbv3large,0.8371760750414368,0.8266416097608282,0.5668658945242515,0.8054272983647379,0.7818569535146869,0.7377041373360793,0.6734238493750411,0.5469156751987876,0.34567063188578756,0.1107634385430841,0.003079276222045693,658,1,5297,0.4,124059.377794688,15227.001532402937
temperature,116855.76441856001,13058.789904171135,0.8801208231074193,real,2971.0423814400006,1695.2160883956822,0.8633720930232558,gate_planes_mbv3large,0.8277848825076678,0.8173090204713909,0.5639383020679469,0.8049653017058398,0.7731172683445642,0.737289817383541,0.6730023199270274,0.546538873409226,0.3455250991429217,0.11077116156524477,0.003079276222045693,635,1,5297,0.45,119826.8068,14754.005992566817
temperature,115383.565811712,12894.26971640205,0.8816311119501605,real,2971.0423814400006,1695.2160883956822,0.8575581395348837,gate_planes_mbv3large,0.8277539185403449,0.81728107664307,0.5630654274846256,0.7961296097025082,0.7730143852222752,0.7371993609002997,0.6732140305223373,0.5466272994798979,0.3455633303643773,0.11079198724909974,0.003079276222045693,627,1,5297,0.5,118354.608193152,14589.485804797732
temperature,113543.31755315201,12688.619481690694,0.883518973003587,real,2971.0423814400006,1695.2160883956822,0.8502906976744186,gate_planes_mbv3large,0.8276197453443237,0.8171222041026265,0.5629765606930471,0.7959872593705517,0.7728216067111774,0.7369268099068198,0.6730812052428318,0.5466027195190786,0.3457111689507167,0.11081361156029984,0.003079276222045693,617,1,5297,0.55,116514.35993459201,14383.835570086376
