calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
temperature,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,gate_planes_resnet18,0.9151257181537812,0.9042543353094928,0.6147765917688118,0.8824830057045369,0.849562145618824,0.8022976611576149,0.7266642488263374,0.5877931411437782,0.3629220152994837,0.11358925181370712,0.003074394660561391,5297,1,5297,0.0,1000011.6890030081,110735.14701721433
temperature,202427.3084416,22621.52581824921,0.7923352841230885,real,25232.186443776005,1802.2176906088134,0.9418604651162791,gate_planes_resnet18,0.8865130550215763,0.8759123795259441,0.6007195976904403,0.8544777922989625,0.8306599556714435,0.7852535857396962,0.7115122511341279,0.5818276950895563,0.36390200516878723,0.11406286259374719,0.003074394660561391,1100,1,5297,0.05,227659.494885376,24423.743508858024
temperature,163230.02053427201,18241.175818897318,0.8325467245610723,real,25232.186443776005,1802.2176906088134,0.9273255813953488,gate_planes_resnet18,0.8864411561874923,0.8758231944507304,0.5998362326805594,0.8544276354398781,0.8221291387607705,0.7852171395007748,0.7115007114585572,0.5817709121243853,0.3639144702130386,0.11406357400940555,0.003074394660561391,887,1,5297,0.1,188462.20697804802,20043.39350950613
temperature,146667.786207232,16390.32370649511,0.8495374740419105,real,25232.186443776005,1802.2176906088134,0.9098837209302325,gate_planes_resnet18,0.8667587783912595,0.8561295175803654,0.5894117688122412,0.8348790556017087,0.8031774471150637,0.7681851759482092,0.7058681499767946,0.5790883010811405,0.3622748561679271,0.11468039003290058,0.0030760162270417834,797,1,5297,0.15000000000000002,171899.97265100802,18192.541397103923
temperature,139122.768347136,15547.157744178548,0.8572777043609591,real,25232.186443776005,1802.2176906088134,0.9040697674418605,gate_planes_resnet18,0.8666895170308214,0.8561070812416899,0.5894295866196834,0.8348494639711285,0.8031427503652926,0.7680905138810998,0.7060142251126181,0.5792788701948978,0.3623539887817261,0.11469343939051743,0.0030760162270417834,756,1,5297,0.2,164354.95479091202,17349.375434787362
temperature,132497.87461632,14806.816899217665,0.8640740041532944,real,25232.186443776005,1802.2176906088134,0.8968023255813954,gate_planes_resnet18,0.8574014134628117,0.846865769278124,0.5866173228640422,0.8257429045013702,0.8029781885641221,0.7679561329271014,0.7058704614507562,0.5792228138302552,0.3623660207213933,0.11469350767744627,0.0030760162270417834,720,1,5297,0.25,157730.06106009602,16609.03458982648
temperature,127897.25396992,14292.691312439274,0.8687936567868605,real,25232.186443776005,1802.2176906088134,0.8895348837209303,gate_planes_resnet18,0.8572660410364512,0.8467249512710016,0.5865812974110256,0.8256167438752791,0.8028252612530379,0.7679318511240666,0.7059388051513279,0.57931700895405,0.362416322445844,0.1146999727721554,0.0030760162270417834,695,1,5297,0.30000000000000004,153129.440413696,16094.909003048087
temperature,123848.707801088,13840.26079607429,0.8729469511043987,real,25232.186443776005,1802.2176906088134,0.8851744186046512,gate_planes_resnet18,0.8572028073816989,0.8467014699056777,0.5865590684152986,0.825571755462702,0.8028026524268792,0.7678960630345484,0.7059210429645505,0.5792884349919687,0.36242880566234886,0.11470163609557013,0.0030760162270417834,673,1,5297,0.35000000000000003,149080.894244864,15642.478486683103
temperature,120720.28576153601,13490.655397064984,0.8761563148952237,real,25232.186443776005,1802.2176906088134,0.877906976744186,gate_planes_resnet18,0.8571816665246652,0.8466831013879592,0.5865635153449925,0.825540105569327,0.8027566895173843,0.7678889511153911,0.705999349033654,0.5793533304300398,0.362451450463102,0.11470449318135999,0.0030760162270417834,656,1,5297,0.4,145952.47220531202,15292.873087673797
temperature,118696.01267712,13264.440138882492,0.8782329620539928,real,25232.186443776005,1802.2176906088134,0.873546511627907,gate_planes_resnet18,0.8571560448142604,0.846649255689604,0.5865452223649481,0.8255229987565581,0.8026817148883868,0.7678558372727301,0.7060010819263973,0.5793533304300398,0.362451450463102,0.11470449318135999,0.0030760162270417834,645,1,5297,0.45,143928.199120896,15066.657829491305
temperature,117039.78924441601,13079.354927642271,0.8799320370020767,real,25232.186443776005,1802.2176906088134,0.8706395348837209,gate_planes_resnet18,0.8568586530345527,0.8463826864555094,0.5846653233825185,0.8252908450014117,0.7937996019443189,0.7592055166514114,0.7057716300379219,0.5790942908319127,0.36244382197497893,0.11473017166612602,0.0030760162270417834,636,1,5297,0.5,142271.975688192,14881.572618251084
temperature,114095.39203072,12750.3145521041,0.882952614687559,real,25232.186443776005,1802.2176906088134,0.8633720930232558,gate_planes_resnet18,0.8477566643598421,0.8462930303297742,0.5837504902147168,0.8252062473237829,0.7938621711719226,0.7592428009313744,0.7057632736334355,0.5790986244250255,0.36247273472601754,0.11473333901895191,0.0030760162270417834,620,1,5297,0.55,139327.578474496,14552.532242712914
temperature,113175.26790144,12647.489434748422,0.8838965452142722,real,25232.186443776005,1802.2176906088134,0.8604651162790697,gate_planes_resnet18,0.8475728350187804,0.837107658537362,0.5817296494059405,0.8161490698682342,0.7935900451085647,0.7589719614466748,0.7050961450924315,0.578645752514266,0.3623906866207028,0.11469632362534665,0.0030760162270417834,615,1,5297,0.6000000000000001,138407.454345216,14449.707125357236
