bucket,calibration,filter_rate,gate,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_classes,n_gt_tiles,n_tiles,stratum,threshold
boundary,temperature,0.0,real,1.0,gate_planes_resnet18_temperature,0.19405940594059407,0.19405940594059407,0.09584158415841584,0.19405940594059407,0.09900990099009901,0.09900990099009901,0.0594059405940594,0.0594059405940594,0.0594059405940594,0.0,0.0,1,124,124,boundary,0.0
interior,temperature,0.0,real,1.0,gate_planes_resnet18_temperature,0.9153569662505289,0.9045229726266739,0.6151042541803153,0.8828531462836855,0.8499926594995163,0.8027320987043639,0.7270689119364311,0.5882899458626069,0.36334352040399864,0.11380792557478639,0.003074394660561391,1,5173,5173,boundary,0.0
boundary,temperature,0.9354838709677419,real,0.3333333333333333,gate_planes_resnet18_temperature,0.19405940594059407,0.19405940594059407,0.09584158415841584,0.19405940594059407,0.09900990099009901,0.09900990099009901,0.0594059405940594,0.0594059405940594,0.0594059405940594,0.0,0.0,1,124,124,boundary,0.05
interior,temperature,0.7889039242219216,real,0.9499263622974963,gate_planes_resnet18_temperature,0.886734612562625,0.8761093255026448,0.6018140743927066,0.8546823365556442,0.8310936894990547,0.7855906166523158,0.7196891977469152,0.582421187450399,0.3644711080849968,0.11427427521190896,0.003074394660561391,1,5173,5173,boundary,0.05
boundary,temperature,0.9516129032258065,real,0.3333333333333333,gate_planes_resnet18_temperature,0.19405940594059407,0.19405940594059407,0.09584158415841584,0.19405940594059407,0.09900990099009901,0.09900990099009901,0.0594059405940594,0.0594059405940594,0.0594059405940594,0.0,0.0,1,124,124,boundary,0.1
interior,temperature,0.8296926348347188,real,0.93519882179676,gate_planes_resnet18_temperature,0.886703386231547,0.8760854682175652,0.6017840459548194,0.8546260315064527,0.8310031533704417,0.785573554865641,0.7196272894669223,0.5823906914931847,0.36448149270490815,0.11427499703096887,0.003074394660561391,1,5173,5173,boundary,0.1
boundary,temperature,0.9596774193548387,real,0.3333333333333333,gate_planes_resnet18_temperature,0.19405940594059407,0.19405940594059407,0.09584158415841584,0.19405940594059407,0.09900990099009901,0.09900990099009901,0.0594059405940594,0.0594059405940594,0.0594059405940594,0.0,0.0,1,124,124,boundary,0.15000000000000002
interior,temperature,0.8468973516334816,real,0.9175257731958762,gate_planes_resnet18_temperature,0.8669866864937434,0.8563976249306352,0.5924763900332952,0.8350995522237279,0.8120987284113442,0.768503250159496,0.7139803827608956,0.5860650267709117,0.3676645171915625,0.11489211516359303,0.0030760162270417834,1,5173,5173,boundary,0.15000000000000002
boundary,temperature,0.9758064516129032,real,0.3333333333333333,gate_planes_resnet18_temperature,0.19405940594059407,0.19405940594059407,0.09584158415841584,0.19405940594059407,0.09900990099009901,0.09900990099009901,0.0594059405940594,0.0594059405940594,0.0594059405940594,0.0,0.0,1,124,124,boundary,0.2
interior,temperature,0.8544364971969843,real,0.9116347569955817,gate_planes_resnet18_temperature,0.866942370345498,0.8563744044870736,0.592500248934802,0.8351101454091989,0.8120176849916405,0.7684490561955957,0.7140902481954156,0.5862779963605614,0.3677592719508842,0.11490529518511,0.0030760162270417834,1,5173,5173,boundary,0.2
