bucket,calibration,filter_rate,gate,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_classes,n_gt_tiles,n_tiles,stratum,threshold
high,temperature,0.0,real,1.0,gate_planes_resnet18_temperature,0.9574104828016857,0.9473114730575577,0.6792965651727685,0.9360190031327073,0.9138583467244104,0.8790520499820907,0.8268599639564211,0.710325914079013,0.4667945009228865,0.15196981939021267,0.0033640976806998007,1,1335,1335,gsd_bucket,0.0
low,temperature,0.0,real,1.0,gate_planes_resnet18_temperature,0.6673517568533163,0.644811858621374,0.3518693026640899,0.6017450374014258,0.5364658255802344,0.4464896383314082,0.3507935330510024,0.19740998893990055,0.06591015822444228,0.007447635310794761,0.0002675943270002676,1,2209,2209,gsd_bucket,0.0
medium,temperature,0.0,real,1.0,gate_planes_resnet18_temperature,0.9045190252359145,0.8849449569505751,0.5096922949082517,0.8648644338910271,0.8354174159079875,0.723675238696445,0.5124087474234815,0.28188253226328547,0.08639687641201813,0.002748584209026796,6.513809275664408e-05,1,389,389,gsd_bucket,0.0
unknown,temperature,0.0,real,1.0,gate_planes_resnet18_temperature,0.8766928901141837,0.8396180652009495,0.45001375968687185,0.7620576803753303,0.656057924952458,0.5794229784000743,0.4815652538839261,0.25682861203429597,0.04685198242339436,0.0010422094841063053,0.0,1,134,134,gsd_bucket,0.0
very_high,temperature,0.0,real,1.0,gate_planes_resnet18_temperature,0.8706140618390462,0.8490316174737025,0.5634014364342425,0.8166661266043835,0.7740881373378855,0.7285953617675349,0.6620434378565285,0.4989494223694571,0.3190672837877608,0.11080505164389681,0.004153863662228292,1,1143,1143,gsd_bucket,0.0
very_low,temperature,0.0,real,nan,gate_planes_resnet18_temperature,0.0,,0.0,,,,,,,,,0,87,87,gsd_bucket,0.0
high,temperature,0.6681647940074906,real,0.9684542586750788,gate_planes_resnet18_temperature,0.9574005995076263,0.9473008846883115,0.6792943315180813,0.9359978014495143,0.9138615073540288,0.8790580009459428,0.8268627675409486,0.7103314257460391,0.46679641087748824,0.15196981939021267,0.0033640976806998007,1,1335,1335,gsd_bucket,0.05
low,temperature,0.901765504753282,real,0.7205882352941176,gate_planes_resnet18_temperature,0.5665689362602312,0.556654471835641,0.3126348219233529,0.5267800630396166,0.4834477675271997,0.4107646619143982,0.3290376126255194,0.1832412163333739,0.06195037795780379,0.007620226308345119,0.0002828854314002829,1,2209,2209,gsd_bucket,0.05
medium,temperature,0.7532133676092545,real,0.8620689655172413,gate_planes_resnet18_temperature,0.7180621944085269,0.6985274882336433,0.40832635127744243,0.6784868412693974,0.6611062830147502,0.5884110848021601,0.42375172812323764,0.2360659974481839,0.0755691695227962,0.0032028792573819496,7.984669434685404e-05,1,389,389,gsd_bucket,0.05
unknown,temperature,0.5970149253731343,real,0.9791666666666666,gate_planes_resnet18_temperature,0.8673738748393699,0.830712058603885,0.44813066947297137,0.7616469033301481,0.6557818077348534,0.5794686560447618,0.4816005902348987,0.25682861203429597,0.04685198242339436,0.0010422094841063053,0.0,1,134,134,gsd_bucket,0.05
very_high,temperature,0.7471566054243219,real,0.9898477157360406,gate_planes_resnet18_temperature,0.8706140618390462,0.8490316174737025,0.5634014364342425,0.8166661266043835,0.7740881373378855,0.7285953617675349,0.6620434378565285,0.4989494223694571,0.3190672837877608,0.11080505164389681,0.004153863662228292,1,1143,1143,gsd_bucket,0.05
very_low,temperature,0.9885057471264368,real,nan,gate_planes_resnet18_temperature,0.0,,0.0,,,,,,,,,0,87,87,gsd_bucket,0.05
high,temperature,0.7123595505617978,real,0.9652996845425867,gate_planes_resnet18_temperature,0.9573949477336853,0.9472897861919903,0.6792917777976382,0.9360001242337385,0.9138451365578221,0.8790607148005849,0.8268653147641208,0.7103314257460391,0.46679641087748824,0.15196981939021267,0.0033640976806998007,1,1335,1335,gsd_bucket,0.1
low,temperature,0.9456767768220914,real,0.6617647058823529,gate_planes_resnet18_temperature,0.5482946261855326,0.5386168518444134,0.3043498207570022,0.5091576586665324,0.4749705999109777,0.40261055932646944,0.321422831823761,0.17845463020811855,0.06205555097149592,0.0076320132013201316,0.0002828854314002829,1,2209,2209,gsd_bucket,0.1
medium,temperature,0.794344473007712,real,0.8275862068965517,gate_planes_resnet18_temperature,0.7180621944085269,0.6985274882336433,0.40832635127744243,0.6784868412693974,0.6611062830147502,0.5884110848021601,0.42375172812323764,0.2360659974481839,0.0755691695227962,0.0032028792573819496,7.984669434685404e-05,1,389,389,gsd_bucket,0.1
unknown,temperature,0.6119402985074627,real,0.9791666666666666,gate_planes_resnet18_temperature,0.8673738748393699,0.830712058603885,0.44813066947297137,0.7616469033301481,0.6557818077348534,0.5794686560447618,0.4816005902348987,0.25682861203429597,0.04685198242339436,0.0010422094841063053,0.0,1,134,134,gsd_bucket,0.1
very_high,temperature,0.7804024496937882,real,0.9746192893401016,gate_planes_resnet18_temperature,0.8706140618390462,0.8490316174737025,0.5634014364342425,0.8166661266043835,0.7740881373378855,0.7285953617675349,0.6620434378565285,0.4989494223694571,0.3190672837877608,0.11080505164389681,0.004153863662228292,1,1143,1143,gsd_bucket,0.1
very_low,temperature,1.0,real,nan,gate_planes_resnet18_temperature,0.0,,0.0,,,,,,,,,0,87,87,gsd_bucket,0.1
high,temperature,0.7310861423220973,real,0.9526813880126183,gate_planes_resnet18_temperature,0.9573962607517353,0.9472785098588894,0.6793643096772424,0.9359499848420593,0.9137842611284588,0.8794054290882488,0.8270188781528428,0.7105378063154933,0.46691455513370234,0.15199331382029488,0.0033640976806998007,1,1335,1335,gsd_bucket,0.15000000000000002
low,temperature,0.9578995020371208,real,0.6029411764705882,gate_planes_resnet18_temperature,0.489306149946388,0.47991551725598136,0.27987351501347824,0.4605684065737356,0.42732148176766177,0.3784585656588485,0.3033828186675026,0.18500865071922654,0.06650028473328304,0.007963868871560793,0.0003094059405940594,1,2209,2209,gsd_bucket,0.15000000000000002
medium,temperature,0.8406169665809768,real,0.7586206896551724,gate_planes_resnet18_temperature,0.5319068884608288,0.5122377174943382,0.32264890917885763,0.5025045567134508,0.4912251597775679,0.46212802197444214,0.3845559201178854,0.24341948611186118,0.09421737790040216,0.004186343780201759,0.00010761945759793371,1,389,389,gsd_bucket,0.15000000000000002
unknown,temperature,0.6268656716417911,real,0.9791666666666666,gate_planes_resnet18_temperature,0.8673738748393699,0.830712058603885,0.44813066947297137,0.7616469033301481,0.6557818077348534,0.5794686560447618,0.4816005902348987,0.25682861203429597,0.04685198242339436,0.0010422094841063053,0.0,1,134,134,gsd_bucket,0.15000000000000002
very_high,temperature,0.7961504811898513,real,0.9746192893401016,gate_planes_resnet18_temperature,0.8706140618390462,0.8490316174737025,0.5634014364342425,0.8166661266043835,0.7740881373378855,0.7285953617675349,0.6620434378565285,0.4989494223694571,0.3190672837877608,0.11080505164389681,0.004153863662228292,1,1143,1143,gsd_bucket,0.15000000000000002
very_low,temperature,1.0,real,nan,gate_planes_resnet18_temperature,0.0,,0.0,,,,,,,,,0,87,87,gsd_bucket,0.15000000000000002
