calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
temperature,482027.0,116534.0,0.0,real,9534.6,10594.0,1.0,gate_planes_resnet18_temperature,0.9151257181537812,0.9042543353094928,0.6147769115829849,0.8824830152318285,0.8495622191389536,0.8022978218121499,0.7266678294128557,0.5877925149970352,0.3629220152994837,0.11358925181370712,0.003074394660561391,5297,1,5297,0.0,491561.6,127128.0
temperature,100100.0,24200.0,0.7923352841230885,real,9534.6,10594.0,0.9418604651162791,gate_planes_resnet18_temperature,0.8865130550215763,0.8759124039095763,0.6007192159907894,0.8544778288744108,0.8306600044387078,0.7852536521173614,0.7115122511341279,0.5818270914488635,0.3638986157089605,0.11406286259374719,0.003074394660561391,1100,1,5297,0.05,109634.6,34794.0
temperature,80717.0,19514.0,0.8325467245610723,real,9534.6,10594.0,0.9273255813953488,gate_planes_resnet18_temperature,0.8864411561874923,0.8758232188343628,0.5998358509809084,0.8544276720153262,0.8221291875280349,0.7852172058784401,0.7115007114585572,0.5817703084836925,0.36391108075321177,0.11406357400940555,0.003074394660561391,887,1,5297,0.1,90251.6,30108.0
temperature,72527.0,17534.0,0.8495374740419105,real,9534.6,10594.0,0.9098837209302325,gate_planes_resnet18_temperature,0.8667587783912595,0.856129542664191,0.5894113413406292,0.8348791220241032,0.803177494495623,0.7681852372642273,0.7058681499767946,0.5790873172576608,0.36227136507248997,0.11468039003290058,0.0030760162270417834,797,1,5297,0.15000000000000002,82061.6,28128.0
temperature,68796.0,16632.0,0.8572777043609591,real,9534.6,10594.0,0.9040697674418605,gate_planes_resnet18_temperature,0.8666895170308214,0.8561071063443473,0.5894291589360781,0.8348495304839914,0.8031427977814232,0.768090575243151,0.7060142251126181,0.5792778883191371,0.3623504934277309,0.11469343939051743,0.0030760162270417834,756,1,5297,0.2,78330.6,27226.0
temperature,65520.0,15840.0,0.8640740041532944,real,9534.6,10594.0,0.8968023255813954,gate_planes_resnet18_temperature,0.8574014134628117,0.8468657943807814,0.5866168951804369,0.8257429710142333,0.8029782359802528,0.7679561942891526,0.7058704614507562,0.5792218319544947,0.3623625253673981,0.11469350767744627,0.0030760162270417834,720,1,5297,0.25,75054.6,26434.0
temperature,63245.0,15290.0,0.8687936567868605,real,9534.6,10594.0,0.8895348837209303,gate_planes_resnet18_temperature,0.8572660410364512,0.8467249763736588,0.5865808696613591,0.8256168097275324,0.8028253086691683,0.7679319124861178,0.7059388051513279,0.5793160270782894,0.36241282709184874,0.1146999727721554,0.0030760162270417834,695,1,5297,0.30000000000000004,72779.6,25884.0
temperature,61243.0,14806.0,0.8729469511043987,real,9534.6,10594.0,0.8851744186046512,gate_planes_resnet18_temperature,0.8572028073816989,0.8467014950083351,0.5865586585357156,0.8255718213302019,0.8028026998430098,0.7678961243965997,0.7059212216501378,0.5792874531162081,0.36242531030835373,0.11470163609557013,0.0030760162270417834,673,1,5297,0.35000000000000003,70777.6,25400.0
temperature,59696.0,14432.0,0.8761563148952237,real,9534.6,10594.0,0.877906976744186,gate_planes_resnet18_temperature,0.8571816665246652,0.8466831265094695,0.5865634751154594,0.8255427620600486,0.8027567369691259,0.7678890125235271,0.7059995270920658,0.5793523485542791,0.3624490615130095,0.11470449318135999,0.0030760162270417834,656,1,5297,0.4,69230.6,25026.0
temperature,58695.0,14190.0,0.8782329620539928,real,9534.6,10594.0,0.873546511627907,gate_planes_resnet18_temperature,0.8571560448142604,0.8466492808111143,0.5865451821354148,0.8255256552472797,0.8026817623401284,0.7678558986808661,0.7060012599848091,0.5793523485542791,0.3624490615130095,0.11470449318135999,0.0030760162270417834,645,1,5297,0.45,68229.6,24784.0
