bucket,calibration,filter_rate,gate,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_classes,n_gt_tiles,n_tiles,skipped,stratum,threshold
GF,temperature,0.0,real,1.0,gate_planes_resnet18_temperature,0.9117950859655064,0.8927839207360801,0.6151144031330341,0.8927839207360801,0.8635521048154634,0.8461611703575014,0.7986271963573514,0.5923583553667385,0.32359103355689456,0.027968014192723618,0.0015232292460015233,1,715,715,,imagesource,0.0
GoogleEarth,temperature,0.0,real,1.0,gate_planes_resnet18_temperature,0.9357598062808105,0.9250896717040428,0.6360307450866072,0.9039389105426703,0.8714332415694234,0.8328862972199484,0.7575812070446645,0.6181104150386765,0.38843309579224095,0.12398476020735585,0.0030900454662390517,1,3317,3317,,imagesource,0.0
JL,temperature,0.0,real,1.0,gate_planes_resnet18_temperature,0.6192153217713985,0.595013192292892,0.30348466134216334,0.545695360100428,0.4752246383464852,0.37150127736103344,0.2665198476665011,0.12618315987000803,0.0307537754625695,0.0047400405503178825,0.0,1,1265,1265,,imagesource,0.0
unknown,temperature,,real,,gate_planes_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.0
GF,temperature,0.9636363636363636,real,0.6153846153846154,gate_planes_resnet18_temperature,0.8488330975954738,0.8295588179507606,0.5728213661495951,0.8295588179507606,0.8012467913458012,0.7872147758993586,0.7430094657817431,0.5467321196238917,0.3100965559847505,0.030163039345409193,0.0018001800180018003,1,715,715,,imagesource,0.05
GoogleEarth,temperature,0.7304793488091649,real,0.9661290322580646,gate_planes_resnet18_temperature,0.9162389126174219,0.9056040859958621,0.6248794427513713,0.8844942280931211,0.8523522999827571,0.81584890366295,0.7499666127911351,0.6120856242996521,0.3846922956339706,0.12442141897060442,0.0030900454662390517,1,3317,3317,,imagesource,0.05
JL,temperature,0.857707509881423,real,0.7454545454545455,gate_planes_resnet18_temperature,0.5181571033375213,0.5086911146229892,0.2676497675151122,0.4739623263791139,0.42737132679666695,0.34018037898236725,0.25447689575428456,0.11952240078367328,0.029290453364379083,0.004845675130126442,0.0,1,1265,1265,,imagesource,0.05
unknown,temperature,,real,,gate_planes_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.05
GF,temperature,0.9832167832167832,real,0.5384615384615384,gate_planes_resnet18_temperature,0.8302163549688302,0.8196333369600697,0.5635061825581864,0.8196333369600697,0.7909367859862909,0.7680724803249556,0.7334031480071085,0.530792227762365,0.3104109352487639,0.030163039345409193,0.0018001800180018003,1,715,715,,imagesource,0.1
GoogleEarth,temperature,0.7681640036177269,real,0.9564516129032258,gate_planes_resnet18_temperature,0.9162367361280812,0.9055942245319724,0.6248768719348661,0.8844885897817645,0.8523392437963307,0.8158507126204319,0.7499698281196135,0.6120856242996521,0.3846922956339706,0.12442141897060442,0.0030900454662390517,1,3317,3317,,imagesource,0.1
