calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
identity,974779.5025592321,108932.92932660552,0.0,real,26506.544636416,2931.176081983722,1.0,gate_planes_tiny,0.9151257181537812,0.9042543076046732,0.6147770516815452,0.8824829661262232,0.8495620928477391,0.8022976611576149,0.7266678294128557,0.5877931411437782,0.36292315389451707,0.11358925181370712,0.003074394660561391,5297,1,5297,0.0,1001286.0471956481,111864.10540858924
identity,457485.717078016,51124.648349243216,0.5306777421181801,real,26506.544636416,2931.176081983722,0.9549418604651163,gate_planes_tiny,0.9056715181123106,0.8948921729804434,0.6087847731257858,0.8734522715019033,0.8405927791755159,0.79400071507551,0.7186443881607064,0.5809291621370978,0.3629463679636855,0.11364396149012275,0.003074394660561391,2486,1,5297,0.05,483992.26171443204,54055.82443122694
identity,313946.352910336,35083.93004175741,0.6779309042854447,real,26506.544636416,2931.176081983722,0.9331395348837209,gate_planes_tiny,0.8959054709344734,0.8851586947268592,0.6038652401551734,0.8637998673761772,0.831124869620746,0.784797976652482,0.7179300624300519,0.580650224534453,0.36251562701832035,0.11369521359760895,0.003074394660561391,1706,1,5297,0.1,340452.897546752,38015.106123741134
identity,248801.564557312,27803.911732975394,0.7447611855767415,real,26506.544636416,2931.176081983722,0.8982558139534884,gate_planes_tiny,0.8857601865504219,0.8750633060609446,0.5968919045431546,0.8539020451965416,0.8216132839364643,0.7755202691059299,0.7093926927301613,0.5732295682595856,0.35753811180139894,0.11382518712953506,0.003074394660561391,1352,1,5297,0.15000000000000002,275308.109193728,30735.087814959115
identity,207211.953913856,23156.216428498738,0.7874268453841797,real,26506.544636416,2931.176081983722,0.873546511627907,gate_planes_tiny,0.8571798816915498,0.8465535452323735,0.5840839233983444,0.8342850317064517,0.8024149109378113,0.7652597289180963,0.693179583892741,0.566369694625939,0.3581274273655678,0.11438851490379393,0.0030809147091179706,1126,1,5297,0.2,233718.49855027202,26087.39251048246
identity,184208.850681856,20585.58849460678,0.8110251085520106,real,26506.544636416,2931.176081983722,0.8517441860465116,gate_planes_tiny,0.8469212279754982,0.8363517453520142,0.5767023799481793,0.8153539017366067,0.7920791690238317,0.7481568845692687,0.6850793607486271,0.5665104237997076,0.3589280305365444,0.11456214103057649,0.0030809147091179706,1001,1,5297,0.25,210715.395318272,23516.764576590504
identity,167462.59152896,18714.171358733438,0.8282046441381914,real,26506.544636416,2931.176081983722,0.8357558139534884,gate_planes_tiny,0.8466496800214255,0.8361152864748388,0.5759242297256401,0.8154292847168126,0.7837333922597369,0.7484051477300285,0.6853302691980337,0.566629279304336,0.3591705618328496,0.11469518690803196,0.0030842088103050927,910,1,5297,0.30000000000000004,193969.136165376,21645.34744071716
identity,151820.48133120002,16966.144363686908,0.8442514630923164,real,26506.544636416,2931.176081983722,0.8052325581395349,gate_planes_tiny,0.817798406116137,0.807348760972693,0.5611677944074158,0.795569016212687,0.764303836943203,0.7291997676122928,0.6750376203970991,0.5509577027001794,0.3534219981764467,0.11494828956772013,0.003092545375699567,825,1,5297,0.35000000000000003,178327.025967616,19897.32044567063
identity,140963.016605696,15752.807978889905,0.8553898433075325,real,26506.544636416,2931.176081983722,0.7906976744186046,gate_planes_tiny,0.8175910393152065,0.8072169257472188,0.5594911905020765,0.7867280237061058,0.7640597646692325,0.7289496341582459,0.6674187153204683,0.5511738671801089,0.3536705093895041,0.11501088015897475,0.003092545375699567,766,1,5297,0.4,167469.56124211202,18683.984060873627
identity,132681.899442176,14827.3819226888,0.8638852180479517,real,26506.544636416,2931.176081983722,0.7703488372093024,gate_planes_tiny,0.8077322086369848,0.797347028897474,0.5540258386241642,0.7769069314756796,0.7544566227662013,0.7196883960211966,0.6666668567723879,0.5509888283534846,0.348432226419405,0.1149450565975889,0.003094230301240563,721,1,5297,0.45,159188.444078592,17758.558004672523
