calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
temperature,974779.5025592321,108932.92932660552,0.0,real,26506.544636416,2931.176081983722,1.0,gate_planes_tiny,0.9151257181537812,0.9042543076046732,0.6147770516815452,0.8824829661262232,0.8495620928477391,0.8022976611576149,0.7266678294128557,0.5877931411437782,0.36292315389451707,0.11358925181370712,0.003074394660561391,5297,1,5297,0.0,1001286.0471956481,111864.10540858924
temperature,361056.708329472,40348.57605036814,0.629601661317727,real,26506.544636416,2931.176081983722,0.940406976744186,gate_planes_tiny,0.8960290813331824,0.8852884142943581,0.6039951968736338,0.864010851734941,0.831344400982463,0.7849758679391858,0.7181189721179998,0.5807247773263705,0.362692383742564,0.1136928246047119,0.003074394660561391,1962,1,5297,0.05,387563.252965888,43279.75213235186
temperature,262971.476148224,29387.41854025284,0.7302246554653578,real,26506.544636416,2931.176081983722,0.9084302325581395,gate_planes_tiny,0.8859164283631289,0.8751977766225979,0.5969533367640064,0.8540744195264489,0.8217336737411854,0.7756410517195109,0.7093292183951535,0.5731812460593284,0.35759062866133595,0.11379452989081253,0.003074394660561391,1429,1,5297,0.1,289478.02078464004,32318.59462223656
temperature,214756.971773952,23999.3823908153,0.7796866150651312,real,26506.544636416,2931.176081983722,0.875,gate_planes_tiny,0.8661896389207623,0.8465726573700441,0.5849872875687011,0.8343043715067183,0.8024091404047224,0.7652526916733613,0.693177824206984,0.566369694625939,0.3581274273655678,0.11438851490379393,0.0030809147091179706,1167,1,5297,0.15000000000000002,241263.51641036803,26930.55847279902
temperature,190281.669935104,21264.234269154258,0.8047951670757032,real,26506.544636416,2931.176081983722,0.8590116279069767,gate_planes_tiny,0.8565847749570505,0.8459386284757098,0.5813940565130381,0.8248974212329759,0.7930289494799869,0.7572120549451852,0.6935562073793484,0.5667194811127085,0.3584713769118599,0.1144507559264387,0.0030809147091179706,1034,1,5297,0.2,216788.21457152,24195.41035113798
temperature,171695.162523648,19187.166898569558,0.8238625637153105,real,26506.544636416,2931.176081983722,0.8401162790697675,gate_planes_tiny,0.8467995188587781,0.8362232818625435,0.5759576767146616,0.8155128108516788,0.7837759361665945,0.748376360915574,0.6853047567962907,0.5666474197128625,0.35915728626395566,0.11469518690803196,0.0030842088103050927,933,1,5297,0.25,198201.70716006402,22118.34298055328
temperature,157157.201281024,17562.53004434984,0.8387766660373797,real,26506.544636416,2931.176081983722,0.8125,gate_planes_tiny,0.8275344472102303,0.8170807868557752,0.5659191282448063,0.7965332251223906,0.773804934945312,0.7385768385283564,0.6760032550137491,0.5582526353245012,0.35337216757279427,0.11494044649925374,0.003092545375699567,854,1,5297,0.30000000000000004,183663.74591743998,20493.706126333564
temperature,147219.86068480002,16452.018776908517,0.8489711157258826,real,26506.544636416,2931.176081983722,0.7994186046511628,gate_planes_tiny,0.8177444367432674,0.8073648592271889,0.5595380319633919,0.7868201998431897,0.7642357379371487,0.7291530305794754,0.6674118953000252,0.5511006732941793,0.35349202006545316,0.1149649212682903,0.003092545375699567,800,1,5297,0.35000000000000003,173726.40532121604,19383.19485889224
temperature,138202.644217856,15444.33262682287,0.8582216348876723,real,26506.544636416,2931.176081983722,0.7863372093023255,gate_planes_tiny,0.8175207189001359,0.8071214340227603,0.5594446408565846,0.7866198760578638,0.7640158436641651,0.728896903641241,0.6673941304632858,0.5511201030437132,0.3536582700661021,0.11500658333087982,0.003092545375699567,751,1,5297,0.4,164709.188854272,18375.508708806592
temperature,131393.725661184,14683.426758390851,0.8652067207853502,real,26506.544636416,2931.176081983722,0.7659883720930233,gate_planes_tiny,0.7982051407863304,0.7879148460827735,0.5494846766927383,0.7763511309151254,0.7452156008717783,0.7190609476013001,0.6582993339818801,0.5435662578756684,0.3483332234592677,0.11480605505201899,0.003094230301240563,714,1,5297,0.45,157900.27029760001,17614.602840374573
temperature,125136.88158208001,13984.21596037224,0.8716254483670002,real,26506.544636416,2931.176081983722,0.748546511627907,gate_planes_tiny,0.797901609168236,0.7876720900679322,0.5475495544676148,0.7673401831062057,0.7449333294606099,0.7104102139730476,0.6578525857216323,0.5432316512142883,0.3482806225830789,0.11477902907987632,0.003094230301240563,680,1,5297,0.5,151643.426218496,16915.39204235596
temperature,115751.61546342401,12935.399763344321,0.8812535397394752,real,26506.544636416,2931.176081983722,0.7238372093023255,gate_planes_tiny,0.7787323322736711,0.7775798172744587,0.5395884475008841,0.7574511842094458,0.7349845135543893,0.7009795444743229,0.6485678322944354,0.5350665894485948,0.34721076844801424,0.1122074272573202,0.0031044657741888908,629,1,5297,0.55,142258.16009984002,15866.575845328043
temperature,108942.69690675201,12174.493894912302,0.8882386256371531,real,26506.544636416,2931.176081983722,0.6991279069767442,gate_planes_tiny,0.7689107484477635,0.7677404461585391,0.5333616411022744,0.7477220359747538,0.7254884908636169,0.6917743174896338,0.6401265561594864,0.534271601089253,0.3419990175998213,0.11247527090102408,0.0031079263388523724,592,1,5297,0.6000000000000001,135449.24154316803,15105.669976896024
temperature,100845.604569088,11269.632862182334,0.8965452142722296,real,26506.544636416,2931.176081983722,0.6584302325581395,gate_planes_tiny,0.7586312388068638,0.7486077259599484,0.5238275564257339,0.7285485256770025,0.7066386496797435,0.682025798033415,0.6308353795163378,0.5263109877560467,0.34127900776425246,0.1122903247248748,0.0031079263388523724,548,1,5297,0.65,127352.149205504,14200.808944166056
temperature,92196.43775385601,10303.076759038959,0.905418161223334,real,26506.544636416,2931.176081983722,0.6119186046511628,gate_planes_tiny,0.7101211183106053,0.7092223914444193,0.5000084712780499,0.6893158558654217,0.6764972970187763,0.6447236002161721,0.6051718114987042,0.512996517590436,0.33695057673928996,0.11206781113071795,0.0030177329659571463,501,1,5297,0.7000000000000001,118702.98239027201,13234.25284102268
temperature,83179.221286912,9295.390608953312,0.9146686803851236,real,26506.544636416,2931.176081983722,0.5566860465116279,gate_planes_tiny,0.6902409252565032,0.6802522551972999,0.4842304291493881,0.6697386930296712,0.6485920088623136,0.625528579551311,0.5870687350709679,0.4966669891043765,0.3312826050237154,0.10991073658287889,0.0030227638148430224,452,1,5297,0.75,109685.765923328,12226.566690937034
temperature,73425.90551654401,8205.444364983123,0.924674343968284,real,26506.544636416,2931.176081983722,0.4956395348837209,gate_planes_tiny,0.6703310273233243,0.6605213539176442,0.47135864550405193,0.6500622805297636,0.6290366968363467,0.6064880622405816,0.5695934680099359,0.4886619583483351,0.32569542007851876,0.1101708852258155,0.003025302530253025,399,1,5297,0.8,99932.45015296001,11136.620446966845
temperature,62568.440791040004,6992.10798018612,0.9358127241835001,real,26506.544636416,2931.176081983722,0.4273255813953488,gate_planes_tiny,0.6310656754736248,0.6213558203076985,0.44755852431340637,0.6110801339674319,0.599194317709904,0.576995073333093,0.5411893081298013,0.4696155173684397,0.312086930813374,0.10997203876436723,0.003030427266329117,340,1,5297,0.8500000000000001,89074.985427456,9923.284062169841
temperature,47110.355419136,5264.646008610725,0.9516707570322824,real,26506.544636416,2931.176081983722,0.3430232558139535,gate_planes_tiny,0.5720289249360998,0.5624717707402954,0.4075949498089827,0.5523070585478703,0.5409867473836389,0.5279458708540866,0.4936653605374425,0.42626759141487597,0.290947209456555,0.1064096061352939,0.0029193580836682892,256,1,5297,0.9,73616.900055552,8195.822090594447
temperature,29443.97213696,3290.4037553817034,0.9697942231451765,real,26506.544636416,2931.176081983722,0.22093023255813954,gate_planes_tiny,0.474184416771709,0.4740601162845658,0.3478659711963022,0.47351269524037476,0.4627871393679059,0.45058908781606166,0.42597652839793954,0.3637061512076327,0.2579662059102021,0.09320435810718118,0.0026730128594488678,160,1,5297,0.9500000000000001,55950.516773376,6221.579837365425
temperature,0.0,0.0,1.0,real,26506.544636416,2931.176081983722,0.0,gate_planes_tiny,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,1.0,26506.544636416,2931.176081983722
