calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
identity,34960.2,3907.3723532608697,0.0,real,5319.691839488,2873.319636841188,1.0,gate_planes_effb0_yolo11n,0.9061802510313663,0.895208013344794,0.6608966431117234,0.8834839996282972,0.861592092681324,0.8248649937391802,0.7580358188316374,0.6734404209537173,0.5340080433389174,0.2620559594257199,0.010096838142279964,5297,1,5297,0.0,40279.891839487995,6780.691990102057
identity,15635.4,1747.5108750000002,0.5527657164432698,real,5319.691839488,2873.319636841188,0.9912790697674418,gate_planes_effb0_yolo11n,0.9061580519401964,0.8951699052050167,0.660027324987763,0.8833851185453521,0.8615012590576772,0.816378729959089,0.7580179821039215,0.6734794795733894,0.5340326749901579,0.2620532103605489,0.010096838142279964,2369,1,5297,0.05,20955.091839488,4620.830511841188
identity,11246.4,1256.9685652173914,0.6783084764961299,real,5319.691839488,2873.319636841188,0.9680232558139535,gate_planes_effb0_yolo11n,0.8958522541771398,0.875815965398856,0.6520266335306177,0.8642875462298767,0.8429909374798036,0.8073050563215135,0.7585802700074372,0.6744166152545332,0.5283589209432351,0.26255859712057045,0.01010017237321273,1704,1,5297,0.1,16566.091839488,4130.288202058579
identity,9134.4,1020.9181304347827,0.7387200302057768,real,5319.691839488,2873.319636841188,0.9534883720930233,gate_planes_effb0_yolo11n,0.8862419457327039,0.8752830837931184,0.6485709493449586,0.854906560035357,0.8425442691095956,0.8073368261723248,0.7507391296024802,0.6671499852901676,0.5287950588487735,0.2626117181343108,0.010100916730754302,1384,1,5297,0.15000000000000002,14454.091839488,3894.237767275971
identity,7590.0,848.3062500000001,0.7828959788559562,real,5319.691839488,2873.319636841188,0.9476744186046512,gate_planes_effb0_yolo11n,0.8862258123808259,0.8662488725726593,0.6467796176783036,0.8549032314085532,0.8337349210104459,0.8072409567001566,0.7507077593242191,0.6670935326115293,0.5288661847822146,0.26267361661456234,0.010101289377870857,1150,1,5297,0.2,12909.691839488001,3721.6258868411883
identity,6771.599999999999,756.8367065217392,0.8063054559184444,real,5319.691839488,2873.319636841188,0.938953488372093,gate_planes_effb0_yolo11n,0.8767798814033921,0.8659004305863564,0.6439340545409372,0.845581489354041,0.8334031010189047,0.7984910421185202,0.7503600556714408,0.6671929451243677,0.5289473199171559,0.26258224460443164,0.010102035610761688,1026,1,5297,0.25,12091.291839488,3630.156343362927
identity,6032.4,674.2190543478262,0.8274494997168208,real,5319.691839488,2873.319636841188,0.9200581395348837,gate_planes_effb0_yolo11n,0.8570359365976096,0.8461477802620845,0.6297056881768783,0.8347795671549779,0.8137622483809483,0.7789453056017904,0.7312268652145961,0.6485286475965273,0.5188079607688237,0.25771866350450395,0.010103906686920445,914,1,5297,0.30000000000000004,11352.091839488,3547.5386911890146
identity,5596.799999999999,625.5336521739131,0.8399093826694355,real,5319.691839488,2873.319636841188,0.9084302325581395,gate_planes_effb0_yolo11n,0.856953411870247,0.8460708487061424,0.6280957440700111,0.8258055777930813,0.8136471359224682,0.7788224682909873,0.731044565906662,0.6484024341044977,0.5123503217744895,0.2577563944843949,0.010104281847140156,848,1,5297,0.35000000000000003,10916.491839488,3498.8532890151014
identity,5167.799999999999,577.5859076086957,0.8521804795167076,real,5319.691839488,2873.319636841188,0.8938953488372093,gate_planes_effb0_yolo11n,0.8472540458783779,0.8365333131011513,0.6253435129359807,0.8252469182721884,0.8044945724213067,0.7786604759180886,0.7312674899089591,0.649171647773784,0.5128007301160891,0.25790127864657736,0.010104657323284262,783,1,5297,0.4,10487.491839488,3450.905544449884
identity,4857.599999999999,542.916,0.861053426467812,real,5319.691839488,2873.319636841188,0.8851744186046512,gate_planes_effb0_yolo11n,0.8373773852279064,0.8266419749984744,0.6191301814854184,0.8153170355057712,0.7946759720368671,0.7691896855801382,0.7224111847924021,0.6487945845297727,0.5130658776630915,0.253722328868501,0.010105785651258622,736,1,5297,0.45,10177.291839488,3416.2356368411884
identity,4587.0,512.6720380434783,0.8687936567868605,real,5319.691839488,2873.319636841188,0.872093023255814,gate_planes_effb0_yolo11n,0.8370845161012022,0.8172013515444922,0.6147876451449921,0.8060761244330938,0.7944228023854006,0.7605314473794,0.7141943842135203,0.6412222525750352,0.513265648016867,0.2537721391496513,0.010105785651258622,695,1,5297,0.5,9906.691839488001,3385.9916748846663
identity,4349.4,486.1163641304348,0.8755899565791958,real,5319.691839488,2873.319636841188,0.8546511627906976,gate_planes_effb0_yolo11n,0.827729696662745,0.8170624972909206,0.6137656520431759,0.8059001285414225,0.7941629837821439,0.7603430077105,0.7140689529143037,0.6411554010610006,0.5132847524715822,0.2538429376020412,0.010106162395099351,659,1,5297,0.55,9669.091839488,3359.436000971623
identity,4230.599999999999,472.83852717391306,0.8789881064753634,real,5319.691839488,2873.319636841188,0.8473837209302325,gate_planes_effb0_yolo11n,0.8274674493797513,0.8167064207443776,0.6116111744097291,0.7965537273368427,0.7849750749793724,0.7597665148223794,0.7135212717946879,0.6404298142297548,0.5129116341742642,0.2536714070871288,0.01010842954873202,641,1,5297,0.6000000000000001,9550.291839488,3346.158164015101
identity,4012.7999999999997,448.4958260869565,0.8852180479516708,real,5319.691839488,2873.319636841188,0.8270348837209303,gate_planes_effb0_yolo11n,0.8177404967666847,0.8071494878825464,0.6061562548670179,0.7959431554342803,0.775565441138916,0.7506912054992018,0.7048101790707704,0.6397780758242712,0.5060642313042906,0.25370804193915236,0.010112233810064687,608,1,5297,0.65,9332.491839488,3321.815462928145
identity,3907.2,436.69330434782614,0.8882386256371531,real,5319.691839488,2873.319636841188,0.8081395348837209,gate_planes_effb0_yolo11n,0.8082512635428435,0.7976595033380253,0.6023014307877937,0.7866150497222477,0.7751177085047803,0.7499496650374545,0.7041828051229672,0.6315359148645912,0.5058294669139447,0.25375556193353815,0.010117368897545208,592,1,5297,0.7000000000000001,9226.891839488,3310.0129411890143
identity,3781.7999999999997,422.67780978260873,0.8918255616386634,real,5319.691839488,2873.319636841188,0.7950581395348837,gate_planes_effb0_yolo11n,0.7984285875281444,0.7878311360545449,0.5964422060330783,0.7768265927908334,0.7654730349620675,0.7405642373246363,0.6951604979676071,0.6307211587636492,0.5053085422969358,0.2539876795454551,0.010120593096909302,573,1,5297,0.75,9101.491839488,3295.997446623797
identity,3643.2,407.187,0.895790069850859,real,5319.691839488,2873.319636841188,0.7805232558139535,gate_planes_effb0_yolo11n,0.7983102977653023,0.7877702573675002,0.5946766965829455,0.7766764452531084,0.7652557662457231,0.7317209218159508,0.6948638123809066,0.6230153168357635,0.505027696106808,0.25399876005433725,0.010127692004056735,552,1,5297,0.8,8962.891839488,3280.506636841188
identity,3524.3999999999996,393.90916304347826,0.8991882197470267,real,5319.691839488,2873.319636841188,0.7630813953488372,gate_planes_effb0_yolo11n,0.7881411427442242,0.77760578181911,0.585974561923061,0.7665334051811488,0.7462503007332788,0.7217253857882127,0.685104511845119,0.6138602393338948,0.4972273734092901,0.2531569189832517,0.010140559393079293,534,1,5297,0.8500000000000001,8844.091839488,3267.2287998846664
identity,3339.6,373.25475,0.9044742306966207,real,5319.691839488,2873.319636841188,0.7281976744186046,gate_planes_effb0_yolo11n,0.7389534440238683,0.7284446533047676,0.5526658484205254,0.7175826734679873,0.7062717153998999,0.6818420823749903,0.6459223312468998,0.5846210275968169,0.4709812539796084,0.24193552553908496,0.010103777271329675,506,1,5297,0.9,8659.291839488,3246.5743868411882
