calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
platt,34960.2,3907.3723532608697,0.0,real,5319.691839488,2873.319636841188,1.0,gate_planes_effb0_yolo11n,0.9061802510313663,0.895208013344794,0.6608966431117234,0.8834839996282972,0.861592092681324,0.8248649937391802,0.7580358188316374,0.6734404209537173,0.5340080433389174,0.2620559594257199,0.010096838142279964,5297,1,5297,0.0,40279.891839487995,6780.691990102057
platt,8322.6,930.1862445652174,0.7619407211629224,real,5319.691839488,2873.319636841188,0.9505813953488372,gate_planes_effb0_yolo11n,0.8861935339270247,0.8751992415455704,0.6485004535819774,0.8547979788018432,0.8423836454534696,0.8071499605019312,0.7506393513158189,0.667045113703297,0.528838755187633,0.26265566600531487,0.010101289377870857,1261,1,5297,0.05,13642.291839488,3803.5058814064055
platt,6256.799999999999,699.2994130434784,0.8210307721351708,real,5319.691839488,2873.319636841188,0.9287790697674418,gate_planes_effb0_yolo11n,0.8668465146064899,0.8559730240701999,0.6358118988214247,0.8356518083521588,0.8234945550097592,0.7886126594010067,0.7407377390705645,0.6578197542039399,0.5207195236513155,0.2581606267509871,0.010102783097825448,948,1,5297,0.1,11576.491839488,3572.6190498846663
platt,5464.799999999999,610.7805000000001,0.8436851047762884,real,5319.691839488,2873.319636841188,0.9026162790697675,gate_planes_effb0_yolo11n,0.8569442790704186,0.8460348790957556,0.6280888450242529,0.8257825056820571,0.8136361366273284,0.7788207399088564,0.73103264187552,0.6484166886816913,0.5123576793062434,0.2577586181475172,0.010104281847140156,828,1,5297,0.15000000000000002,10784.491839488,3484.100136841188
platt,4956.599999999999,553.9808641304348,0.8582216348876723,real,5319.691839488,2873.319636841188,0.8880813953488372,gate_planes_effb0_yolo11n,0.8373844960283922,0.826656808306173,0.6191246230930832,0.815350422121073,0.7946865610890758,0.7692110269350472,0.7223502280480533,0.6487491228216701,0.5130356350426296,0.25371614488745914,0.010105785651258622,751,1,5297,0.2,10276.291839488,3427.300500971623
platt,4620.0,516.3603260869565,0.8678497262601472,real,5319.691839488,2873.319636841188,0.873546511627907,gate_planes_effb0_yolo11n,0.8370890188820137,0.8172100136433775,0.6148015442216856,0.8060919312417356,0.7944383932706511,0.760549920747425,0.7142116407818968,0.6412440230756699,0.513305332984003,0.25376938193882426,0.010105785651258622,700,1,5297,0.25,9939.691839488001,3389.679962928145
platt,4356.0,486.8540217391305,0.8754011704738531,real,5319.691839488,2873.319636841188,0.8561046511627907,gate_planes_effb0_yolo11n,0.8277447994804785,0.8170850150330464,0.6137786756626818,0.8059184446444108,0.7942251100655873,0.7603508360250306,0.7140827338807758,0.641149378271234,0.5132813392291145,0.2538429376020412,0.010106162395099351,660,1,5297,0.30000000000000004,9675.691839488001,3360.1736585803187
platt,4230.599999999999,472.83852717391306,0.8789881064753634,real,5319.691839488,2873.319636841188,0.8473837209302325,gate_planes_effb0_yolo11n,0.8274674493797513,0.8167064207443776,0.6116111744097291,0.7965537273368427,0.7849750749793724,0.7597665148223794,0.7135212717946879,0.6404298142297548,0.5129116341742642,0.2536714070871288,0.01010842954873202,641,1,5297,0.35000000000000003,9550.291839488,3346.158164015101
platt,4059.0,453.6594293478261,0.8838965452142722,real,5319.691839488,2873.319636841188,0.8284883720930233,gate_planes_effb0_yolo11n,0.8177539647249142,0.8071631651833867,0.6061785417801244,0.7959778130735743,0.7755938224644301,0.7507143172307803,0.7048353929512209,0.6398421923150395,0.506112260264313,0.25368063766289495,0.010111851930690672,615,1,5297,0.4,9378.691839488001,3326.9790661890142
platt,3953.3999999999996,441.8569076086957,0.8869171228997546,real,5319.691839488,2873.319636841188,0.8168604651162791,gate_planes_effb0_yolo11n,0.8176877136876506,0.8070557491075071,0.6044146854504991,0.7869345298351583,0.7754829034910156,0.7505530536575235,0.7046813493839396,0.6320478370481334,0.505989574308558,0.25359947689298057,0.010114667092525266,599,1,5297,0.45,9273.091839488,3315.1765444498837
