calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
temperature,34960.2,3907.3723532608697,0.0,real,5319.691839488,2873.319636841188,1.0,gate_planes_effb0_yolo11n,0.9061802510313663,0.895208013344794,0.6608966431117234,0.8834839996282972,0.861592092681324,0.8248649937391802,0.7580358188316374,0.6734404209537173,0.5340080433389174,0.2620559594257199,0.010096838142279964,5297,1,5297,0.0,40279.891839487995,6780.691990102057
temperature,9820.8,1097.6345217391306,0.7190862752501416,real,5319.691839488,2873.319636841188,0.9563953488372093,gate_planes_effb0_yolo11n,0.886289597825883,0.8753579150042068,0.6485959712620926,0.8549479042022289,0.8426053777875075,0.807382625954664,0.7507617471627166,0.6671276610079705,0.5287800983177349,0.26260586862726004,0.010100916730754302,1488,1,5297,0.05,15140.491839488,3970.954158580319
temperature,7741.799999999999,865.272375,0.7785538984330753,real,5319.691839488,2873.319636841188,0.9476744186046512,gate_planes_effb0_yolo11n,0.8862258123808259,0.8662488725726593,0.6467796176783036,0.8549032314085532,0.8337349210104459,0.8072409567001566,0.7507077593242191,0.6670935326115293,0.5288661847822146,0.26267361661456234,0.010101289377870857,1173,1,5297,0.1,13061.491839488,3738.592011841188
temperature,6857.4,766.4262554347827,0.80385123654899,real,5319.691839488,2873.319636841188,0.9418604651162791,gate_planes_effb0_yolo11n,0.876870256965555,0.8660476344754182,0.6448877487162146,0.8546757349072684,0.8335323518096499,0.7985914701129943,0.7504536978319004,0.6671089494746024,0.5289684393888228,0.2625272898581927,0.01010166233774202,1039,1,5297,0.15000000000000002,12177.091839488,3639.7458922759706
temperature,6111.599999999999,683.0709456521739,0.825184066452709,real,5319.691839488,2873.319636841188,0.9244186046511628,gate_planes_effb0_yolo11n,0.866857536786053,0.8559833292863134,0.6358157596864491,0.8356693133217039,0.8235129794723238,0.788592765965858,0.7407338540438804,0.657823304767368,0.5207211033721788,0.2581606267509871,0.010102783097825448,926,1,5297,0.2,11431.291839488,3556.390582493362
temperature,5742.0,641.7621195652174,0.8357560883518973,real,5319.691839488,2873.319636841188,0.9113372093023255,gate_planes_effb0_yolo11n,0.856976957972373,0.846088908088559,0.628128666819435,0.8258337971756448,0.8137309518482774,0.7788874105999827,0.7311120201439057,0.6484448121561477,0.5123589911690949,0.25774853719322444,0.010104281847140156,870,1,5297,0.25,11061.691839488001,3515.0817564064055
temperature,5464.799999999999,610.7805000000001,0.8436851047762884,real,5319.691839488,2873.319636841188,0.9026162790697675,gate_planes_effb0_yolo11n,0.8569442790704186,0.8460348790957556,0.6280888450242529,0.8257825056820571,0.8136361366273284,0.7788207399088564,0.73103264187552,0.6484166886816913,0.5123576793062434,0.2577586181475172,0.010104281847140156,828,1,5297,0.30000000000000004,10784.491839488,3484.100136841188
temperature,5148.0,575.3729347826087,0.8527468378327355,real,5319.691839488,2873.319636841188,0.8938953488372093,gate_planes_effb0_yolo11n,0.8472540458783779,0.8365333131011513,0.6253435129359807,0.8252469182721884,0.8044945724213067,0.7786604759180886,0.7312674899089591,0.649171647773784,0.5128007301160891,0.25790127864657736,0.010104657323284262,780,1,5297,0.35000000000000003,10467.691839488001,3448.692571623797
temperature,4936.8,551.7678913043478,0.8587879932037001,real,5319.691839488,2873.319636841188,0.8866279069767442,gate_planes_effb0_yolo11n,0.8373773852279064,0.8266419749984744,0.6191301814854184,0.8153170355057712,0.7946759720368671,0.7691896855801382,0.7224111847924021,0.6487945845297727,0.5130658776630915,0.253722328868501,0.010105785651258622,748,1,5297,0.4,10256.491839488,3425.087528145536
temperature,4745.4,530.375820652174,0.864262790258637,real,5319.691839488,2873.319636841188,0.877906976744186,gate_planes_effb0_yolo11n,0.8371341609989766,0.8263104508580809,0.6164738019517542,0.8061421833609062,0.7944618139440838,0.7605569766453479,0.7142390912756055,0.6487662223520086,0.5132623189954942,0.2537590154357784,0.010105785651258622,719,1,5297,0.45,10065.091839488,3403.695457493362
temperature,4587.0,512.6720380434783,0.8687936567868605,real,5319.691839488,2873.319636841188,0.872093023255814,gate_planes_effb0_yolo11n,0.8370845161012022,0.8172013515444922,0.6147876451449921,0.8060761244330938,0.7944228023854006,0.7605314473794,0.7141943842135203,0.6412222525750352,0.513265648016867,0.2537721391496513,0.010105785651258622,695,1,5297,0.5,9906.691839488001,3385.9916748846663
temperature,4395.599999999999,491.27996739130435,0.8742684538417973,real,5319.691839488,2873.319636841188,0.8590116279069767,gate_planes_effb0_yolo11n,0.8278242576537758,0.8171547919807711,0.6138207493153798,0.8059811894484165,0.7943089937348192,0.7604018315634651,0.7141509863389364,0.6411563248706306,0.5132800175658425,0.2538429376020412,0.010106162395099351,666,1,5297,0.55,9715.291839488,3364.5996042324923
temperature,4316.4,482.42807608695654,0.876533887105909,real,5319.691839488,2873.319636841188,0.8517441860465116,gate_planes_effb0_yolo11n,0.8277024873810515,0.817039588939357,0.6137463497883997,0.8058700350268455,0.7941056159458898,0.7602976441309953,0.7140348304856708,0.6411161137631713,0.5133364016781263,0.2538546181377882,0.010106162395099351,654,1,5297,0.6000000000000001,9636.091839488,3355.7477129281447
temperature,4230.599999999999,472.83852717391306,0.8789881064753634,real,5319.691839488,2873.319636841188,0.8473837209302325,gate_planes_effb0_yolo11n,0.8274674493797513,0.8167064207443776,0.6116111744097291,0.7965537273368427,0.7849750749793724,0.7597665148223794,0.7135212717946879,0.6404298142297548,0.5129116341742642,0.2536714070871288,0.01010842954873202,641,1,5297,0.65,9550.291839488,3346.158164015101
temperature,4059.0,453.6594293478261,0.8838965452142722,real,5319.691839488,2873.319636841188,0.8284883720930233,gate_planes_effb0_yolo11n,0.8177539647249142,0.8071631651833867,0.6061785417801244,0.7959778130735743,0.7755938224644301,0.7507143172307803,0.7048353929512209,0.6398421923150395,0.506112260264313,0.25368063766289495,0.010111851930690672,615,1,5297,0.7000000000000001,9378.691839488001,3326.9790661890142
temperature,3953.3999999999996,441.8569076086957,0.8869171228997546,real,5319.691839488,2873.319636841188,0.8168604651162791,gate_planes_effb0_yolo11n,0.8176877136876506,0.8070557491075071,0.6044146854504991,0.7869345298351583,0.7754829034910156,0.7505530536575235,0.7046813493839396,0.6320478370481334,0.505989574308558,0.25359947689298057,0.010114667092525266,599,1,5297,0.75,9273.091839488,3315.1765444498837
temperature,3880.7999999999997,433.7426739130435,0.8889937700585236,real,5319.691839488,2873.319636841188,0.8052325581395349,gate_planes_effb0_yolo11n,0.8082510226772077,0.797656904200763,0.6022970968407225,0.7866041991753713,0.7750903264523182,0.749937471947962,0.7041490988027764,0.6315621058570159,0.5058442094737271,0.25375826092253795,0.010117368897545208,588,1,5297,0.8,9200.491839488,3307.0623107542315
temperature,3748.7999999999997,418.98952173913045,0.8927694921653766,real,5319.691839488,2873.319636841188,0.7906976744186046,gate_planes_effb0_yolo11n,0.7983222303291432,0.7878030890062653,0.5956226841081931,0.7767296807322812,0.7653423284162063,0.7404123299101708,0.6949604225371595,0.623113549376412,0.5053036166211105,0.2541169361035402,0.010122658049641508,568,1,5297,0.8500000000000001,9068.491839488,3292.3091585803186
temperature,3630.0,405.7116847826087,0.8961676420615443,real,5319.691839488,2873.319636841188,0.7790697674418605,gate_planes_effb0_yolo11n,0.7979566001099293,0.7874072557345227,0.5908924738222157,0.7672635357891957,0.7558948386399165,0.7312019103805609,0.6858218864179966,0.622201990724333,0.49763555406159365,0.2534097174912357,0.01013144887287195,550,1,5297,0.9,8949.691839488001,3279.031321623797
temperature,3458.3999999999996,386.53258695652175,0.9010760808004531,real,5319.691839488,2873.319636841188,0.75,gate_planes_effb0_yolo11n,0.7787278159752226,0.7682476326131565,0.5830563581966792,0.7574262338152141,0.7460757955535388,0.7214871703864864,0.6847512198165795,0.6137788835486997,0.49706066599588095,0.25286681209964806,0.010141352162366946,524,1,5297,0.9500000000000001,8778.091839488,3259.85222379771
temperature,0.0,0.0,1.0,real,5319.691839488,2873.319636841188,0.0,gate_planes_effb0_yolo11n,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,1.0,5319.691839488,2873.319636841188
