calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
temperature,34960.2,3907.3723532608697,0.0,real,2971.0423814400006,1695.2160883956822,1.0,gate_planes_mbv3large_yolo11n,0.9061802510313663,0.8952080418956886,0.6608956701587616,0.8834839996282972,0.861592092681324,0.8248649937391802,0.7580358188316374,0.6734402026632587,0.5340031483798973,0.2620559594257199,0.010092193311246953,5297,1,5297,0.0,37931.242381439995,5602.588441656551
temperature,7220.4,806.9974239130436,0.7934680007551445,real,2971.0423814400006,1695.2160883956822,0.9593023255813954,gate_planes_mbv3large_yolo11n,0.9056489768074782,0.885634531538251,0.6564979756217466,0.87404244410025,0.8524449710460733,0.816314154617026,0.7579603626361188,0.6733964065032085,0.5274815010918938,0.2619649598902216,0.01009144798694564,1094,1,5297,0.05,10191.44238144,2502.2135123087255
temperature,6184.2,691.1851793478261,0.8231074192939399,real,2971.0423814400006,1695.2160883956822,0.9505813953488372,gate_planes_mbv3large_yolo11n,0.8963806873777672,0.8854924515981054,0.6550979263198639,0.8738704132081624,0.85227368227202,0.8161049021819796,0.7577667779703909,0.6732556146033897,0.5274627115614156,0.258280574438462,0.01009144798694564,937,1,5297,0.1,9155.24238144,2386.4012677435085
temperature,5629.799999999999,629.2219402173913,0.8389654521427223,real,2971.0423814400006,1695.2160883956822,0.936046511627907,gate_planes_mbv3large_yolo11n,0.8864365682928412,0.8755620182013686,0.6476165851888903,0.8550411496153799,0.8423115476522784,0.8065117944201583,0.7487161916516716,0.6654590389571845,0.5276777085085216,0.2583572724020913,0.010092562187407969,853,1,5297,0.15000000000000002,8600.84238144,2324.4380286130736
temperature,5200.799999999999,581.274195652174,0.8512365489899943,real,2971.0423814400006,1695.2160883956822,0.9302325581395349,gate_planes_mbv3large_yolo11n,0.8864107259889275,0.8755155583858399,0.6476070884256411,0.8549869446697556,0.8421526099511379,0.8063506566337489,0.7485987759496556,0.6655789954463422,0.5279403889825519,0.25844292170350075,0.01009330654494954,788,1,5297,0.2,8171.842381439999,2276.490284047856
temperature,4917.0,549.5549184782609,0.8593543515197282,real,2971.0423814400006,1695.2160883956822,0.9200581395348837,gate_planes_mbv3large_yolo11n,0.8863328548642168,0.8754789508913801,0.6458739741303194,0.8549727361706889,0.8334080543110175,0.7979451474699766,0.7485304554120642,0.6655860877073535,0.5279492262280462,0.25844292170350075,0.01009330654494954,745,1,5297,0.25,7888.04238144,2244.771006873943
temperature,4679.4,522.9992445652174,0.8661506513120634,real,2971.0423814400006,1695.2160883956822,0.8997093023255814,gate_planes_mbv3large_yolo11n,0.8670882086498705,0.8563314319065752,0.6361714606439806,0.8448257794976285,0.8234108756287616,0.7879095380063098,0.738636617884302,0.6560287566960256,0.5194148861328741,0.257971308281479,0.01009720375598045,709,1,5297,0.30000000000000004,7650.44238144,2218.2153329608996
temperature,4481.4,500.8695163043479,0.8718142344723429,real,2971.0423814400006,1695.2160883956822,0.8837209302325582,gate_planes_mbv3large_yolo11n,0.85716586063075,0.846413354820844,0.628065877881392,0.8349281220899258,0.8135334157247731,0.7780508782488794,0.7290714550539144,0.646889360305267,0.511345728275333,0.2531622744271957,0.010098329237038139,679,1,5297,0.35000000000000003,7452.44238144,2196.08560470003
temperature,4342.8,485.37870652173916,0.8757787426845385,real,2971.0423814400006,1695.2160883956822,0.872093023255814,gate_planes_mbv3large_yolo11n,0.8372810761636427,0.826421853750476,0.6123346294951075,0.8060688593340803,0.7936028621217621,0.7581884235314669,0.7096040788525936,0.6281381836495601,0.5013989086036702,0.25252700107998716,0.010115047863836745,658,1,5297,0.4,7313.842381440001,2180.5947949174215
temperature,4191.0,468.4125815217392,0.8801208231074193,real,2971.0423814400006,1695.2160883956822,0.8633720930232558,gate_planes_mbv3large_yolo11n,0.8370296589372689,0.817114364750328,0.6098085529112895,0.8058103005267755,0.7933527061168076,0.7578748876116194,0.7014207438515019,0.6279762892040983,0.49486542194250294,0.252526108308157,0.010115047863836745,635,1,5297,0.45,7162.04238144,2163.6286699174216
