calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
platt,34960.2,3907.3723532608697,0.0,real,764.76475712,868.7368913233513,1.0,gate_planes_mbv3small_yolo11n,0.9061802510313663,0.8952080418956886,0.6608958075065993,0.8834839996282972,0.861592092681324,0.8248649407736455,0.7580357020912749,0.6734402026632587,0.5340051000830509,0.2620479407210361,0.010099803497051715,5297,1,5297,0.0,35724.96475712,4776.1092445842205
platt,9226.8,1031.245336956522,0.7360770247309798,real,764.76475712,868.7368913233513,0.9316860465116279,gate_planes_mbv3small_yolo11n,0.8960286330362575,0.8850697769435871,0.6514073286096406,0.8645227691946215,0.8430030250043212,0.8073307578010056,0.7493383791894974,0.6728890446760624,0.5275328158488958,0.2582545746513873,0.01010350975077087,1398,1,5297,0.05,9991.564757119999,1899.9822282798732
platt,6751.799999999999,754.6237336956523,0.8068718142344724,real,764.76475712,868.7368913233513,0.9069767441860465,gate_planes_mbv3small_yolo11n,0.8664718012308924,0.8556780746549044,0.632930388467571,0.8352213601901661,0.822843958193848,0.7871533158739887,0.7299108098932429,0.6467983995817118,0.5176690795984323,0.25743791110452946,0.010119174353994623,1023,1,5297,0.1,7516.564757119999,1623.3606250190037
platt,5768.4,644.71275,0.8350009439305267,real,764.76475712,868.7368913233513,0.8851744186046512,gate_planes_mbv3small_yolo11n,0.8571079190582557,0.8464411647318646,0.6293281106415682,0.8349808950563892,0.8138247194053052,0.7785560353240485,0.729881027143121,0.6469895640067402,0.5178864498584708,0.25749377117573935,0.010119560655747524,874,1,5297,0.15000000000000002,6533.164757119999,1513.4496413233514
platt,5141.4,574.6352771739131,0.8529356239380781,real,764.76475712,868.7368913233513,0.8633720930232558,gate_planes_mbv3small_yolo11n,0.8374077747149109,0.8267533062806874,0.617529637693093,0.8153140863408187,0.794528667216207,0.7685500770532859,0.7127401831519838,0.6397938369454763,0.5124462897920684,0.2576402700058469,0.010121885429644163,779,1,5297,0.2,5906.164757119999,1443.3721684972643
platt,4837.8,540.703027173913,0.8616197847838399,real,764.76475712,868.7368913233513,0.8546511627906976,gate_planes_mbv3small_yolo11n,0.827285376918393,0.8074552057976667,0.6103049823567996,0.7963511688610947,0.7847598867704979,0.7510578364897913,0.7134433653709789,0.6410597352771586,0.5135134185708087,0.2580003875695459,0.010123441942061058,733,1,5297,0.25,5602.564757120001,1409.4399184972644
platt,4534.2,506.7707771739131,0.8703039456296017,real,764.76475712,868.7368913233513,0.8473837209302325,gate_planes_mbv3small_yolo11n,0.8180663109145351,0.8074316884256262,0.6093650173022,0.7963342821311619,0.7847206378412277,0.7510468182379156,0.7134269816600487,0.6410097288044413,0.5134807017953339,0.25800958126964946,0.010123441942061058,687,1,5297,0.30000000000000004,5298.96475712,1375.5076684972644
platt,4283.4,478.7397880434783,0.8774778176326222,real,764.76475712,868.7368913233513,0.8343023255813954,gate_planes_mbv3small_yolo11n,0.8177390148137654,0.8071060967947646,0.6064967322398251,0.7869855004247343,0.7755228143814418,0.7506120089043153,0.7049382680548342,0.6405390687589699,0.5131821405130398,0.25821651251311,0.01012589723927629,649,1,5297,0.35000000000000003,5048.164757119999,1347.4766793668296
platt,4019.3999999999996,449.2334836956522,0.8850292618463281,real,764.76475712,868.7368913233513,0.8037790697674418,gate_planes_mbv3small_yolo11n,0.8079142332073163,0.7973171573325724,0.5997095129194253,0.7772826333536694,0.7659664286069585,0.7413073720665755,0.7042251856816023,0.6326404223910251,0.5063312971822399,0.2539833282027789,0.010127071169515367,609,1,5297,0.4,4784.164757119999,1317.9703750190035
platt,3854.3999999999996,430.7920434782609,0.8897489144798942,real,764.76475712,868.7368913233513,0.7863372093023255,gate_planes_mbv3small_yolo11n,0.7984794529364743,0.7878893110005291,0.5968745224166464,0.7770412992996626,0.7656628215235193,0.7409538235485924,0.6959716048036652,0.6323700461322079,0.5062899548012628,0.2539569822828983,0.010129927837653218,584,1,5297,0.45,4619.164757119999,1299.5289348016122
