calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
temperature,34960.2,3907.3723532608697,0.0,real,25232.186443776005,1802.2176906088134,1.0,gate_planes_resnet18_yolo11n,0.9061802510313663,0.8952080418956886,0.6608969595907556,0.8834839996282972,0.8615921607994346,0.824865039166472,0.7580358761708912,0.6734404209537173,0.5340080433389174,0.2620559594257199,0.010099803497051715,5297,1,5297,0.0,60192.386443776006,5709.590043869683
temperature,7260.0,811.4233695652174,0.7923352841230885,real,25232.186443776005,1802.2176906088134,0.9418604651162791,gate_planes_resnet18_yolo11n,0.8865705827489954,0.8757206087777427,0.6486574226996271,0.8641722521434311,0.8426746690313711,0.8067585321565554,0.7489393183282333,0.6654824976191783,0.5277976881228809,0.25836329363693594,0.010094784430946297,1100,1,5297,0.05,32492.186443776005,2613.641060174031
temperature,5854.2,654.3022989130435,0.8325467245610723,real,25232.186443776005,1802.2176906088134,0.9273255813953488,gate_planes_resnet18_yolo11n,0.886510995186965,0.875703887831203,0.648618191307806,0.8641482736879544,0.8425932648379796,0.8067467528899435,0.7488899778791345,0.665397850125896,0.5277130956634379,0.2583826591445751,0.010095155830970206,887,1,5297,0.1,31086.386443776006,2456.519989521857
temperature,5260.2,587.9131141304348,0.8495374740419105,real,25232.186443776005,1802.2176906088134,0.9098837209302325,gate_planes_resnet18_yolo11n,0.8670103369716683,0.8562434338019365,0.6387124386210095,0.8449053766986114,0.8239300318660113,0.7891238883970872,0.7415522059196272,0.6666717136212519,0.5289063569903372,0.2586843973967257,0.010096644546837844,797,1,5297,0.15000000000000002,30492.386443776006,2390.130804739248
temperature,4989.599999999999,557.6691521739131,0.8572777043609591,real,25232.186443776005,1802.2176906088134,0.9040697674418605,gate_planes_resnet18_yolo11n,0.8670252692165162,0.8562093728029956,0.6386882045602692,0.8448770965902133,0.8238931114348415,0.7890941184189956,0.7414996970908947,0.6666205779224175,0.5288780256378273,0.25868813194115264,0.010096644546837844,756,1,5297,0.2,30221.786443776004,2359.8868427827265
temperature,4752.0,531.1134782608696,0.8640740041532944,real,25232.186443776005,1802.2176906088134,0.8968023255813954,gate_planes_resnet18_yolo11n,0.8670048403725366,0.8561731343008951,0.6377478534220955,0.8359152584581667,0.8238516604018267,0.788991337504475,0.7414493199001567,0.6664642188276033,0.5288174193347676,0.2587143276138181,0.01009701750670901,720,1,5297,0.25,29984.186443776005,2333.331168869683
temperature,4587.0,512.6720380434783,0.8687936567868605,real,25232.186443776005,1802.2176906088134,0.8895348837209303,gate_planes_resnet18_yolo11n,0.8669096481479981,0.8560496350124885,0.6377223723852417,0.835818818846793,0.8237743737554946,0.7889306198197896,0.7414784093009824,0.6665616633540603,0.5288783683995785,0.2587251697085227,0.01009701750670901,695,1,5297,0.30000000000000004,29819.186443776005,2314.8897286522915
temperature,4441.8,496.44357065217395,0.8729469511043987,real,25232.186443776005,1802.2176906088134,0.8851744186046512,gate_planes_resnet18_yolo11n,0.866851128225505,0.8560215116160265,0.6376815989648452,0.8357674357214511,0.8237037745301111,0.7888937425146461,0.7414152238251331,0.6664462435566954,0.5288889225359321,0.258730989616243,0.01009701750670901,673,1,5297,0.35000000000000003,29673.986443776004,2298.6612612609874
temperature,4329.599999999999,483.90339130434785,0.8761563148952237,real,25232.186443776005,1802.2176906088134,0.877906976744186,gate_planes_resnet18_yolo11n,0.8668483736656295,0.8469397603489421,0.6367580927467285,0.8358033243532592,0.8237140076430314,0.7888771693131436,0.741385641452573,0.666343244153129,0.5288647502110118,0.2587076388198557,0.01009701750670901,656,1,5297,0.4,29561.786443776004,2286.121081913161
temperature,4257.0,475.7891576086957,0.8782329620539928,real,25232.186443776005,1802.2176906088134,0.873546511627907,gate_planes_resnet18_yolo11n,0.8575879127404442,0.8468928085895435,0.6350529155308898,0.8357374138714816,0.8236426912414538,0.7888038364686835,0.7412896714074071,0.658907751030978,0.5288612443768306,0.2587088080753667,0.01009701750670901,645,1,5297,0.45,29489.186443776005,2278.0068482175093
