calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
identity,34960.2,3907.3723532608697,0.0,real,26506.544636416,2931.176081983722,1.0,gate_planes_tiny_yolo11n,0.9061802510313663,0.895208013344794,0.6608966234925681,0.8834839996282972,0.861592092681324,0.8248649937391802,0.7580358188316374,0.6734402026632587,0.5340051000830509,0.2620559594257199,0.010099803497051715,5297,1,5297,0.0,61466.744636416,6838.548435244591
identity,16407.6,1833.8168152173914,0.5306777421181801,real,26506.544636416,2931.176081983722,0.9549418604651163,gate_planes_tiny_yolo11n,0.8964649486498459,0.8856822472086882,0.6554288744719603,0.8739962169709271,0.8523469332547786,0.8159142089082778,0.7575378138944133,0.672990207084888,0.5271836488333415,0.2620719755184439,0.01010054439599912,2486,1,5297,0.05,42914.144636416,4764.992897201113
identity,11259.599999999999,1258.4438804347826,0.6779309042854447,real,26506.544636416,2931.176081983722,0.9331395348837209,gate_planes_tiny_yolo11n,0.896178209396072,0.8853209345543319,0.6521768203826639,0.8646756594785578,0.8517466157811258,0.8069990458810927,0.7489254397777436,0.6724654718596601,0.5268803636759491,0.2584751740442348,0.010101289377870857,1706,1,5297,0.1,37766.144636416,4189.619962418505
identity,8923.199999999999,997.3130869565218,0.7447611855767415,real,26506.544636416,2931.176081983722,0.8982558139534884,gate_planes_tiny_yolo11n,0.8862561599311075,0.8754753998749346,0.6455585800460983,0.8549450912497066,0.8334163175938881,0.7975458508833565,0.747933856921259,0.6647047150420768,0.52682620435403,0.2583824632539935,0.010099741356630582,1352,1,5297,0.15000000000000002,35429.744636416,3928.489168940244
identity,7431.599999999999,830.6024673913045,0.7874268453841797,real,26506.544636416,2931.176081983722,0.873546511627907,gate_planes_tiny_yolo11n,0.8666532306119171,0.8558440191312762,0.6343550044442356,0.8353800264696496,0.822761127832803,0.7870937942898801,0.7302823277481232,0.6564316021162316,0.520571727822946,0.2584297973226971,0.010102391096832556,1126,1,5297,0.2,33938.144636416,3761.778549375026
identity,6606.599999999999,738.3952663043478,0.8110251085520106,real,26506.544636416,2931.176081983722,0.8517441860465116,gate_planes_tiny_yolo11n,0.8473476247499946,0.8367018554545228,0.6253073900795367,0.8253783097468292,0.8043767957859956,0.7781429074549897,0.7221643374376812,0.6492188340440876,0.5210730260310027,0.2585592357468377,0.010110974343424721,1001,1,5297,0.25,33113.144636416,3669.5713482880697
identity,6006.0,671.2684239130435,0.8282046441381914,real,26506.544636416,2931.176081983722,0.8357558139534884,gate_planes_tiny_yolo11n,0.8473464098991602,0.8366409250645687,0.6236648018431696,0.8163649391443358,0.8043666104404325,0.7696350414797892,0.7223136588835323,0.6494211407590545,0.5215969765447411,0.2588468529780707,0.010115463238011588,910,1,5297,0.30000000000000004,32512.544636416,3602.4445058967653
identity,5445.0,608.567527173913,0.8442514630923164,real,26506.544636416,2931.176081983722,0.8052325581395349,gate_planes_tiny_yolo11n,0.8278030879012348,0.8172201438103156,0.6123825071912009,0.7971018605393677,0.7852078387459602,0.7593159713726236,0.7130063661131825,0.6405997729352734,0.5146068419441151,0.2588280611645596,0.010135127385376318,825,1,5297,0.35000000000000003,31951.544636416,3539.7436091576346
identity,5055.599999999999,565.0457282608696,0.8553898433075325,real,26506.544636416,2931.176081983722,0.7906976744186046,gate_planes_tiny_yolo11n,0.8183961174643795,0.8079012752422724,0.6090107537628703,0.7968952450504645,0.7849712036946748,0.7510780663274444,0.7050573028173334,0.6411056694707604,0.5155308041419716,0.2590212858034424,0.010150567615959933,766,1,5297,0.4,31562.144636416,3496.2218102445913
identity,4758.599999999999,531.8511358695653,0.8638852180479517,real,26506.544636416,2931.176081983722,0.7703488372093024,gate_planes_tiny_yolo11n,0.8085114107457619,0.7980723321249626,0.6028646508123058,0.7870918827070992,0.7754893410812362,0.741880077312815,0.7044146475389382,0.6328187166660788,0.5154447911137269,0.25476657891715937,0.010156729915279293,721,1,5297,0.45,31265.144636416,3463.027217853287
identity,4488.0,501.60717391304354,0.8716254483670002,real,26506.544636416,2931.176081983722,0.748546511627907,gate_planes_tiny_yolo11n,0.7986232808415612,0.7882333331028756,0.5962894520816269,0.7772646043673372,0.765812868740194,0.7322762798286175,0.6955502308489636,0.6318740086007987,0.5084824476944259,0.25469086681147485,0.010086599980019515,680,1,5297,0.5,30994.544636416,3432.7832558967652
identity,4118.4,460.29834782608697,0.8821974702661884,real,26506.544636416,2931.176081983722,0.7180232558139535,gate_planes_tiny_yolo11n,0.788415350764371,0.7781140027839485,0.5877543532418079,0.7672841101436635,0.746938948025473,0.7226488652185873,0.686190221143774,0.6230817080577437,0.5005100740866236,0.254272642659577,0.010087609534316646,624,1,5297,0.55,30624.944636416003,3391.474429809809
identity,3788.3999999999996,423.4154673913044,0.8916367755333208,real,26506.544636416,2931.176081983722,0.690406976744186,gate_planes_tiny_yolo11n,0.7690670668743471,0.7587526345528083,0.5757462286681386,0.748137171342345,0.736792267388128,0.7125704310638853,0.6681071262225922,0.6058163130551012,0.49901474405748664,0.24908585997742191,0.0101186721472716,574,1,5297,0.6000000000000001,30294.944636416003,3354.5915493750263
