calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
platt,34960.2,3907.3723532608697,0.0,real,26506.544636416,2931.176081983722,1.0,gate_planes_tiny_yolo11n,0.9061802510313663,0.895208013344794,0.6608966234925681,0.8834839996282972,0.861592092681324,0.8248649937391802,0.7580358188316374,0.6734402026632587,0.5340051000830509,0.2620559594257199,0.010099803497051715,5297,1,5297,0.0,61466.744636416,6838.548435244591
platt,11748.0,1313.030543478261,0.6639607324900887,real,26506.544636416,2931.176081983722,0.936046511627907,gate_planes_tiny_yolo11n,0.8961783324701762,0.8853262869536096,0.6521785501521413,0.8646756594785578,0.8517584380025187,0.8069990458810927,0.7489254397777436,0.6724654718596601,0.5268803636759491,0.2584751740442348,0.010101289377870857,1780,1,5297,0.05,38254.544636416,4244.206625461983
platt,8302.8,927.9732717391305,0.7625070794789504,real,26506.544636416,2931.176081983722,0.8866279069767442,gate_planes_tiny_yolo11n,0.8668804157619867,0.8561672840180212,0.6354675815700094,0.8445884874827511,0.8231985251936121,0.7876449996592382,0.7306089634920885,0.6567464993570659,0.5202974028354163,0.2584416263591512,0.010101611540761569,1258,1,5297,0.1,34809.344636416005,3859.1493537228525
platt,6824.4,762.7379673913044,0.8047951670757032,real,26506.544636416,2931.176081983722,0.8590116279069767,gate_planes_tiny_yolo11n,0.857017605235848,0.8462625782206769,0.6296904399242362,0.8259747590720974,0.8136789582207457,0.7784704383278932,0.7301717004147514,0.6562541331893347,0.5206795920483762,0.25828982259846917,0.010104811914170854,1034,1,5297,0.15000000000000002,33330.944636416,3693.9140493750265
platt,5986.2,669.0554510869565,0.8287710024542194,real,26506.544636416,2931.176081983722,0.8343023255813954,gate_planes_tiny_yolo11n,0.8473464098991602,0.8366409250645687,0.6236648018431696,0.8163649391443358,0.8043666104404325,0.7696350414797892,0.7223136588835323,0.6494211407590545,0.5215969765447411,0.2588468529780707,0.010115463238011588,907,1,5297,0.2,32492.744636416002,3600.2315330706783
platt,5352.599999999999,598.240320652174,0.8468944685671135,real,26506.544636416,2931.176081983722,0.8037790697674418,gate_planes_tiny_yolo11n,0.8277845918071788,0.8171900525182918,0.6123865728205016,0.7970821925265053,0.7852388945276225,0.7593438663807561,0.7130290423142859,0.6406149449481564,0.5146165864228498,0.25883042937399336,0.010135127385376318,811,1,5297,0.25,31859.144636416,3529.416402635896
platt,4963.2,554.7185217391304,0.8580328487823297,real,26506.544636416,2931.176081983722,0.7863372093023255,gate_planes_tiny_yolo11n,0.8183421432331093,0.8078666816589668,0.6089715485025646,0.7968569362912152,0.7849099587571948,0.7510174895431958,0.7049746451101981,0.6410323676799287,0.5155118952476275,0.2590524068872636,0.010150960616946687,752,1,5297,0.30000000000000004,31469.744636416002,3485.8946037228525
platt,4672.8,522.2615869565218,0.866339437417406,real,26506.544636416,2931.176081983722,0.7616279069767442,gate_planes_tiny_yolo11n,0.8079999583813624,0.7976125067091056,0.5992206816937007,0.7774943571866797,0.7661126791726449,0.7413221288622482,0.6958597524855168,0.6323441918703195,0.5084724217222666,0.2548301068288174,0.01015871371804568,708,1,5297,0.35000000000000003,31179.344636416,3453.4376689402434
platt,4309.8,481.6904184782609,0.8767226732112516,real,26506.544636416,2931.176081983722,0.7340116279069767,gate_planes_tiny_yolo11n,0.7889357256611892,0.7877512953705132,0.5915839533805414,0.7677101124782612,0.7563883100917801,0.731948868225565,0.686695193798424,0.62385732248338,0.5082304924711986,0.254269766543957,0.010052446681145095,653,1,5297,0.4,30816.344636416,3412.8665004619825
platt,4052.3999999999996,452.92177173913046,0.8840853313196149,real,26506.544636416,2931.176081983722,0.7122093023255814,gate_planes_tiny_yolo11n,0.7790485272464976,0.7687138587633958,0.5833209575916257,0.7580626535993196,0.7467424471603231,0.7224125203526256,0.6777334986081452,0.6152814204524613,0.5007605822660565,0.25436315035643664,0.01009091711099652,614,1,5297,0.45,30558.944636416003,3384.097853722852
platt,3762.0,420.46483695652176,0.8923919199546914,real,26506.544636416,2931.176081983722,0.6875,gate_planes_tiny_yolo11n,0.7689353934191676,0.7586575860958047,0.5741057254845782,0.7479349442543582,0.736559054879125,0.7037048095744545,0.6679576411939943,0.6055988919698579,0.49205682521067423,0.24952462387725954,0.010127484371084884,570,1,5297,0.5,30268.544636416,3351.6409189402434
platt,3445.2,385.05727173913044,0.9014536530111383,real,26506.544636416,2931.176081983722,0.6308139534883721,gate_planes_tiny_yolo11n,0.7301708489001801,0.7290779957734597,0.5555590178233205,0.7186865141251957,0.7077567580504222,0.6844553702666796,0.6506475963053749,0.5895335809667723,0.48602435326489163,0.24912564039290097,0.01011152018732902,522,1,5297,0.55,29951.744636416002,3316.2333537228524
platt,3115.2,348.17439130434786,0.9108929582782708,real,26506.544636416,2931.176081983722,0.5843023255813954,gate_planes_tiny_yolo11n,0.7101036400377712,0.6999205843106509,0.5363670130522845,0.6896271997379925,0.6787309731303156,0.6558176717775732,0.6309767247285948,0.5703402918681371,0.4753432419314783,0.2427780632201629,0.010031739780168188,472,1,5297,0.6000000000000001,29621.744636416002,3279.3504732880697
platt,2871.0,320.8810597826087,0.9178780441759486,real,26506.544636416,2931.176081983722,0.5392441860465116,gate_planes_tiny_yolo11n,0.6811372069803726,0.6801710741027366,0.5206668057589187,0.6700280398216107,0.6591543055912349,0.6365305342819854,0.612269733944036,0.5607338660657698,0.4604249083155433,0.23616082200150526,0.010057566484392003,435,1,5297,0.65,29377.544636416,3252.0571417663305
