calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
isotonic,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,codesign_small_vehicle_early_exit,0.46409689230717693,0.43910578836698266,0.20722058527514714,0.39496202097822886,0.3307466175802878,0.24060823344665644,0.13539707857177424,0.053239510453280826,0.012709737370357202,0.0013201320132013201,1.984166352506994e-05,5297,1,5297,0.0,1000011.6890030081,110735.14701721433
isotonic,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,codesign_small_vehicle_early_exit,0.46409689230717693,0.43910578836698266,0.20722058527514714,0.39496202097822886,0.3307466175802878,0.24060823344665644,0.13539707857177424,0.053239510453280826,0.012709737370357202,0.0013201320132013201,1.984166352506994e-05,5297,1,5297,0.05,1000011.6890030081,110735.14701721433
isotonic,951040.300023808,106280.04129882902,0.02435340758920146,real,25232.186443776005,1802.2176906088134,0.9941785252263907,codesign_small_vehicle_early_exit,0.46339167735544773,0.43830937939974834,0.20674830461977275,0.39416986424576383,0.32995637167256014,0.2398139524448799,0.13489997708967613,0.05295253374294025,0.012649316569984748,0.0013201320132013201,1.984166352506994e-05,5168,1,5297,0.1,976272.486467584,108082.25898943783
isotonic,525574.902644736,58733.707033563405,0.46082688314140074,real,25232.186443776005,1802.2176906088134,0.8117723156532989,codesign_small_vehicle_early_exit,0.3797802076740318,0.35639488045377504,0.1674464796580441,0.32070165845603776,0.26369681331644607,0.19027484718768456,0.10784741167976802,0.04360348904049711,0.010825395085412895,0.0013201320132013201,1.996167358671351e-05,2856,1,5297,0.15000000000000002,550807.089088512,60535.92472417222
isotonic,491714.33468723204,54949.74271487445,0.4955635265244478,real,25232.186443776005,1802.2176906088134,0.7930142302716688,codesign_small_vehicle_early_exit,0.36993140430864724,0.34700524138681244,0.1631531120393472,0.31199674808111405,0.2561487433195359,0.1845880873196665,0.10647650160338082,0.043245551356918065,0.010798749330609094,0.0013201320132013201,1.996167358671351e-05,2672,1,5297,0.2,516946.52113100805,56751.96040548326
isotonic,428777.84424448,47916.504687746055,0.560128374551633,real,25232.186443776005,1802.2176906088134,0.740620957309185,codesign_small_vehicle_early_exit,0.3450753209389484,0.32312056977391646,0.15300278573251186,0.29014867400562044,0.24112173007199206,0.17631651649141988,0.10127538316792134,0.04085555420166794,0.010773974660230518,0.0013201320132013201,2.0002000200020003e-05,2330,1,5297,0.25,454010.030688256,49718.72237835487
isotonic,428041.744941056,47834.24459386151,0.5608835189730036,real,25232.186443776005,1802.2176906088134,0.7399741267787839,codesign_small_vehicle_early_exit,0.34499268830824675,0.32304627451949913,0.15296439519787558,0.29008009714958916,0.24105613202856022,0.1762797706819716,0.10122038656092637,0.04085335301003644,0.010775115706525017,0.0013201320132013201,2.0002000200020003e-05,2326,1,5297,0.30000000000000004,453273.931384832,49636.462284470326
isotonic,399149.847281664,44605.53590889322,0.5905229375117991,real,25232.186443776005,1802.2176906088134,0.7082794307891332,codesign_small_vehicle_early_exit,0.32635507762557764,0.30498353080345947,0.14509334028602042,0.27713526256557935,0.22950332279458402,0.16479425924259103,0.09617315855236618,0.03996742626849894,0.010681230994146352,0.0013201320132013201,2.0002000200020003e-05,2169,1,5297,0.35000000000000003,424382.03372544004,46407.75359950203
isotonic,399149.847281664,44605.53590889322,0.5905229375117991,real,25232.186443776005,1802.2176906088134,0.7082794307891332,codesign_small_vehicle_early_exit,0.32635507762557764,0.30498353080345947,0.14509334028602042,0.27713526256557935,0.22950332279458402,0.16479425924259103,0.09617315855236618,0.03996742626849894,0.010681230994146352,0.0013201320132013201,2.0002000200020003e-05,2169,1,5297,0.4,424382.03372544004,46407.75359950203
isotonic,309713.781915648,34610.93450192129,0.6822729847083255,real,25232.186443776005,1802.2176906088134,0.5730918499353169,codesign_small_vehicle_early_exit,0.2634268709225457,0.24845267628690387,0.11765610578209129,0.220384148571545,0.18435798503904846,0.13525347164912313,0.07996802133593708,0.03383178096020205,0.009450919105945966,0.0014144271570014143,2.0756792660398117e-05,1683,1,5297,0.45,334945.96835942403,36413.152192530106
