calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
isotonic,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,codesign_small_vehicle_relaxed,0.4640969459524498,0.43910613037413027,0.2072207747207421,0.3949618021477602,0.3307467165486183,0.24060801291396436,0.13539693832795577,0.05324152294588788,0.012709704319927531,0.0013201320132013201,1.984166352506994e-05,5297,1,5297,0.0,1000011.6890030081,110735.14701721433
isotonic,930797.5691796481,104017.8887170041,0.04511987917689253,real,25232.186443776005,1802.2176906088134,0.9967658473479948,codesign_small_vehicle_relaxed,0.46407996853552647,0.4390918823053915,0.20721233461215718,0.3949451660405417,0.3307436121427546,0.24059562831048026,0.13538416823413246,0.053231543486940945,0.012711403389077261,0.0013201320132013201,1.984166352506994e-05,5058,1,5297,0.05,956029.7556234241,105820.10640761291
isotonic,809157.159288832,90424.40820258344,0.16990749480838208,real,25232.186443776005,1802.2176906088134,0.9708926261319534,codesign_small_vehicle_relaxed,0.46185667467781727,0.43172983338878856,0.20521194836244105,0.392629477350543,0.3285553965149204,0.23593510086244515,0.13487378264938885,0.05304960308204844,0.01214964142173221,0.0013201320132013201,1.984166352506994e-05,4397,1,5297,0.1,834389.345732608,92226.62589319225
isotonic,752845.562576896,84131.51102041593,0.22767604304323197,real,25232.186443776005,1802.2176906088134,0.9469598965071151,codesign_small_vehicle_relaxed,0.4614659511210854,0.4313919112984527,0.20505643464694182,0.39235201367801487,0.3282259448480773,0.2357937588225983,0.13479737077519827,0.053042170768220126,0.012155251481044627,0.0013201320132013201,1.984166352506994e-05,4091,1,5297,0.15000000000000002,778077.749020672,85933.72871102474
isotonic,685676.501139456,76625.27745345142,0.29658297149329804,real,25232.186443776005,1802.2176906088134,0.908150064683053,codesign_small_vehicle_relaxed,0.4555584356861723,0.4308659562311813,0.20340479219941035,0.3870502576755948,0.3237127290824439,0.23562504188624261,0.13472423446309467,0.05300801240480516,0.012163280887842269,0.0013201320132013201,1.984166352506994e-05,3726,1,5297,0.2,710908.6875832321,78427.49514406023
isotonic,681075.880493056,76111.15186667303,0.30130262412686426,real,25232.186443776005,1802.2176906088134,0.9049159120310478,codesign_small_vehicle_relaxed,0.45554191343522416,0.4308471567284997,0.20339694822682386,0.38702880922419086,0.3237009892605175,0.23562066124409453,0.13471674932933556,0.053009787664837785,0.012163441704812115,0.0013201320132013201,1.984166352506994e-05,3701,1,5297,0.25,706308.066936832,77913.36955728184
isotonic,627156.606517248,70085.59998963028,0.3566169529922598,real,25232.186443776005,1802.2176906088134,0.8564036222509702,codesign_small_vehicle_relaxed,0.444261009330744,0.41960534537405375,0.19749140735879717,0.376223304912337,0.31355157446860066,0.22726489508914374,0.12974057013988993,0.050709131966010464,0.012212723139890696,0.0013201320132013201,2.5387154100025386e-05,3408,1,5297,0.30000000000000004,652388.792961024,71887.8176802391
isotonic,596240.43577344,66630.6760464795,0.3883330186898244,real,25232.186443776005,1802.2176906088134,0.8221216041397154,codesign_small_vehicle_relaxed,0.4232690188022735,0.3938739031705209,0.18654704265561134,0.3561072190879667,0.29513252442299004,0.21204376994118446,0.12225228323188059,0.04919524712487318,0.012100354556307443,0.0014668133480014668,2.9292870115413907e-05,3240,1,5297,0.35000000000000003,621472.6222172161,68432.8937370883
isotonic,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_small_vehicle_relaxed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.4,25232.186443776005,1802.2176906088134
isotonic,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_small_vehicle_relaxed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.45,25232.186443776005,1802.2176906088134
