calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
platt,974779.5025592321,108932.92932660552,0.0,real,25232.186443776005,1802.2176906088134,1.0,codesign_small_vehicle_shared,0.46409647120306147,0.4391059194245618,0.20722060024585445,0.39496202318464096,0.3307468975945087,0.24060823344665644,0.13539707857177424,0.05323966798625721,0.012709737370357202,0.0013201320132013201,1.984166352506994e-05,5297,1,5297,0.0,1000011.6890030081,110735.14701721433
platt,845778.099634176,94516.84787333943,0.13233905984519534,real,25232.186443776005,1802.2176906088134,1.0,codesign_small_vehicle_shared,0.46409697265062533,0.4391057255730491,0.20722059884978966,0.3949620501716081,0.33074662856862086,0.2406082116628374,0.13539707857177424,0.05323966798625721,0.012709679636398042,0.0013201320132013201,1.984166352506994e-05,4596,1,5297,0.05,871010.286077952,96319.06556394824
platt,787810.2794895361,88038.8654799317,0.1918066830281291,real,25232.186443776005,1802.2176906088134,1.0,codesign_small_vehicle_shared,0.46409697265062533,0.4391057255730491,0.20722059884978966,0.3949620501716081,0.33074662856862086,0.2406082116628374,0.13539707857177424,0.05323966798625721,0.012709679636398042,0.0013201320132013201,1.984166352506994e-05,4281,1,5297,0.1,813042.4659333121,89841.08317054051
platt,751741.41362176,84008.12087958911,0.2288087596752879,real,25232.186443776005,1802.2176906088134,1.0,codesign_small_vehicle_shared,0.46409697265062533,0.4391057255730491,0.20722059884978966,0.3949620501716081,0.33074662856862086,0.2406082116628374,0.13539707857177424,0.05323966798625721,0.012709679636398042,0.0013201320132013201,1.984166352506994e-05,4085,1,5297,0.15000000000000002,776973.600065536,85810.33857019793
platt,725977.93800192,81129.01759363012,0.25523881442325846,real,25232.186443776005,1802.2176906088134,1.0,codesign_small_vehicle_shared,0.46409697265062533,0.43910580130845184,0.20722060642332996,0.3949620501716081,0.33074662856862086,0.2406082116628374,0.13539707857177424,0.05323966798625721,0.012709679636398042,0.0013201320132013201,1.984166352506994e-05,3945,1,5297,0.2,751210.124445696,82931.23528423894
platt,704631.058202624,78743.47487097839,0.2771380026430055,real,25232.186443776005,1802.2176906088134,1.0,codesign_small_vehicle_shared,0.46409697265062533,0.43910580130845184,0.20722060642332996,0.3949620501716081,0.33074662856862086,0.2406082116628374,0.13539707857177424,0.05323966798625721,0.012709679636398042,0.0013201320132013201,1.984166352506994e-05,3829,1,5297,0.25,729863.2446464,80545.6925615872
platt,679235.6322344961,75905.50163196167,0.3031904851802907,real,25232.186443776005,1802.2176906088134,0.9961190168175937,codesign_small_vehicle_shared,0.4639228352209373,0.438927824097039,0.20711815226181612,0.39477244939100875,0.33058706298944407,0.24042399686012292,0.13532230993437552,0.05318953608103853,0.012695534367468399,0.0013201320132013201,1.984166352506994e-05,3691,1,5297,0.30000000000000004,704467.8186782721,77707.71932257048
platt,442947.755835392,49500.0114950235,0.5455918444402492,real,25232.186443776005,1802.2176906088134,0.4851228978007762,codesign_small_vehicle_shared,0.07319346762934625,0.06587126652928449,0.03360778388935219,0.0579827661074445,0.05199391889159486,0.03732161783954839,0.02542377849534817,0.013457433103905186,0.009900990099009901,0.0008847693279966295,4.783087004352609e-05,2407,1,5297,0.35000000000000003,468179.942279168,51302.22918563231
platt,188809.471328256,21099.714081385173,0.8063054559184444,real,25232.186443776005,1802.2176906088134,0.09702457956015524,codesign_small_vehicle_shared,0.009900990099009901,0.009900990099009901,0.006511367164591024,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.004455445544554456,0.0011315417256011315,0.0001207437816952427,0.0,1026,1,5297,0.4,214041.65777203202,22901.931771993986
platt,57047.69601536,6375.15727605205,0.9414763073437795,real,25232.186443776005,1802.2176906088134,0.019404915912031046,codesign_small_vehicle_shared,0.009900990099009901,0.009900990099009901,0.00544018687583044,0.009900990099009901,0.009900990099009901,0.007425742574257425,0.0036003600360036006,0.0033003300330033,0.0004714757190004715,0.0,0.0,310,1,5297,0.45,82279.882459136,8177.374966660864
platt,19138.581889024,2138.762440998107,0.9803662450443648,real,25232.186443776005,1802.2176906088134,0.0038809831824062097,codesign_small_vehicle_shared,0.009900990099009901,0.009900990099009901,0.005321782178217821,0.009900990099009901,0.009900990099009901,0.007425742574257425,0.0037128712871287127,0.0024752475247524753,0.0,0.0,0.0,104,1,5297,0.5,44370.768332800006,3940.9801316069206
platt,8281.11716352,925.4260562011041,0.9915046252595809,real,25232.186443776005,1802.2176906088134,0.0,codesign_small_vehicle_shared,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45,1,5297,0.55,33513.30360729601,2727.6437468099175
platt,2576.347561984,287.91032859589905,0.997356994525203,real,25232.186443776005,1802.2176906088134,0.0,codesign_small_vehicle_shared,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14,1,5297,0.6000000000000001,27808.534005760004,2090.1280192047125
platt,1104.148955136,123.39014082681388,0.9988672833679442,real,25232.186443776005,1802.2176906088134,0.0,codesign_small_vehicle_shared,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1,5297,0.65,26336.335398912004,1925.6078314356273
platt,184.024825856,20.565023471135646,0.9998112138946573,real,25232.186443776005,1802.2176906088134,0.0,codesign_small_vehicle_shared,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,5297,0.7000000000000001,25416.211269632004,1822.782714079949
platt,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_small_vehicle_shared,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.75,25232.186443776005,1802.2176906088134
platt,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_small_vehicle_shared,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.8,25232.186443776005,1802.2176906088134
platt,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_small_vehicle_shared,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.8500000000000001,25232.186443776005,1802.2176906088134
platt,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_small_vehicle_shared,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.9,25232.186443776005,1802.2176906088134
platt,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_small_vehicle_shared,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,0.9500000000000001,25232.186443776005,1802.2176906088134
platt,0.0,0.0,1.0,real,25232.186443776005,1802.2176906088134,0.0,codesign_small_vehicle_shared,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,1.0,25232.186443776005,1802.2176906088134
