calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
platt,974779.5025592321,108932.92932660552,0.0,real,5319.691839488,2873.319636841188,1.0,gate_small_vehicle_effb0,0.4640968890620591,0.43910596728508766,0.20722060920552127,0.3949620226890202,0.3307467165486183,0.24060830106707817,0.13539693832795577,0.053239546028309596,0.012709737370357202,0.0013201320132013201,1.984166352506994e-05,5297,1,5297,0.0,980099.19439872,111806.2489634467
platt,511957.065531392,57211.89529669937,0.4747970549367566,real,5319.691839488,2873.319636841188,0.9922380336351876,gate_small_vehicle_effb0,0.46413210737464305,0.43925614512093464,0.207302374340663,0.39510937525091194,0.3309521801037778,0.24076820715607056,0.13547911378728567,0.05326987245319835,0.012716768483081509,0.0013201320132013201,1.984166352506994e-05,2782,1,5297,0.05,517276.75737088,60085.214933540556
platt,469079.281106944,52420.24482792476,0.5187842174815933,real,5319.691839488,2873.319636841188,0.9747736093143596,gate_small_vehicle_effb0,0.46277480128964804,0.4332011299518314,0.20648741753603178,0.39455730377178927,0.3305436570107434,0.2407492237934509,0.13562194802985586,0.053349218801328736,0.012736919034943683,0.0013201320132013201,1.984166352506994e-05,2549,1,5297,0.1,474398.972946432,55293.56446476595
platt,434114.564194304,48512.89036840899,0.5546535774966963,real,5319.691839488,2873.319636841188,0.963130659767141,gate_small_vehicle_effb0,0.463111666050877,0.4334341182383894,0.20660538532250544,0.3947747630565573,0.33072079747839844,0.2408852831088972,0.13567349508597581,0.05336833469866572,0.012745421830566886,0.0013201320132013201,1.984166352506994e-05,2359,1,5297,0.15000000000000002,439434.256033792,51386.21000525018
platt,405038.64170905604,45263.61665996956,0.5844817821408345,real,5319.691839488,2873.319636841188,0.9482535575679172,gate_small_vehicle_effb0,0.4572410895557703,0.43307330858140974,0.20553932967950783,0.3944638529673331,0.33042680927333035,0.23716988161512095,0.1356303826493343,0.05330655221525069,0.012741406418104301,0.0013201320132013201,1.9881506222911447e-05,2201,1,5297,0.2,410358.33354854403,48136.936296810745
platt,375042.595094528,41911.51783417445,0.6152539173116859,real,5319.691839488,2873.319636841188,0.9217335058214747,gate_small_vehicle_effb0,0.45477032026549585,0.4253497407355805,0.20287288387410757,0.38728347072317154,0.32406077009181794,0.23581074498933577,0.13489282253416482,0.05307186260046263,0.012149053278591782,0.0013201320132013201,1.992150925354105e-05,2038,1,5297,0.25,380362.286934016,44784.837471015635
platt,354983.889076224,39669.93027582066,0.6358316027940343,real,5319.691839488,2873.319636841188,0.907503234152652,gate_small_vehicle_effb0,0.4482747413623244,0.4245705884045979,0.20194074958529087,0.38649823768248304,0.323488750001287,0.235427361885492,0.13467020806541855,0.05299259269021628,0.01214496223863472,0.0013201320132013201,1.992150925354105e-05,1929,1,5297,0.30000000000000004,360303.580915712,42543.24991266185
platt,330508.587237376,36934.78215415962,0.6609401548046063,real,5319.691839488,2873.319636841188,0.8764553686934023,gate_small_vehicle_effb0,0.44718450386546793,0.42380373655669934,0.20161556480483017,0.38596310321022675,0.32307109533249573,0.2351636244933471,0.13451502913879299,0.0529697521471821,0.012144669290687915,0.0013201320132013201,2.0002000200020003e-05,1796,1,5297,0.35000000000000003,335828.279076864,39808.10179100081
platt,310633.906044928,34713.75961927697,0.6813290541816122,real,5319.691839488,2873.319636841188,0.851875808538163,gate_small_vehicle_effb0,0.4466631747360584,0.42325269019025624,0.20058196521711644,0.38046602977466193,0.3226038421195326,0.2347878790259938,0.13168042228195592,0.05288867567937227,0.012136723205914636,0.0013201320132013201,2.008314421705862e-05,1688,1,5297,0.4,315953.597884416,37587.07925611816
platt,292967.522762752,32739.51736604795,0.6994525202945063,real,5319.691839488,2873.319636841188,0.8279430789133247,gate_small_vehicle_effb0,0.44045915625487114,0.41727403535550917,0.19818203540806273,0.37998732824896625,0.3175272755369844,0.2305437134670255,0.13138704597744344,0.05117959714273228,0.012121986939676671,0.0013201320132013201,2.008314421705862e-05,1592,1,5297,0.45,298287.21460224,35612.83700288914
