calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
temperature,974779.5025592321,108932.92932660552,0.0,real,5319.691839488,2873.319636841188,1.0,gate_small_vehicle_effb0,0.4640968890620591,0.43910596728508766,0.20722060920552127,0.3949620226890202,0.3307467165486183,0.24060830106707817,0.13539693832795577,0.053239546028309596,0.012709737370357202,0.0013201320132013201,1.984166352506994e-05,5297,1,5297,0.0,980099.19439872,111806.2489634467
temperature,539376.7645839361,60276.08379389858,0.4466679252407023,real,5319.691839488,2873.319636841188,0.9954721862871928,gate_small_vehicle_effb0,0.46420567011324365,0.43920777130176486,0.20726221423873828,0.39503912665053204,0.33080514010851836,0.24065098971974036,0.1354143472515395,0.05324737993870523,0.012711743626612204,0.0013201320132013201,1.984166352506994e-05,2931,1,5297,0.05,544696.4564234241,63149.40343073977
temperature,497235.079462912,55566.693419008516,0.4898999433641684,real,5319.691839488,2873.319636841188,0.9864165588615783,gate_small_vehicle_effb0,0.4631646391192698,0.43834919508642345,0.2069494006302671,0.3943915093454167,0.33024905365735435,0.24047875536960506,0.13549310399353764,0.05330145929171297,0.012726316762624482,0.0013201320132013201,1.984166352506994e-05,2702,1,5297,0.1,502554.7713024,58440.013055849704
temperature,468527.20662937604,52358.549757511355,0.5193505757976213,real,5319.691839488,2873.319636841188,0.9741267787839586,gate_small_vehicle_effb0,0.46277104221672777,0.4332010415412787,0.2064866699806922,0.39455669517161285,0.3305433253945607,0.24074652738625152,0.13562194802985586,0.053349218801328736,0.01273692758857949,0.0013201320132013201,1.984166352506994e-05,2546,1,5297,0.15000000000000002,473846.89846886403,55231.86939435254
temperature,441659.5820544,49356.05633072555,0.5469133471776477,real,5319.691839488,2873.319636841188,0.9650711513583441,gate_small_vehicle_effb0,0.4630361813265036,0.43338817186176415,0.20658126351813005,0.39473665200104735,0.3306840688808988,0.24085648214784333,0.1356636233501569,0.053364242713124885,0.012743239223234858,0.0013201320132013201,1.984166352506994e-05,2400,1,5297,0.2,446979.273893888,52229.37596756674
temperature,417184.280215552,46620.90820906451,0.5720218991882198,real,5319.691839488,2873.319636841188,0.9540750323415266,gate_small_vehicle_effb0,0.4572267584475293,0.43307857490473994,0.20554194846708346,0.39445663895576466,0.3304218174702598,0.23717358187647,0.13564923942015059,0.05332809677570195,0.012744803143491688,0.0013201320132013201,1.984166352506994e-05,2267,1,5297,0.25,422503.97205504,49494.2278459057
temperature,392893.00320256,43906.325110874604,0.5969416650934491,real,5319.691839488,2873.319636841188,0.9372574385510997,gate_small_vehicle_effb0,0.45600132715338476,0.4317704820072551,0.20390959026158484,0.388289493723983,0.3249095607798048,0.236310404937196,0.1351444489345048,0.05317307724971897,0.012157054307546308,0.0013201320132013201,1.992150925354105e-05,2135,1,5297,0.30000000000000004,398212.695042048,46779.64474771579
temperature,369705.875144704,41315.13215351151,0.6207287143666227,real,5319.691839488,2873.319636841188,0.9184993531694696,gate_small_vehicle_effb0,0.4539608442768237,0.4245949931085039,0.2024989360735266,0.3864753045386867,0.32342728060987597,0.23539984904841155,0.1346429411840857,0.05300355673909966,0.0121445377073239,0.0013201320132013201,1.992150925354105e-05,2009,1,5297,0.35000000000000003,375025.566984192,44188.4517903527
temperature,352959.615991808,39443.71501763817,0.6379082499528035,real,5319.691839488,2873.319636841188,0.9062095730918499,gate_small_vehicle_effb0,0.4482550057903609,0.42455667860204443,0.2019314771057224,0.3864820832756645,0.3234611202048894,0.23540744642081196,0.1346706960148427,0.05299638542461364,0.012145301801541582,0.0013201320132013201,1.992150925354105e-05,1918,1,5297,0.4,358279.307831296,42317.03465447936
temperature,330324.56241152,36914.217130688485,0.661128940909949,real,5319.691839488,2873.319636841188,0.8764553686934023,gate_small_vehicle_effb0,0.4471974546544538,0.4238158102225121,0.2016209852949137,0.38597363164028814,0.3230796923188686,0.23516972267845124,0.13451789067724854,0.05297075261069534,0.012144764133217627,0.0013201320132013201,2.0002000200020003e-05,1795,1,5297,0.45,335644.254251008,39787.53676752967
