calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
temperature,974779.5025592321,108932.92932660552,0.0,real,2971.0423814400006,1695.2160883956822,1.0,gate_small_vehicle_mbv3large,0.4640964488719977,0.4391056915396396,0.207220488761681,0.3949620501716081,0.33074682182796583,0.24060786373513912,0.135396789970095,0.053239510453280826,0.012709737370357202,0.0013201320132013201,1.984166352506994e-05,5297,1,5297,0.0,977750.5449406721,110628.1454150012
temperature,502571.799412736,56163.07909967145,0.4844251463092316,real,2971.0423814400006,1695.2160883956822,0.9928848641655886,gate_small_vehicle_mbv3large,0.4640602339083687,0.43908621452711366,0.20721526175792276,0.3949487896507533,0.3307614298853246,0.24061133826604514,0.13539288856371728,0.053240643225913306,0.0127111058752655,0.0013201320132013201,1.984166352506994e-05,2731,1,5297,0.05,505542.841794176,57858.29518806713
temperature,460982.18876928004,51515.38379519479,0.5270908061166698,real,2971.0423814400006,1695.2160883956822,0.9786545924967659,gate_small_vehicle_mbv3large,0.4640247306676023,0.4390770505348462,0.2072055854662871,0.39493684263948214,0.33073936120370045,0.24059570487512247,0.13539490054433304,0.053235944272521304,0.012711346248536658,0.0013201320132013201,1.984166352506994e-05,2505,1,5297,0.1,463953.23115072004,53210.599883590476
temperature,428961.869070336,47937.06971121719,0.5599395884462903,real,2971.0423814400006,1695.2160883956822,0.96248382923674,gate_small_vehicle_mbv3large,0.46269516065068483,0.43263183701364555,0.20564944458969214,0.3938115301860423,0.32966361851991144,0.2361923491620023,0.1349779523848698,0.05304185198200079,0.012140172321038117,0.0013201320132013201,1.984166352506994e-05,2331,1,5297,0.15000000000000002,431932.911451776,49632.28579961287
temperature,407062.91479347204,45489.83191815205,0.5824051349820654,real,2971.0423814400006,1695.2160883956822,0.9508408796895214,gate_small_vehicle_mbv3large,0.4626309104824242,0.4325736974056011,0.2056156570356269,0.3937428393625861,0.329585410749748,0.23617194422322785,0.13494058841859194,0.0530271957007596,0.012143970493905682,0.0013201320132013201,1.9881506222911447e-05,2212,1,5297,0.2,410033.95717491204,47185.04800654773
temperature,380931.38952192,42569.59858525079,0.6092127619407212,real,2971.0423814400006,1695.2160883956822,0.9404915912031048,gate_small_vehicle_mbv3large,0.4626156949709878,0.4325450004424008,0.20558964630669604,0.3937112283698544,0.32953800621375545,0.23611350726579486,0.13490946505761603,0.052985478250986325,0.012138068976140164,0.0013201320132013201,1.9881506222911447e-05,2070,1,5297,0.25,383902.43190336,44264.81467364647
temperature,358296.335941632,40040.1006983011,0.6324334528978668,real,2971.0423814400006,1695.2160883956822,0.9184993531694696,gate_small_vehicle_mbv3large,0.4554013876614462,0.430868072457938,0.20334989246802998,0.3872197073865392,0.3238824351823008,0.2353534249846149,0.13448141560872748,0.05282955490306454,0.012122912976244075,0.0013201320132013201,1.9881506222911447e-05,1947,1,5297,0.30000000000000004,361267.378323072,41735.316786696785
temperature,336765.43131648004,37633.99295217823,0.6545214272229564,real,2971.0423814400006,1695.2160883956822,0.8958602846054333,gate_small_vehicle_mbv3large,0.45461397072883025,0.43019262496820393,0.20311661819647958,0.38680617388758143,0.32368961111686534,0.23519679117228695,0.13439132537592638,0.05281746940494215,0.012118201790735165,0.0013201320132013201,1.9881506222911447e-05,1830,1,5297,0.35000000000000003,339736.47369792004,39329.209040573915
temperature,322227.470073856,36009.356097958516,0.6694355295450255,real,2971.0423814400006,1695.2160883956822,0.8790426908150065,gate_small_vehicle_mbv3large,0.4544660591229556,0.4300798139872355,0.20303573041101508,0.3866774666706019,0.3235441467135764,0.23507657699214693,0.13428459239527338,0.05277875274235587,0.012109881966580732,0.0013201320132013201,1.9881506222911447e-05,1751,1,5297,0.4,325198.512455296,37704.5721863542
temperature,305297.186095104,34117.37393861404,0.686803851236549,real,2971.0423814400006,1695.2160883956822,0.851875808538163,gate_small_vehicle_mbv3large,0.44810560896384094,0.42447716994192614,0.20180583543630118,0.38650866754876806,0.3235340577113662,0.23503672813249857,0.13419075917628973,0.05275228767017487,0.012113061698722696,0.0013201320132013201,1.9881506222911447e-05,1659,1,5297,0.45,308268.228476544,35812.59002700972
temperature,290575.200026624,32472.172060923185,0.7019067396639607,real,2971.0423814400006,1695.2160883956822,0.8285899094437258,gate_small_vehicle_mbv3large,0.44736007831813446,0.4237586979896492,0.20117485085864611,0.3857975192829294,0.32291157934971093,0.2345238827178156,0.13133764867500136,0.0526071612537764,0.012111847312655863,0.0013201320132013201,1.996167358671351e-05,1579,1,5297,0.5,293546.242408064,34167.38814931887
temperature,275853.213958144,30826.970183232334,0.7170096280913725,real,2971.0423814400006,1695.2160883956822,0.8027166882276844,gate_small_vehicle_mbv3large,0.44720418013764573,0.423592092649202,0.20108934584474225,0.3856720541390188,0.3227740988700365,0.23442239568668682,0.13125724735109937,0.05251703423286568,0.012114261694079764,0.0013201320132013201,1.996167358671351e-05,1499,1,5297,0.55,278824.256339584,32522.186271628016
temperature,259475.00445696,28996.68309430126,0.733811591466868,real,2971.0423814400006,1695.2160883956822,0.7736093143596378,gate_small_vehicle_mbv3large,0.4464869495232087,0.42278691927014656,0.19920338946172855,0.37997091708499514,0.317491179834824,0.23004895488579571,0.13090831930671093,0.05090388360425464,0.01209655594993158,0.0013201320132013201,2.008314421705862e-05,1410,1,5297,0.6000000000000001,262446.0468384,30691.899182696943
temperature,244016.919085056,27269.221122725867,0.7496696243156504,real,2971.0423814400006,1695.2160883956822,0.7354463130659767,gate_small_vehicle_mbv3large,0.4396637231582648,0.41640710734456915,0.19754444523566364,0.3788374720391501,0.31665187543444573,0.2292819404461072,0.13040917836236804,0.05077254025917671,0.012080400155136404,0.0013201320132013201,2.008314421705862e-05,1326,1,5297,0.65,246987.961466496,28964.43721112155
temperature,222670.03928576,24883.67840007413,0.7715688125353974,real,2971.0423814400006,1695.2160883956822,0.6869340232858991,gate_small_vehicle_mbv3large,0.43285118839510867,0.4098106308865833,0.1950133210697858,0.3727659476425516,0.3113664355833661,0.2287971410289009,0.13027333899674173,0.05081498961945973,0.012113200429701978,0.0013201320132013201,2.020610224287735e-05,1210,1,5297,0.7000000000000001,225641.0816672,26578.894488469814
temperature,204083.531874304,22806.61102948943,0.7906362091750048,real,2971.0423814400006,1695.2160883956822,0.6371280724450195,gate_small_vehicle_mbv3large,0.4235206512031763,0.4009764665491301,0.19057089118832254,0.3645802535725262,0.3039656240170487,0.22310416590109983,0.1262519645518006,0.05034882598138823,0.011416798535263107,0.0015232292460015233,2.0932325790718607e-05,1109,1,5297,0.75,207054.574255744,24501.827117885114
temperature,184944.94998528,20667.848588491324,0.81026996413064,real,2971.0423814400006,1695.2160883956822,0.5847347994825356,gate_small_vehicle_mbv3large,0.40844428066822436,0.38637614735875336,0.18392503454081346,0.3504324330246808,0.2958419131293484,0.21601276205861467,0.12140361190918791,0.047844160372459026,0.01135056088099549,0.0015232292460015233,2.124675986911996e-05,1005,1,5297,0.8,187915.99236672,22363.064676887006
temperature,164150.144663552,18344.000936252996,0.8316027940343591,real,2971.0423814400006,1695.2160883956822,0.5297542043984476,gate_small_vehicle_mbv3large,0.3926827852562003,0.3710208570611521,0.17839749781350722,0.3416670141868767,0.288282115720466,0.21003969071338593,0.12008201259844163,0.04739478059757968,0.011260968863448859,0.0015232292460015233,2.152389151958674e-05,892,1,5297,0.8500000000000001,167121.187044992,20039.21702464868
temperature,137098.49526272,15320.942485996056,0.8593543515197282,real,2971.0423814400006,1695.2160883956822,0.4521345407503234,gate_small_vehicle_mbv3large,0.371108039150684,0.3559549359244288,0.16906264416614453,0.3211695498433458,0.2748703404684436,0.198698705572643,0.11193302002579845,0.04445473213470365,0.010891887095176453,0.0015232292460015233,2.2002200220022003e-05,745,1,5297,0.9,140069.53764416,17016.15857439174
temperature,91644.363276288,10241.381688625552,0.9059845195393619,real,2971.0423814400006,1695.2160883956822,0.31241914618369987,gate_small_vehicle_mbv3large,0.3117323354152337,0.2987652801125668,0.14492009372310657,0.2731793445147232,0.2323944517559909,0.17422648659840542,0.1017454878948303,0.04154132741189306,0.0140281568260152,0.001563314226159458,2.4752475247524754e-05,498,1,5297,0.9500000000000001,94615.405657728,11936.597777021234
temperature,0.0,0.0,1.0,real,2971.0423814400006,1695.2160883956822,0.0,gate_small_vehicle_mbv3large,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,5297,1.0,2971.0423814400006,1695.2160883956822
