calibration,detector_gflops,detector_latency_ms,filter_rate,gate,gate_gflops,gate_latency_ms,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_accepted,n_classes,n_tiles,threshold,total_gflops,total_latency_ms
temperature,974779.5025592321,108932.92932660552,0.0,real,764.76475712,868.7368913233513,1.0,gate_small_vehicle_mbv3small,0.46409681496513056,0.43910574660454144,0.2072207906798532,0.3949619886839381,0.33074709716487083,0.24060801291396436,0.13539707857177424,0.05324152294588788,0.012709671271698286,0.0013201320132013201,1.984166352506994e-05,5297,1,5297,0.0,975544.2673163521,109801.66621792887
temperature,609306.198409216,68090.79271293012,0.37492920521049655,real,764.76475712,868.7368913233513,0.999353169469599,gate_small_vehicle_mbv3small,0.46409654347613044,0.43910491959699277,0.2072201561877561,0.3949610876452428,0.3307446458851084,0.24060834276824483,0.13539669536830917,0.053239632411228456,0.012709721049577787,0.0013201320132013201,1.984166352506994e-05,3311,1,5297,0.05,610070.9631663361,68959.52960425348
temperature,593848.113037312,66363.33074135473,0.39078723805927884,real,764.76475712,868.7368913233513,0.999353169469599,gate_small_vehicle_mbv3small,0.46409654347613044,0.43910491959699277,0.2072201561877561,0.3949610876452428,0.3307446458851084,0.24060834276824483,0.13539669536830917,0.053239632411228456,0.012709721049577787,0.0013201320132013201,1.984166352506994e-05,3227,1,5297,0.1,594612.8777944321,67232.06763267808
temperature,575997.70492928,64368.52346465457,0.4090994902775156,real,764.76475712,868.7368913233513,0.9987063389391979,gate_small_vehicle_mbv3small,0.4641198596643227,0.43912663712593214,0.20722981490848089,0.3949796956128687,0.3307597860776323,0.24061853527443156,0.13540209185634772,0.05324152013211553,0.01271004966443184,0.0013201320132013201,1.984166352506994e-05,3130,1,5297,0.15000000000000002,576762.4696864,65237.26035597792
temperature,547841.906573312,61222.07487357082,0.4379837643949406,real,764.76475712,868.7368913233513,0.9954721862871928,gate_small_vehicle_mbv3small,0.46405255103358883,0.43904814143026505,0.20722149869923312,0.3949507554564635,0.33076259534224595,0.24066670065903997,0.13541679750072183,0.053263385794344156,0.012714086098935354,0.0013201320132013201,1.984166352506994e-05,2977,1,5297,0.2,548606.6713304321,62090.81176489417
temperature,509748.76762112003,56965.11501504574,0.4770624882008684,real,764.76475712,868.7368913233513,0.9896507115135834,gate_small_vehicle_mbv3small,0.46405265398564693,0.4390489196543127,0.20721957663163132,0.39494605310126535,0.3307583283803069,0.2406595289339914,0.1354134479425961,0.053262624213179136,0.012714236428288153,0.0013201320132013201,1.984166352506994e-05,2770,1,5297,0.25,510513.53237824,57833.85190636909
temperature,477176.373444608,53325.10586065473,0.5104776288465169,real,764.76475712,868.7368913233513,0.981888745148771,gate_small_vehicle_mbv3small,0.46405917700071403,0.4390618726588936,0.20722406648241715,0.3949527634376171,0.3307583618733968,0.24066333670137044,0.1354197201165483,0.05326857835468757,0.012716881004216913,0.0013201320132013201,1.984166352506994e-05,2593,1,5297,0.30000000000000004,477941.138201728,54193.84275197808
temperature,446996.30200422404,49952.442011388484,0.541438550122711,real,764.76475712,868.7368913233513,0.9689521345407504,gate_small_vehicle_mbv3small,0.4625305222452773,0.43263253470548035,0.20571202034118957,0.39389242679581177,0.3299084369525784,0.2364630438150298,0.13508825973938968,0.05311996687697613,0.012145038604625727,0.0013201320132013201,1.984166352506994e-05,2429,1,5297,0.35000000000000003,447761.06676134403,50821.178902711836
temperature,412031.585091584,46045.08755187271,0.5773079101378138,real,764.76475712,868.7368913233513,0.9476067270375161,gate_small_vehicle_mbv3small,0.4618289692652545,0.4320423148817219,0.2053799376839994,0.3933101108443356,0.3293683996258486,0.23609681258184168,0.1347494441589266,0.05289889060820088,0.012118738577025282,0.0013656538067599864,2.004249007896741e-05,2239,1,5297,0.4,412796.349848704,46913.82444319606
temperature,384059.811561472,42919.20398426009,0.6060033981498962,real,764.76475712,868.7368913233513,0.9243208279430789,gate_small_vehicle_mbv3small,0.4535012174711765,0.4245695173475284,0.20239857698027958,0.3866905498152681,0.32362459610811734,0.23517719675442675,0.13424050604674398,0.05260738205039153,0.012087660285989815,0.0014668133480014668,2.033057515197105e-05,2087,1,5297,0.45,384824.576318592,43787.940875583445
